Entry ID,Contest Name,Contest ID,Entry Fee,D,D,D,D,D,D,,Instructions
5196451364,NAS $12K Hot Rod [5 Entry Max] (Cup),192617089,$3,Christopher Bell (43667057),Ty Gibbs (43667062),Denny Hamlin (43667053),Michael McDowell (43667079),John H. Nemechek (43667075),Shane Van Gisbergen (43667069),,1. Column A lists all of your contest entries for this draftgroup
5196451371,NAS $12K Hot Rod [5 Entry Max] (Cup),192617089,$3,Christopher Bell (43667057),Ty Gibbs (43667062),Denny Hamlin (43667053),Michael McDowell (43667079),John H. Nemechek (43667075),Shane Van Gisbergen (43667069),,2. Your current lineup is listed next to each entry (blank for reservations)
5196459848,NAS $12K Hot Rod [5 Entry Max] (Cup),192617089,$3,Christopher Bell (43667057),Ty Gibbs (43667062),Denny Hamlin (43667053),Michael McDowell (43667079),John H. Nemechek (43667075),Shane Van Gisbergen (43667069),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5196459864,NAS $12K Hot Rod [5 Entry Max] (Cup),192617089,$3,Christopher Bell (43667057),Ty Gibbs (43667062),Denny Hamlin (43667053),Michael McDowell (43667079),John H. Nemechek (43667075),Shane Van Gisbergen (43667069),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5196461683,NAS $12K Hot Rod [5 Entry Max] (Cup),192617089,$3,Christopher Bell (43667057),Ty Gibbs (43667062),Denny Hamlin (43667053),Michael McDowell (43667079),John H. Nemechek (43667075),Shane Van Gisbergen (43667069),,5. For faster processing only include entries you are changing in the file you upload
5196451160,NAS $15K Engine Block [Single Entry] (Cup),192617102,$12,Christopher Bell (43667057),Ty Gibbs (43667062),Denny Hamlin (43667053),Michael McDowell (43667079),John H. Nemechek (43667075),Shane Van Gisbergen (43667069),,
5196458560,NAS $5K Brake Pad [Single Entry] (Cup),192617107,$4,Christopher Bell (43667057),Ty Gibbs (43667062),Denny Hamlin (43667053),Michael McDowell (43667079),John H. Nemechek (43667075),Shane Van Gisbergen (43667069),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5196684361,NAS $3K Donut (Cup),192617108,$2,Christopher Bell (43667057),Ty Gibbs (43667062),Denny Hamlin (43667053),Michael McDowell (43667079),John H. Nemechek (43667075),Shane Van Gisbergen (43667069),,D,Denny Hamlin (43667053),Denny Hamlin,43667053,D,11000,Brickyard 400 presented by PPG,Nasca,57.99
5196684369,NAS $3K Donut (Cup),192617108,$2,Christopher Bell (43667057),Ty Gibbs (43667062),Denny Hamlin (43667053),Michael McDowell (43667079),John H. Nemechek (43667075),Shane Van Gisbergen (43667069),,D,Ryan Blaney (43667054),Ryan Blaney,43667054,D,10700,Brickyard 400 presented by PPG,Nasca,45.28
5196684373,NAS $3K Donut (Cup),192617108,$2,Christopher Bell (43667057),Ty Gibbs (43667062),Denny Hamlin (43667053),Michael McDowell (43667079),John H. Nemechek (43667075),Shane Van Gisbergen (43667069),,D,Kyle Larson (43667055),Kyle Larson,43667055,D,10500,Brickyard 400 presented by PPG,Nasca,33.06
5196684389,NAS $3K Donut (Cup),192617108,$2,Christopher Bell (43667057),Ty Gibbs (43667062),Denny Hamlin (43667053),Michael McDowell (43667079),John H. Nemechek (43667075),Shane Van Gisbergen (43667069),,D,Tyler Reddick (43667056),Tyler Reddick,43667056,D,10200,Brickyard 400 presented by PPG,Nasca,40.14
5196684392,NAS $3K Donut (Cup),192617108,$2,Christopher Bell (43667057),Ty Gibbs (43667062),Denny Hamlin (43667053),Michael McDowell (43667079),John H. Nemechek (43667075),Shane Van Gisbergen (43667069),,D,Christopher Bell (43667057),Christopher Bell,43667057,D,10000,Brickyard 400 presented by PPG,Nasca,35.61
5196686472,NAS $3K Donut (Cup),192617108,$2,Christopher Bell (43667057),Ty Gibbs (43667062),Denny Hamlin (43667053),Michael McDowell (43667079),John H. Nemechek (43667075),Shane Van Gisbergen (43667069),,D,William Byron (43667058),William Byron,43667058,D,9700,Brickyard 400 presented by PPG,Nasca,32.34
5196686478,NAS $3K Donut (Cup),192617108,$2,Christopher Bell (43667057),Ty Gibbs (43667062),Denny Hamlin (43667053),Michael McDowell (43667079),John H. Nemechek (43667075),Shane Van Gisbergen (43667069),,D,Chase Elliott (43667059),Chase Elliott,43667059,D,9500,Brickyard 400 presented by PPG,Nasca,36.78
5196686485,NAS $3K Donut (Cup),192617108,$2,Christopher Bell (43667057),Ty Gibbs (43667062),Denny Hamlin (43667053),Michael McDowell (43667079),John H. Nemechek (43667075),Shane Van Gisbergen (43667069),,D,Chase Briscoe (43667060),Chase Briscoe,43667060,D,9200,Brickyard 400 presented by PPG,Nasca,34.60
5196686488,NAS $3K Donut (Cup),192617108,$2,Christopher Bell (43667057),Ty Gibbs (43667062),Denny Hamlin (43667053),Michael McDowell (43667079),John H. Nemechek (43667075),Shane Van Gisbergen (43667069),,D,Bubba Wallace (43667061),Bubba Wallace,43667061,D,9000,Brickyard 400 presented by PPG,Nasca,29.82
5196687585,NAS $3K Donut (Cup),192617108,$2,Christopher Bell (43667057),Ty Gibbs (43667062),Denny Hamlin (43667053),Michael McDowell (43667079),John H. Nemechek (43667075),Shane Van Gisbergen (43667069),,D,Ty Gibbs (43667062),Ty Gibbs,43667062,D,8800,Brickyard 400 presented by PPG,Nasca,34.32
