Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,Starting
D,Denny Hamlin (43667053),Denny Hamlin,43667053,D,11000,Brickyard 400 presented by PPG,Nasca,58,,
D,Ryan Blaney (43667054),Ryan Blaney,43667054,D,10700,Brickyard 400 presented by PPG,Nasca,45.3,,
D,Kyle Larson (43667055),Kyle Larson,43667055,D,10500,Brickyard 400 presented by PPG,Nasca,33.1,,
D,Tyler Reddick (43667056),Tyler Reddick,43667056,D,10200,Brickyard 400 presented by PPG,Nasca,40.1,,
D,Christopher Bell (43667057),Christopher Bell,43667057,D,10000,Brickyard 400 presented by PPG,Nasca,35.6,,
D,William Byron (43667058),William Byron,43667058,D,9700,Brickyard 400 presented by PPG,Nasca,32.3,,
D,Chase Elliott (43667059),Chase Elliott,43667059,D,9500,Brickyard 400 presented by PPG,Nasca,36.8,,
D,Chase Briscoe (43667060),Chase Briscoe,43667060,D,9200,Brickyard 400 presented by PPG,Nasca,34.6,,
D,Bubba Wallace (43667061),Bubba Wallace,43667061,D,9000,Brickyard 400 presented by PPG,Nasca,29.8,,
D,Ty Gibbs (43667062),Ty Gibbs,43667062,D,8800,Brickyard 400 presented by PPG,Nasca,34.3,,
D,Joey Logano (43667063),Joey Logano,43667063,D,8700,Brickyard 400 presented by PPG,Nasca,28.9,,
D,Chris Buescher (43667064),Chris Buescher,43667064,D,8500,Brickyard 400 presented by PPG,Nasca,29.7,,
D,Carson Hocevar (43667065),Carson Hocevar,43667065,D,8300,Brickyard 400 presented by PPG,Nasca,32,,
D,Corey Heim (43667066),Corey Heim,43667066,D,8100,Brickyard 400 presented by PPG,Nasca,34.7,,
D,Austin Cindric (43667067),Austin Cindric,43667067,D,7900,Brickyard 400 presented by PPG,Nasca,27.4,,
D,Brad Keselowski (43667068),Brad Keselowski,43667068,D,7700,Brickyard 400 presented by PPG,Nasca,30.2,,
D,Shane Van Gisbergen (43667069),Shane Van Gisbergen,43667069,D,7500,Brickyard 400 presented by PPG,Nasca,31.3,,
D,Erik Jones (43667070),Erik Jones,43667070,D,7300,Brickyard 400 presented by PPG,Nasca,31.9,,
D,Ross Chastain (43667071),Ross Chastain,43667071,D,7100,Brickyard 400 presented by PPG,Nasca,23.3,,
D,Alex Bowman (43667072),Alex Bowman,43667072,D,7000,Brickyard 400 presented by PPG,Nasca,23.5,,
D,Daniel Suarez (43667073),Daniel Suarez,43667073,D,6900,Brickyard 400 presented by PPG,Nasca,30.9,,
D,Ryan Preece (43667074),Ryan Preece,43667074,D,6700,Brickyard 400 presented by PPG,Nasca,29.4,,
D,John H. Nemechek (43667075),John H. Nemechek,43667075,D,6600,Brickyard 400 presented by PPG,Nasca,23.4,,
D,Riley Herbst (43667076),Riley Herbst,43667076,D,6500,Brickyard 400 presented by PPG,Nasca,23.1,,
D,Josh Berry (43667077),Josh Berry,43667077,D,6300,Brickyard 400 presented by PPG,Nasca,16.1,,
D,Connor Zilisch (43667078),Connor Zilisch,43667078,D,6200,Brickyard 400 presented by PPG,Nasca,16.2,,
D,Michael McDowell (43667079),Michael McDowell,43667079,D,6100,Brickyard 400 presented by PPG,Nasca,25.5,,
D,Zane Smith (43667080),Zane Smith,43667080,D,6000,Brickyard 400 presented by PPG,Nasca,23.1,,
D,Todd Gilliland (43667081),Todd Gilliland,43667081,D,5900,Brickyard 400 presented by PPG,Nasca,26.6,,
D,Austin Dillon (43667082),Austin Dillon,43667082,D,5800,Brickyard 400 presented by PPG,Nasca,25.6,,
D,AJ Allmendinger (43667083),AJ Allmendinger,43667083,D,5600,Brickyard 400 presented by PPG,Nasca,25.9,,
D,Austin Hill (43667084),Austin Hill,43667084,D,5500,Brickyard 400 presented by PPG,Nasca,8.8,,
D,Noah Gragson (43667085),Noah Gragson,43667085,D,5400,Brickyard 400 presented by PPG,Nasca,23.2,,
D,Ricky Stenhouse Jr (43667086),Ricky Stenhouse Jr,43667086,D,5300,Brickyard 400 presented by PPG,Nasca,23.6,,
D,Cole Custer (43667087),Cole Custer,43667087,D,5100,Brickyard 400 presented by PPG,Nasca,17.2,,
D,Ty Dillon (43667088),Ty Dillon,43667088,D,5000,Brickyard 400 presented by PPG,Nasca,23.8,,
D,Cody Ware (43667089),Cody Ware,43667089,D,4800,Brickyard 400 presented by PPG,Nasca,18.1,,
D,Casey Mears (43667090),Casey Mears,43667090,D,4700,Brickyard 400 presented by PPG,Nasca,17.4,,
D,Daniel Dye (43667091),Daniel Dye,43667091,D,4500,Brickyard 400 presented by PPG,Nasca,26.9,,
