D,D,D,D,D,D
Brad Keselowski (43667068),Bubba Wallace (43667061),Denny Hamlin (43667053),John H. Nemechek (43667075),Ryan Preece (43667074),Ty Gibbs (43667062)
Brad Keselowski (43667068),Bubba Wallace (43667061),Ross Chastain (43667071),Ryan Blaney (43667054),Ryan Preece (43667074),Ty Gibbs (43667062)
Alex Bowman (43667072),Brad Keselowski (43667068),Denny Hamlin (43667053),Kyle Larson (43667055),Ross Chastain (43667071),Ryan Preece (43667074)
Brad Keselowski (43667068),Bubba Wallace (43667061),Christopher Bell (43667057),Erik Jones (43667070),Ross Chastain (43667071),Ty Gibbs (43667062)
Bubba Wallace (43667061),Christopher Bell (43667057),Denny Hamlin (43667053),Erik Jones (43667070),Ryan Preece (43667074),Zane Smith (43667080)
Brad Keselowski (43667068),Bubba Wallace (43667061),Chase Elliott (43667059),Christopher Bell (43667057),Ross Chastain (43667071),Ryan Preece (43667074)
Brad Keselowski (43667068),Chase Elliott (43667059),Christopher Bell (43667057),Erik Jones (43667070),Ryan Preece (43667074),Ty Gibbs (43667062)
Brad Keselowski (43667068),Bubba Wallace (43667061),Erik Jones (43667070),Kyle Larson (43667055),Ryan Preece (43667074),Ty Gibbs (43667062)
Brad Keselowski (43667068),Chase Elliott (43667059),Denny Hamlin (43667053),Ryan Preece (43667074),Ty Gibbs (43667062),Zane Smith (43667080)
Brad Keselowski (43667068),Bubba Wallace (43667061),Denny Hamlin (43667053),Erik Jones (43667070),Ty Gibbs (43667062),Zane Smith (43667080)
Brad Keselowski (43667068),Bubba Wallace (43667061),Daniel Suarez (43667073),Kyle Larson (43667055),Ross Chastain (43667071),Ty Gibbs (43667062)
Brad Keselowski (43667068),Chase Elliott (43667059),John H. Nemechek (43667075),Ryan Blaney (43667054),Ryan Preece (43667074),Ty Gibbs (43667062)
Alex Bowman (43667072),Brad Keselowski (43667068),Bubba Wallace (43667061),Denny Hamlin (43667053),Riley Herbst (43667076),Ty Gibbs (43667062)
Brad Keselowski (43667068),Christopher Bell (43667057),Kyle Larson (43667055),Ryan Preece (43667074),Ty Gibbs (43667062),Zane Smith (43667080)
Alex Bowman (43667072),Denny Hamlin (43667053),Kyle Larson (43667055),Ryan Preece (43667074),Ty Gibbs (43667062),Zane Smith (43667080)
Brad Keselowski (43667068),Bubba Wallace (43667061),Denny Hamlin (43667053),Michael McDowell (43667079),Ross Chastain (43667071),Ty Gibbs (43667062)
Alex Bowman (43667072),Bubba Wallace (43667061),Erik Jones (43667070),Ross Chastain (43667071),Ryan Blaney (43667054),Ty Gibbs (43667062)
Bubba Wallace (43667061),Chase Elliott (43667059),Denny Hamlin (43667053),John H. Nemechek (43667075),Ross Chastain (43667071),Ryan Preece (43667074)
Alex Bowman (43667072),Bubba Wallace (43667061),Chase Elliott (43667059),Erik Jones (43667070),Kyle Larson (43667055),Ryan Preece (43667074)
Alex Bowman (43667072),Bubba Wallace (43667061),Chase Elliott (43667059),Ross Chastain (43667071),Ryan Blaney (43667054),Ryan Preece (43667074)
