Entry ID,Contest Name,Contest ID,Entry Fee,D,D,D,D,D,D
5196451364,NAS $12K Hot Rod [5 Entry Max] (Cup),192617089,$3,Alex Bowman (43667072),Brad Keselowski (43667068),Chase Elliott (43667059),Erik Jones (43667070),Ty Gibbs (43667062),William Byron (43667058)
5196451371,NAS $12K Hot Rod [5 Entry Max] (Cup),192617089,$3,Brad Keselowski (43667068),Bubba Wallace (43667061),Chase Elliott (43667059),Erik Jones (43667070),Ross Chastain (43667071),Ty Gibbs (43667062)
5196459848,NAS $12K Hot Rod [5 Entry Max] (Cup),192617089,$3,Alex Bowman (43667072),Brad Keselowski (43667068),Denny Hamlin (43667053),Erik Jones (43667070),Kyle Larson (43667055),Zane Smith (43667080)
5196459864,NAS $12K Hot Rod [5 Entry Max] (Cup),192617089,$3,Brad Keselowski (43667068),Chase Elliott (43667059),Christopher Bell (43667057),Erik Jones (43667070),Ryan Preece (43667074),Ty Gibbs (43667062)
5196461683,NAS $12K Hot Rod [5 Entry Max] (Cup),192617089,$3,Alex Bowman (43667072),Bubba Wallace (43667061),Christopher Bell (43667057),Daniel Suarez (43667073),Denny Hamlin (43667053),Zane Smith (43667080)
5196451160,NAS $15K Engine Block [Single Entry] (Cup),192617102,$12,Alex Bowman (43667072),Brad Keselowski (43667068),Chase Elliott (43667059),Erik Jones (43667070),Ty Gibbs (43667062),William Byron (43667058)
5196458560,NAS $5K Brake Pad [Single Entry] (Cup),192617107,$4,Alex Bowman (43667072),Brad Keselowski (43667068),Chase Elliott (43667059),Erik Jones (43667070),Ty Gibbs (43667062),William Byron (43667058)
5196684361,NAS $3K Donut (Cup),192617108,$2,Alex Bowman (43667072),Brad Keselowski (43667068),Chase Elliott (43667059),Erik Jones (43667070),Ty Gibbs (43667062),William Byron (43667058)
5196684369,NAS $3K Donut (Cup),192617108,$2,Brad Keselowski (43667068),Bubba Wallace (43667061),Chase Elliott (43667059),Erik Jones (43667070),Ross Chastain (43667071),Ty Gibbs (43667062)
5196684373,NAS $3K Donut (Cup),192617108,$2,Alex Bowman (43667072),Brad Keselowski (43667068),Denny Hamlin (43667053),Erik Jones (43667070),Kyle Larson (43667055),Zane Smith (43667080)
5196684389,NAS $3K Donut (Cup),192617108,$2,Brad Keselowski (43667068),Chase Elliott (43667059),Christopher Bell (43667057),Erik Jones (43667070),Ryan Preece (43667074),Ty Gibbs (43667062)
5196684392,NAS $3K Donut (Cup),192617108,$2,Alex Bowman (43667072),Bubba Wallace (43667061),Christopher Bell (43667057),Daniel Suarez (43667073),Denny Hamlin (43667053),Zane Smith (43667080)
5196686472,NAS $3K Donut (Cup),192617108,$2,Alex Bowman (43667072),Brad Keselowski (43667068),Bubba Wallace (43667061),Erik Jones (43667070),Ty Gibbs (43667062),Tyler Reddick (43667056)
