"season","round","race_name","driver_code","driver_name","sprint_quali_position","sprint_quali_delta_sec","sprint_pole","sprint_finish_position","sprint_grid_to_finish_delta","sprint_dnf_flag","sprint_fastest_lap_delta_sec","notes"
"2026","9","British Grand Prix","HAM","Lewis Hamilton","1","0.000","TRUE","2","-1","FALSE","","Manual update 2026-07-04. Sprint result from Formula1.com/Motorsport Week; sprint qualifying grid and deltas from F1-Fansite/Sky Sports."
"2026","9","British Grand Prix","ANT","Andrea Kimi Antonelli","2","0.011","FALSE","1","1","FALSE","","Manual update 2026-07-04. Sprint result from Formula1.com/Motorsport Week; sprint qualifying grid and deltas from F1-Fansite/Sky Sports."
"2026","9","British Grand Prix","VER","Max Verstappen","3","0.321","FALSE","6","-3","FALSE","","Manual update 2026-07-04. Sprint result from Formula1.com/Motorsport Week; sprint qualifying grid and deltas from F1-Fansite/Sky Sports."
"2026","9","British Grand Prix","LEC","Charles Leclerc","4","0.327","FALSE","5","-1","FALSE","","Manual update 2026-07-04. Sprint result from Formula1.com/Motorsport Week; sprint qualifying grid and deltas from F1-Fansite/Sky Sports."
"2026","9","British Grand Prix","RUS","George Russell","5","0.357","FALSE","4","1","FALSE","","Manual update 2026-07-04. Sprint result from Formula1.com/Motorsport Week; sprint qualifying grid and deltas from F1-Fansite/Sky Sports."
"2026","9","British Grand Prix","NOR","Lando Norris","6","0.364","FALSE","3","3","FALSE","","Manual update 2026-07-04. Sprint result from Formula1.com/Motorsport Week; sprint qualifying grid and deltas from F1-Fansite/Sky Sports."
"2026","9","British Grand Prix","PIA","Oscar Piastri","7","0.396","FALSE","7","0","FALSE","","Manual update 2026-07-04. Sprint result from Formula1.com/Motorsport Week; sprint qualifying grid and deltas from F1-Fansite/Sky Sports."
"2026","9","British Grand Prix","HAD","Isack Hadjar","8","0.459","FALSE","9","-1","FALSE","","Manual update 2026-07-04. Sprint result from Formula1.com/Motorsport Week; sprint qualifying grid and deltas from F1-Fansite/Sky Sports."
"2026","9","British Grand Prix","LAW","Liam Lawson","9","0.551","FALSE","8","1","FALSE","","Manual update 2026-07-04. Sprint result from Formula1.com/Motorsport Week; sprint qualifying grid and deltas from F1-Fansite/Sky Sports."
"2026","9","British Grand Prix","LIN","Arvid Lindblad","10","0.991","FALSE","10","0","FALSE","","Manual update 2026-07-04. Sprint result from Formula1.com/Motorsport Week; sprint qualifying grid and deltas from F1-Fansite/Sky Sports."
"2026","9","British Grand Prix","GAS","Pierre Gasly","11","1.106","FALSE","11","0","FALSE","","Manual update 2026-07-04. Sprint result from Formula1.com/Motorsport Week; sprint qualifying grid and deltas from F1-Fansite/Sky Sports."
"2026","9","British Grand Prix","BOR","Gabriel Bortoleto","12","1.303","FALSE","14","-2","FALSE","","Manual update 2026-07-04. Sprint result from Formula1.com/Motorsport Week; sprint qualifying grid and deltas from F1-Fansite/Sky Sports."
"2026","9","British Grand Prix","HUL","Nico Hulkenberg","13","1.331","FALSE","13","0","FALSE","","Manual update 2026-07-04. Sprint result from Formula1.com/Motorsport Week; sprint qualifying grid and deltas from F1-Fansite/Sky Sports."
"2026","9","British Grand Prix","COL","Franco Colapinto","14","1.607","FALSE","12","2","FALSE","","Manual update 2026-07-04. Sprint result from Formula1.com/Motorsport Week; sprint qualifying grid and deltas from F1-Fansite/Sky Sports."
"2026","9","British Grand Prix","SAI","Carlos Sainz","15","1.821","FALSE","17","-2","FALSE","","Manual update 2026-07-04. Sprint result from Formula1.com/Motorsport Week; sprint qualifying grid and deltas from F1-Fansite/Sky Sports."
"2026","9","British Grand Prix","ALB","Alexander Albon","16","2.403","FALSE","18","-2","FALSE","","Manual update 2026-07-04. Sprint result from Formula1.com/Motorsport Week; sprint qualifying grid and deltas from F1-Fansite/Sky Sports."
"2026","9","British Grand Prix","BEA","Oliver Bearman","17","2.707","FALSE","15","2","FALSE","","Manual update 2026-07-04. Sprint result from Formula1.com/Motorsport Week; sprint qualifying grid and deltas from F1-Fansite/Sky Sports."
"2026","9","British Grand Prix","OCO","Esteban Ocon","18","3.338","FALSE","16","2","FALSE","","Manual update 2026-07-04. Sprint result from Formula1.com/Motorsport Week; sprint qualifying grid and deltas from F1-Fansite/Sky Sports."
"2026","9","British Grand Prix","PER","Sergio Perez","19","3.400","FALSE","22","-3","FALSE","","Manual update 2026-07-04. Sprint result from Formula1.com/Motorsport Week; sprint qualifying grid and deltas from F1-Fansite/Sky Sports."
"2026","9","British Grand Prix","BOT","Valtteri Bottas","20","3.644","FALSE","19","1","FALSE","","Manual update 2026-07-04. Sprint result from Formula1.com/Motorsport Week; sprint qualifying grid and deltas from F1-Fansite/Sky Sports."
"2026","9","British Grand Prix","ALO","Fernando Alonso","21","4.534","FALSE","20","1","FALSE","","Manual update 2026-07-04. Sprint result from Formula1.com/Motorsport Week; sprint qualifying grid and deltas from F1-Fansite/Sky Sports."
"2026","9","British Grand Prix","STR","Lance Stroll","22","4.612","FALSE","21","1","FALSE","","Manual update 2026-07-04. Sprint result from Formula1.com/Motorsport Week; sprint qualifying grid and deltas from F1-Fansite/Sky Sports."
