Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,Starting
D,Andrea Kimi Antonelli (43603700),Andrea Kimi Antonelli,43603700,CPT,19200,Belgian Grand Prix 2026,MERC,42.3,,
D,George Russell (43603701),George Russell,43603701,CPT,18600,Belgian Grand Prix 2026,MERC,34.9,,
D,Lewis Hamilton (43603702),Lewis Hamilton,43603702,CPT,17700,Belgian Grand Prix 2026,FERR,39.6,,
D,Charles Leclerc (43603703),Charles Leclerc,43603703,CPT,17100,Belgian Grand Prix 2026,FERR,28.3,,
D,Max Verstappen (43603704),Max Verstappen,43603704,CPT,15600,Belgian Grand Prix 2026,RB,29.2,,
CNSTR,Mercedes (43603689),Mercedes,43603689,CNSTR,14500,Belgian Grand Prix 2026,MERC,81.2,,
D,Lando Norris (43603705),Lando Norris,43603705,CPT,13800,Belgian Grand Prix 2026,MCL,26,,
CNSTR,Ferrari (43603690),Ferrari,43603690,CNSTR,13300,Belgian Grand Prix 2026,FERR,68.6,,
D,Andrea Kimi Antonelli (43603667),Andrea Kimi Antonelli,43603667,D,12800,Belgian Grand Prix 2026,MERC,42.3,,
D,George Russell (43603668),George Russell,43603668,D,12400,Belgian Grand Prix 2026,MERC,34.9,,
D,Oscar Piastri (43603706),Oscar Piastri,43603706,CPT,12300,Belgian Grand Prix 2026,MCL,33.4,,
D,Lewis Hamilton (43603669),Lewis Hamilton,43603669,D,11800,Belgian Grand Prix 2026,FERR,39.6,,
D,Charles Leclerc (43603670),Charles Leclerc,43603670,D,11400,Belgian Grand Prix 2026,FERR,28.3,,
D,Isack Hadjar (43603707),Isack Hadjar,43603707,CPT,11100,Belgian Grand Prix 2026,RB,21.9,,
D,Max Verstappen (43603671),Max Verstappen,43603671,D,10400,Belgian Grand Prix 2026,RB,29.2,,
CNSTR,McLaren (43603691),McLaren,43603691,CNSTR,9800,Belgian Grand Prix 2026,MCL,55,,
D,Liam Lawson (43603708),Liam Lawson,43603708,CPT,9600,Belgian Grand Prix 2026,VCARB,27.1,,
D,Lando Norris (43603672),Lando Norris,43603672,D,9200,Belgian Grand Prix 2026,MCL,26,,
D,Pierre Gasly (43603709),Pierre Gasly,43603709,CPT,8700,Belgian Grand Prix 2026,ALPN,25.3,,
CNSTR,Red Bull Racing (43603692),Red Bull Racing,43603692,CNSTR,8500,Belgian Grand Prix 2026,RB,45.5,,
D,Oscar Piastri (43603673),Oscar Piastri,43603673,D,8200,Belgian Grand Prix 2026,MCL,33.4,,
D,Arvid Lindblad (43603710),Arvid Lindblad,43603710,CPT,8100,Belgian Grand Prix 2026,VCARB,23.6,,
D,Oliver Bearman (43603711),Oliver Bearman,43603711,CPT,7500,Belgian Grand Prix 2026,HAAS,19.1,,
D,Isack Hadjar (43603674),Isack Hadjar,43603674,D,7400,Belgian Grand Prix 2026,RB,21.9,,
D,Franco Colapinto (43603712),Franco Colapinto,43603712,CPT,7200,Belgian Grand Prix 2026,ALPN,22.3,,
D,Gabriel Bortoleto (43603713),Gabriel Bortoleto,43603713,CPT,6900,Belgian Grand Prix 2026,AUD,23.9,,
D,Carlos Sainz Jr. (43603714),Carlos Sainz Jr.,43603714,CPT,6600,Belgian Grand Prix 2026,WILL,19,,
D,Liam Lawson (43603675),Liam Lawson,43603675,D,6400,Belgian Grand Prix 2026,VCARB,27.1,,
