Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,Starting
D,Andrea Kimi Antonelli (43662539),Andrea Kimi Antonelli,43662539,CPT,20100,Hungarian Grand Prix 2026,MERC,43.4,,
D,Lewis Hamilton (43662540),Lewis Hamilton,43662540,CPT,18600,Hungarian Grand Prix 2026,FERR,39,,
D,Charles Leclerc (43662541),Charles Leclerc,43662541,CPT,18000,Hungarian Grand Prix 2026,FERR,30.3,,
D,George Russell (43662542),George Russell,43662542,CPT,17100,Hungarian Grand Prix 2026,MERC,34.9,,
D,Max Verstappen (43662543),Max Verstappen,43662543,CPT,16500,Hungarian Grand Prix 2026,RB,30.4,,
CNSTR,Mercedes (43662528),Mercedes,43662528,CNSTR,14000,Hungarian Grand Prix 2026,MERC,77.8,,
CNSTR,Ferrari (43662529),Ferrari,43662529,CNSTR,13500,Hungarian Grand Prix 2026,FERR,69.7,,
D,Lando Norris (43662544),Lando Norris,43662544,CPT,13500,Hungarian Grand Prix 2026,MCL,27.1,,
D,Andrea Kimi Antonelli (43662506),Andrea Kimi Antonelli,43662506,D,13400,Hungarian Grand Prix 2026,MERC,43.4,,
D,Lewis Hamilton (43662507),Lewis Hamilton,43662507,D,12400,Hungarian Grand Prix 2026,FERR,39,,
D,Charles Leclerc (43662508),Charles Leclerc,43662508,D,12000,Hungarian Grand Prix 2026,FERR,30.3,,
D,Oscar Piastri (43662545),Oscar Piastri,43662545,CPT,12000,Hungarian Grand Prix 2026,MCL,33.9,,
D,George Russell (43662509),George Russell,43662509,D,11400,Hungarian Grand Prix 2026,MERC,34.9,,
D,Max Verstappen (43662510),Max Verstappen,43662510,D,11000,Hungarian Grand Prix 2026,RB,30.4,,
D,Isack Hadjar (43662546),Isack Hadjar,43662546,CPT,10500,Hungarian Grand Prix 2026,RB,24,,
CNSTR,McLaren (43662530),McLaren,43662530,CNSTR,9300,Hungarian Grand Prix 2026,MCL,56.2,,
D,Lando Norris (43662511),Lando Norris,43662511,D,9000,Hungarian Grand Prix 2026,MCL,27.1,,
CNSTR,Red Bull Racing (43662531),Red Bull Racing,43662531,CNSTR,9000,Hungarian Grand Prix 2026,RB,47.9,,
D,Liam Lawson (43662547),Liam Lawson,43662547,CPT,9000,Hungarian Grand Prix 2026,VCARB,25.7,,
D,Arvid Lindblad (43662548),Arvid Lindblad,43662548,CPT,8400,Hungarian Grand Prix 2026,VCARB,23.9,,
D,Gabriel Bortoleto (43662549),Gabriel Bortoleto,43662549,CPT,8100,Hungarian Grand Prix 2026,AUD,24.4,,
D,Oscar Piastri (43662512),Oscar Piastri,43662512,D,8000,Hungarian Grand Prix 2026,MCL,33.9,,
D,Pierre Gasly (43662550),Pierre Gasly,43662550,CPT,7500,Hungarian Grand Prix 2026,ALPN,24.5,,
D,Oliver Bearman (43662551),Oliver Bearman,43662551,CPT,7200,Hungarian Grand Prix 2026,HAAS,19,,
D,Isack Hadjar (43662513),Isack Hadjar,43662513,D,7000,Hungarian Grand Prix 2026,RB,24,,
D,Franco Colapinto (43662552),Franco Colapinto,43662552,CPT,6900,Hungarian Grand Prix 2026,ALPN,22.8,,
D,Nico Hulkenberg (43662553),Nico Hulkenberg,43662553,CPT,6600,Hungarian Grand Prix 2026,AUD,9.8,,
D,Carlos Sainz Jr. (43662554),Carlos Sainz Jr.,43662554,CPT,6300,Hungarian Grand Prix 2026,WILL,18.2,,
D,Liam Lawson (43662514),Liam Lawson,43662514,D,6000,Hungarian Grand Prix 2026,VCARB,25.7,,
D,Alexander Albon (43662555),Alexander Albon,43662555,CPT,6000,Hungarian Grand Prix 2026,WILL,12,,
D,Esteban Ocon (43662556),Esteban Ocon,43662556,CPT,5700,Hungarian Grand Prix 2026,HAAS,18,,
D,Arvid Lindblad (43662515),Arvid Lindblad,43662515,D,5600,Hungarian Grand Prix 2026,VCARB,23.9,,
D,Gabriel Bortoleto (43662516),Gabriel Bortoleto,43662516,D,5400,Hungarian Grand Prix 2026,AUD,24.4,,
D,Fernando Alonso (43662557),Fernando Alonso,43662557,CPT,5400,Hungarian Grand Prix 2026,AM,13.2,,
D,Valtteri Bottas (43662558),Valtteri Bottas,43662558,CPT,5100,Hungarian Grand Prix 2026,CAD,7.4,,
D,Pierre Gasly (43662517),Pierre Gasly,43662517,D,5000,Hungarian Grand Prix 2026,ALPN,24.5,,
D,Oliver Bearman (43662518),Oliver Bearman,43662518,D,4800,Hungarian Grand Prix 2026,HAAS,19,,
D,Sergio Perez (43662559),Sergio Perez,43662559,CPT,4800,Hungarian Grand Prix 2026,CAD,13.8,,
D,Franco Colapinto (43662519),Franco Colapinto,43662519,D,4600,Hungarian Grand Prix 2026,ALPN,22.8,,
D,Lance Stroll (43662560),Lance Stroll,43662560,CPT,4500,Hungarian Grand Prix 2026,AM,7.5,,
D,Nico Hulkenberg (43662520),Nico Hulkenberg,43662520,D,4400,Hungarian Grand Prix 2026,AUD,9.8,,
CNSTR,Racing Bulls F1 Team (43662532),Racing Bulls F1 Team,43662532,CNSTR,4300,Hungarian Grand Prix 2026,VCARB,41.8,,
D,Carlos Sainz Jr. (43662521),Carlos Sainz Jr.,43662521,D,4200,Hungarian Grand Prix 2026,WILL,18.2,,
D,Alexander Albon (43662522),Alexander Albon,43662522,D,4000,Hungarian Grand Prix 2026,WILL,12,,
D,Esteban Ocon (43662523),Esteban Ocon,43662523,D,3800,Hungarian Grand Prix 2026,HAAS,18,,
CNSTR,Alpine F1 Team (43662533),Alpine F1 Team,43662533,CNSTR,3800,Hungarian Grand Prix 2026,ALPN,40.9,,
D,Fernando Alonso (43662524),Fernando Alonso,43662524,D,3600,Hungarian Grand Prix 2026,AM,13.2,,
D,Valtteri Bottas (43662525),Valtteri Bottas,43662525,D,3400,Hungarian Grand Prix 2026,CAD,7.4,,
CNSTR,Audi F1 Team (43662534),Audi F1 Team,43662534,CNSTR,3300,Hungarian Grand Prix 2026,AUD,26.5,,
D,Sergio Perez (43662526),Sergio Perez,43662526,D,3200,Hungarian Grand Prix 2026,CAD,13.8,,
CNSTR,Haas F1 Team (43662535),Haas F1 Team,43662535,CNSTR,3100,Hungarian Grand Prix 2026,HAAS,28.6,,
D,Lance Stroll (43662527),Lance Stroll,43662527,D,3000,Hungarian Grand Prix 2026,AM,7.5,,
CNSTR,Williams (43662536),Williams,43662536,CNSTR,3000,Hungarian Grand Prix 2026,WILL,21.6,,
CNSTR,Aston Martin F1 Team (43662537),Aston Martin F1 Team,43662537,CNSTR,3000,Hungarian Grand Prix 2026,AM,10,,
CNSTR,Cadillac (43662538),Cadillac,43662538,CNSTR,3000,Hungarian Grand Prix 2026,CAD,12.1,,
