"season","round","driver_code","win_books","win_avg_american_odds","win_avg_decimal_odds","win_best_american_odds","win_best_decimal_odds","win_best_sportsbook","win_market_implied_probability","win_market_no_vig_probability","podium_books","podium_avg_american_odds","podium_avg_decimal_odds","podium_best_american_odds","podium_best_decimal_odds","podium_best_sportsbook","podium_market_implied_probability","podium_market_no_vig_probability","driver_name","race_name","win_source_url","podium_source_url","source_market","source_note","odds_timestamp","source_ref_id","podium_market_avg_american_odds","podium_market_avg_decimal_odds","podium_market_best_american_odds","podium_market_best_decimal_odds","podium_market_probability","podium_market_no_vig_probability_only","podium_estimated_probability","podium_estimated_decimal_odds","podium_estimated_american_odds","podium_effective_avg_decimal_odds","podium_effective_avg_american_odds","podium_effective_best_decimal_odds","podium_effective_best_american_odds","podium_effective_probability","podium_effective_no_vig_probability","podium_odds_source"
"2025","1","ALB","1","7000","71","7000","71","not specified","0.0140845070422535","0.0121928653999536","","","","","","","","","Alexander Albon","Australian GP","https://www.sportsbookreview.com/picks/more-sports/australian-grand-prix-odds-predictions-expert-picks-prop-bets-long-shots-2025/","","Race winner odds board from article excerpt; win only.","Win source: SportsbookReview / not specified","2025-03-15","turn291574search4","","","","","","","","","","","","","","","",""
"2025","1","ALO","","","","","","","","","","","","","","","","","Fernando Alonso","Australian GP","","","","No usable odds found in the searched sources.","","","","","","","","","","","","","","","","","",""
"2025","1","ANT","1","18000","181","18000","181","not specified","0.00552486187845303","0.00478283670384921","","","","","","","","","Kimi Antonelli","Australian GP","https://www.sportsbookreview.com/picks/more-sports/australian-grand-prix-odds-predictions-expert-picks-prop-bets-long-shots-2025/","","Race winner odds board from article excerpt; win only.","Win source: SportsbookReview / not specified","2025-03-15","turn291574search4","","","","","","","","","","","","","","","",""
"2025","1","BEA","","","","","","","","","","","","","","","","","Oliver Bearman","Australian GP","","","","No usable odds found in the searched sources.","","","","","","","","","","","","","","","","","",""
"2025","1","BOR","","","","","","","","","","","","","","","","","Gabriel Bortoleto","Australian GP","","","","No usable odds found in the searched sources.","","","","","","","","","","","","","","","","","",""
"2025","1","DOO","","","","","","","","","","","","","","","","","Jack Doohan","Australian GP","","","","No usable odds found in the searched sources.","","","","","","","","","","","","","","","","","",""
"2025","1","GAS","1","18000","181","18000","181","not specified","0.00552486187845303","0.00478283670384921","","","","","","","","","Pierre Gasly","Australian GP","https://www.sportsbookreview.com/picks/more-sports/australian-grand-prix-odds-predictions-expert-picks-prop-bets-long-shots-2025/","","Race winner odds board from article excerpt; win only.","Win source: SportsbookReview / not specified","2025-03-15","turn291574search4","","","","","","","","","","","","","","","",""
"2025","1","HAD","","","","","","","","","","","","","","","","","Isack Hadjar","Australian GP","","","","No usable odds found in the searched sources.","","","","","","","","","","","","","","","","","",""
"2025","1","HAM","1","2000","21","2000","21","not specified","0.0476190476190476","0.0412234973046051","","","","","","","","","Lewis Hamilton","Australian GP","https://www.sportsbookreview.com/picks/more-sports/australian-grand-prix-odds-predictions-expert-picks-prop-bets-long-shots-2025/","","Race winner odds board from article excerpt; win only.","Win source: SportsbookReview / not specified","2025-03-15","turn291574search4","","","","","","","","","","","","","","","",""
"2025","1","HUL","","","","","","","","","","","","","","","","","Nico Hulkenberg","Australian GP","","","","No usable odds found in the searched sources.","","","","","","","","","","","","","","","","","",""
"2025","1","LAW","1","18000","181","18000","181","not specified","0.00552486187845303","0.00478283670384921","","","","","","","","","Liam Lawson","Australian GP","https://www.sportsbookreview.com/picks/more-sports/australian-grand-prix-odds-predictions-expert-picks-prop-bets-long-shots-2025/","","Race winner odds board from article excerpt; win only.","Win source: SportsbookReview / not specified","2025-03-15","turn291574search4","","","","","","","","","","","","","","","",""
"2025","1","LEC","1","1500","16","1500","16","not specified","0.0625","0.0541058402122942","","","","","","","","","Charles Leclerc","Australian GP","https://www.sportsbookreview.com/picks/more-sports/australian-grand-prix-odds-predictions-expert-picks-prop-bets-long-shots-2025/","","Race winner odds board from article excerpt; win only.","Win source: SportsbookReview / not specified","2025-03-15","turn291574search4","","","","","","","","","","","","","","","",""
"2025","1","NOR","1","145","2.45","145","2.45","not specified","0.408163265306122","0.353344262610901","","","","","","","","","Lando Norris","Australian GP","https://www.sportsbookreview.com/picks/more-sports/australian-grand-prix-odds-predictions-expert-picks-prop-bets-long-shots-2025/","","Race winner odds board from article excerpt; win only.","Win source: SportsbookReview / not specified","2025-03-15","turn291574search4","","","","","","","","","","","","","","","",""
"2025","1","OCO","","","","","","","","","","","","","","","","","Esteban Ocon","Australian GP","","","","No usable odds found in the searched sources.","","","","","","","","","","","","","","","","","",""
"2025","1","PIA","1","390","4.9","390","4.9","not specified","0.204081632653061","0.17667213130545","","","","","","","","","Oscar Piastri","Australian GP","https://www.sportsbookreview.com/picks/more-sports/australian-grand-prix-odds-predictions-expert-picks-prop-bets-long-shots-2025/","","Race winner odds board from article excerpt; win only.","Win source: SportsbookReview / not specified","2025-03-15","turn291574search4","","","","","","","","","","","","","","","",""
"2025","1","RUS","1","1200","13","1200","13","not specified","0.0769230769230769","0.0665918033382082","","","","","","","","","George Russell","Australian GP","https://www.sportsbookreview.com/picks/more-sports/australian-grand-prix-odds-predictions-expert-picks-prop-bets-long-shots-2025/","","Race winner odds board from article excerpt; win only.","Win source: SportsbookReview / not specified","2025-03-15","turn291574search4","","","","","","","","","","","","","","","",""
"2025","1","SAI","1","7500","76","7500","76","not specified","0.0131578947368421","0.0113907032025883","","","","","","","","","Carlos Sainz","Australian GP","https://www.sportsbookreview.com/picks/more-sports/australian-grand-prix-odds-predictions-expert-picks-prop-bets-long-shots-2025/","","Race winner odds board from article excerpt; win only.","Win source: SportsbookReview / not specified","2025-03-15","turn291574search4","","","","","","","","","","","","","","","",""
"2025","1","STR","","","","","","","","","","","","","","","","","Lance Stroll","Australian GP","","","","No usable odds found in the searched sources.","","","","","","","","","","","","","","","","","",""
"2025","1","TSU","1","11000","111","11000","111","not specified","0.009009009009009","0.00779904003060096","","","","","","","","","Yuki Tsunoda","Australian GP","https://www.sportsbookreview.com/picks/more-sports/australian-grand-prix-odds-predictions-expert-picks-prop-bets-long-shots-2025/","","Race winner odds board from article excerpt; win only.","Win source: SportsbookReview / not specified","2025-03-15","turn291574search4","","","","","","","","","","","","","","","",""
"2025","1","VER","1","230","3.3","230","3.3","not specified","0.303030303030303","0.262331346483851","","","","","","","","","Max Verstappen","Australian GP","https://www.sportsbookreview.com/picks/more-sports/australian-grand-prix-odds-predictions-expert-picks-prop-bets-long-shots-2025/","","Race winner odds board from article excerpt; win only.","Win source: SportsbookReview / not specified","2025-03-15","turn291574search4","","","","","","","","","","","","","","","",""
"2025","2","ALB","","","","","","","","","","","","","","","","","Alexander Albon","Chinese GP","","","","No usable odds found in the searched sources.","","","","","","","","","","","","","","","","","",""
"2025","2","ALO","","","","","","","","","","","","","","","","","Fernando Alonso","Chinese GP","","","","No usable odds found in the searched sources.","","","","","","","","","","","","","","","","","",""
"2025","2","ANT","","","","","","","","","","","","","","","","","Kimi Antonelli","Chinese GP","","","","No usable odds found in the searched sources.","","","","","","","","","","","","","","","","","",""
"2025","2","BEA","","","","","","","","","","","","","","","","","Oliver Bearman","Chinese GP","","","","No usable odds found in the searched sources.","","","","","","","","","","","","","","","","","",""
"2025","2","BOR","","","","","","","","","","","","","","","","","Gabriel Bortoleto","Chinese GP","","","","No usable odds found in the searched sources.","","","","","","","","","","","","","","","","","",""
"2025","2","DOO","","","","","","","","","","","","","","","","","Jack Doohan","Chinese GP","","","","No usable odds found in the searched sources.","","","","","","","","","","","","","","","","","",""
"2025","2","GAS","","","","","","","","","","","","","","","","","Pierre Gasly","Chinese GP","","","","No usable odds found in the searched sources.","","","","","","","","","","","","","","","","","",""
"2025","2","HAD","","","","","","","","","","","","","","","","","Isack Hadjar","Chinese GP","","","","No usable odds found in the searched sources.","","","","","","","","","","","","","","","","","",""
"2025","2","HAM","1","1100","12","1100","12","BetMGM","0.0833333333333333","0.068801001121047","","","","","","","","","Lewis Hamilton","Chinese GP","https://www.sportsbookreview.com/picks/more-sports/f1-chinese-grand-prix-shanghai-international-circuit-best-bets-predictions-2025/","","Latest Chinese GP winner odds; win only.","Win source: SportsbookReview / BetMGM","2025-03-22 / odds as of Fri 6:00 ET","turn291574search1","","","","","","","","","","","","","","","",""
"2025","2","HUL","","","","","","","","","","","","","","","","","Nico Hulkenberg","Chinese GP","","","","No usable odds found in the searched sources.","","","","","","","","","","","","","","","","","",""
"2025","2","LAW","","","","","","","","","","","","","","","","","Liam Lawson","Chinese GP","","","","No usable odds found in the searched sources.","","","","","","","","","","","","","","","","","",""
"2025","2","LEC","1","2800","29","2800","29","BetMGM","0.0344827586206896","0.0284693797742263","","","","","","","","","Charles Leclerc","Chinese GP","https://www.sportsbookreview.com/picks/more-sports/f1-chinese-grand-prix-shanghai-international-circuit-best-bets-predictions-2025/","","Latest Chinese GP winner odds; win only.","Win source: SportsbookReview / BetMGM","2025-03-22 / odds as of Fri 6:00 ET","turn291574search1","","","","","","","","","","","","","","","",""
"2025","2","NOR","1","225","3.25","225","3.25","BetMGM","0.307692307692308","0.254034465677712","","","","","","","","","Lando Norris","Chinese GP","https://www.sportsbookreview.com/picks/more-sports/f1-chinese-grand-prix-shanghai-international-circuit-best-bets-predictions-2025/","","Latest Chinese GP winner odds; win only.","Win source: SportsbookReview / BetMGM","2025-03-22 / odds as of Fri 6:00 ET","turn291574search1","","","","","","","","","","","","","","","",""
"2025","2","OCO","","","","","","","","","","","","","","","","","Esteban Ocon","Chinese GP","","","","No usable odds found in the searched sources.","","","","","","","","","","","","","","","","","",""
"2025","2","PIA","1","100","2","100","2","BetMGM","0.5","0.412806006726282","","","","","","","","","Oscar Piastri","Chinese GP","https://www.sportsbookreview.com/picks/more-sports/f1-chinese-grand-prix-shanghai-international-circuit-best-bets-predictions-2025/","","Latest Chinese GP winner odds; win only.","Win source: SportsbookReview / BetMGM","2025-03-22 / odds as of Fri 6:00 ET","turn291574search1","","","","","","","","","","","","","","","",""
"2025","2","RUS","1","600","7","600","7","BetMGM","0.142857142857143","0.117944573350366","","","","","","","","","George Russell","Chinese GP","https://www.sportsbookreview.com/picks/more-sports/f1-chinese-grand-prix-shanghai-international-circuit-best-bets-predictions-2025/","","Latest Chinese GP winner odds; win only.","Win source: SportsbookReview / BetMGM","2025-03-22 / odds as of Fri 6:00 ET","turn291574search1","","","","","","","","","","","","","","","",""
"2025","2","SAI","","","","","","","","","","","","","","","","","Carlos Sainz","Chinese GP","","","","No usable odds found in the searched sources.","","","","","","","","","","","","","","","","","",""
"2025","2","STR","","","","","","","","","","","","","","","","","Lance Stroll","Chinese GP","","","","No usable odds found in the searched sources.","","","","","","","","","","","","","","","","","",""
"2025","2","TSU","","","","","","","","","","","","","","","","","Yuki Tsunoda","Chinese GP","","","","No usable odds found in the searched sources.","","","","","","","","","","","","","","","","","",""
"2025","2","VER","1","600","7","600","7","BetMGM","0.142857142857143","0.117944573350366","","","","","","","","","Max Verstappen","Chinese GP","https://www.sportsbookreview.com/picks/more-sports/f1-chinese-grand-prix-shanghai-international-circuit-best-bets-predictions-2025/","","Latest Chinese GP winner odds; win only.","Win source: SportsbookReview / BetMGM","2025-03-22 / odds as of Fri 6:00 ET","turn291574search1","","","","","","","","","","","","","","","",""
"2025","3","ALB","","","","","","","","","","","","","","","","","Alexander Albon","Japanese GP","","","","No usable odds found in the searched sources.","","","","","","","","","","","","","","","","","",""
"2025","3","ALO","","","","","","","","","","","","","","","","","Fernando Alonso","Japanese GP","","","","No usable odds found in the searched sources.","","","","","","","","","","","","","","","","","",""
"2025","3","ANT","","","","","","","","","","","","","","","","","Kimi Antonelli","Japanese GP","","","","No usable odds found in the searched sources.","","","","","","","","","","","","","","","","","",""
"2025","3","BEA","","","","","","","","","","","","","","","","","Oliver Bearman","Japanese GP","","","","No usable odds found in the searched sources.","","","","","","","","","","","","","","","","","",""
"2025","3","BOR","","","","","","","","","","","","","","","","","Gabriel Bortoleto","Japanese GP","","","","No usable odds found in the searched sources.","","","","","","","","","","","","","","","","","",""
"2025","3","DOO","","","","","","","","","","","","","","","","","Jack Doohan","Japanese GP","","","","No usable odds found in the searched sources.","","","","","","","","","","","","","","","","","",""
"2025","3","GAS","","","","","","","","","","","","","","","","","Pierre Gasly","Japanese GP","","","","No usable odds found in the searched sources.","","","","","","","","","","","","","","","","","",""
"2025","3","HAD","","","","","","","","","","","","","","","","","Isack Hadjar","Japanese GP","","","","No usable odds found in the searched sources.","","","","","","","","","","","","","","","","","",""
"2025","3","HAM","1","2500","26","2500","26","BetMGM","0.0384615384615385","0.0330424831926763","","","","","","","","","Lewis Hamilton","Japanese GP","https://www.sportsbookreview.com/picks/more-sports/f1-japanese-grand-prix-suzuka-circuit-best-bets-predictions-2025/","","Latest Japanese GP winner odds; win only.","Win source: SportsbookReview / BetMGM","2025-04-05 / odds as of Sat 7:00 ET","turn291574search5","","","","","","","","","","","","","","","",""
"2025","3","HUL","","","","","","","","","","","","","","","","","Nico Hulkenberg","Japanese GP","","","","No usable odds found in the searched sources.","","","","","","","","","","","","","","","","","",""
"2025","3","LAW","","","","","","","","","","","","","","","","","Liam Lawson","Japanese GP","","","","No usable odds found in the searched sources.","","","","","","","","","","","","","","","","","",""
"2025","3","LEC","1","2000","21","2000","21","BetMGM","0.0476190476190476","0.0409097410956945","","","","","","","","","Charles Leclerc","Japanese GP","https://www.sportsbookreview.com/picks/more-sports/f1-japanese-grand-prix-suzuka-circuit-best-bets-predictions-2025/","","Latest Japanese GP winner odds; win only.","Win source: SportsbookReview / BetMGM","2025-04-05 / odds as of Sat 7:00 ET","turn291574search5","","","","","","","","","","","","","","","",""
"2025","3","NOR","1","125","2.25","125","2.25","BetMGM","0.444444444444444","0.381824250226482","","","","","","","","","Lando Norris","Japanese GP","https://www.sportsbookreview.com/picks/more-sports/f1-japanese-grand-prix-suzuka-circuit-best-bets-predictions-2025/","","Latest Japanese GP winner odds; win only.","Win source: SportsbookReview / BetMGM","2025-04-05 / odds as of Sat 7:00 ET","turn291574search5","","","","","","","","","","","","","","","",""
"2025","3","OCO","","","","","","","","","","","","","","","","","Esteban Ocon","Japanese GP","","","","No usable odds found in the searched sources.","","","","","","","","","","","","","","","","","",""
"2025","3","PIA","1","350","4.5","350","4.5","BetMGM","0.222222222222222","0.190912125113241","","","","","","","","","Oscar Piastri","Japanese GP","https://www.sportsbookreview.com/picks/more-sports/f1-japanese-grand-prix-suzuka-circuit-best-bets-predictions-2025/","","Latest Japanese GP winner odds; win only.","Win source: SportsbookReview / BetMGM","2025-04-05 / odds as of Sat 7:00 ET","turn291574search5","","","","","","","","","","","","","","","",""
