"season","round","driver_code","win_books","win_avg_american_odds","win_avg_decimal_odds","win_best_american_odds","win_best_decimal_odds","win_best_sportsbook","win_market_implied_probability","win_market_no_vig_probability","podium_books","podium_avg_american_odds","podium_avg_decimal_odds","podium_best_american_odds","podium_best_decimal_odds","podium_best_sportsbook","podium_market_implied_probability","podium_market_no_vig_probability","driver_name","race_name","win_source_url","podium_source_url","source_market","source_note","odds_timestamp","source_ref_id"
"2026","9","ALB","1","60000","601","60000","601","user supplied","0.00166389351081531","0.0013375868264348","1","30000","301","30000","301","user supplied","0.00332225913621262","9.3990502958994e-4","Alexander Albon","British Grand Prix","NA","NA","User supplied British GP race winner and podium board.","User supplied on 2026-07-01 from provided British GP odds board.","2026-07-03 07:30:00","user_supplied_2026-07-01"
"2026","9","ALO","1","70000","701","70000","701","user supplied","0.0014265335235378","0.00114677558157962","1","50000","501","50000","501","user supplied","0.00199600798403194","5.6469344093128e-4","Fernando Alonso","British Grand Prix","NA","NA","User supplied British GP race winner and podium board.","User supplied on 2026-07-01 from provided British GP odds board.","2026-07-03 07:30:00","user_supplied_2026-07-01"
"2026","9","ANT","1","175","2.75","175","2.75","user supplied","0.363636363636364","0.292323520977206","1","-450","1.22222222222222","-450","1.22222222222222","user supplied","0.818181818181818","0.23147297501447","Andrea Kimi Antonelli","British Grand Prix","NA","NA","User supplied British GP race winner and podium board.","User supplied on 2026-07-01 from provided British GP odds board.","2026-07-03 07:30:00","user_supplied_2026-07-01"
"2026","9","BEA","1","50000","501","50000","501","user supplied","0.00199600798403194","0.00160457022492478","1","25000","251","25000","251","user supplied","0.00398406374501992","0.00112713710719751","Oliver Bearman","British Grand Prix","NA","NA","User supplied British GP race winner and podium board.","User supplied on 2026-07-01 from provided British GP odds board.","2026-07-03 07:30:00","user_supplied_2026-07-01"
"2026","9","BOR","1","50000","501","50000","501","user supplied","0.00199600798403194","0.00160457022492478","1","25000","251","25000","251","user supplied","0.00398406374501992","0.00112713710719751","Gabriel Bortoleto","British Grand Prix","NA","NA","User supplied British GP race winner and podium board.","User supplied on 2026-07-01 from provided British GP odds board.","2026-07-03 07:30:00","user_supplied_2026-07-01"
"2026","9","BOT","1","70000","701","70000","701","user supplied","0.0014265335235378","0.00114677558157962","1","50000","501","50000","501","user supplied","0.00199600798403194","5.6469344093128e-4","Valtteri Bottas","British Grand Prix","NA","NA","User supplied British GP race winner and podium board.","User supplied on 2026-07-01 from provided British GP odds board.","2026-07-03 07:30:00","user_supplied_2026-07-01"
"2026","9","COL","1","50000","501","50000","501","user supplied","0.00199600798403194","0.00160457022492478","1","25000","251","25000","251","user supplied","0.00398406374501992","0.00112713710719751","Franco Colapinto","British Grand Prix","NA","NA","User supplied British GP race winner and podium board.","User supplied on 2026-07-01 from provided British GP odds board.","2026-07-03 07:30:00","user_supplied_2026-07-01"
"2026","9","GAS","1","40000","401","40000","401","user supplied","0.00249376558603491","0.00200471242565415","1","10000","101","10000","101","user supplied","0.0099009900990099","0.00280110310798588","Pierre Gasly","British Grand Prix","NA","NA","User supplied British GP race winner and podium board.","User supplied on 2026-07-01 from provided British GP odds board.","2026-07-03 07:30:00","user_supplied_2026-07-01"
"2026","9","HAD","1","6500","66","6500","66","user supplied","0.0151515151515152","0.0121801467073836","1","3500","36","3500","36","user supplied","0.0277777777777778","0.00785865038629372","Isack Hadjar","British Grand Prix","NA","NA","User supplied British GP race winner and podium board.","User supplied on 2026-07-01 from provided British GP odds board.","2026-07-03 07:30:00","user_supplied_2026-07-01"
"2026","9","HAM","1","450","5.5","450","5.5","user supplied","0.181818181818182","0.146161760488603","1","-165","1.60606060606061","-165","1.60606060606061","user supplied","0.622641509433962","0.176152389790886","Lewis Hamilton","British Grand Prix","NA","NA","User supplied British GP race winner and podium board.","User supplied on 2026-07-01 from provided British GP odds board.","2026-07-03 07:30:00","user_supplied_2026-07-01"
