Signal_ID,Race_Key,Season,Round,Grand Prix,Race_Date,Team,Momentum_Raw,Upgrade_Raw,Context_Raw,Source_Confidence,Raw_Weighted_Score,Composite_Chatter_Score,Points_Nudge,Finish_Position_Nudge,Primary_Source_IDs,Coding_Notes,Last_Coded,Coded_By,Race_Source_URL
2018_R01_AUSTRALIA_MERCEDES,2018_R01_AUSTRALIA,2018,1,Australia,2018-03-25T00:00:00Z,Mercedes,0.2,0,0,0.75,0.09000000000000001,0.0675,0.016875,-0.016875,Rolling_Result_Form; Season_Tier_Proxy,Proxy coded from recent results/form and season-tier scaffold | rolling momentum base +0.2,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R01_AUSTRALIA_FERRARI,2018_R01_AUSTRALIA,2018,1,Australia,2018-03-25T00:00:00Z,Ferrari,1.1,0,0,1,0.49500000000000005,0.49500000000000005,0.12375000000000001,-0.12375000000000001,EVT_0001,Event-log coded | Momentum +0.8 | rolling momentum base +0.2,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R01_AUSTRALIA_RED_BULL_RACING,2018_R01_AUSTRALIA,2018,1,Australia,2018-03-25T00:00:00Z,Red Bull Racing,0.2,0,0,0.75,0.09000000000000001,0.0675,0.016875,-0.016875,Rolling_Result_Form; Season_Tier_Proxy,Proxy coded from recent results/form and season-tier scaffold | rolling momentum base +0.2,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R01_AUSTRALIA_RENAULT,2018_R01_AUSTRALIA,2018,1,Australia,2018-03-25T00:00:00Z,Renault,0.3,0,0,1,0.135,0.135,0.03375,-0.03375,EVT_0007,Event-log coded | Momentum +0.3,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R01_AUSTRALIA_HAAS_F1_TEAM,2018_R01_AUSTRALIA,2018,1,Australia,2018-03-25T00:00:00Z,Haas F1 Team,0.4,0,0,1,0.18000000000000002,0.18000000000000002,0.045000000000000005,-0.045000000000000005,EVT_0006,Event-log coded | Momentum +0.4,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R01_AUSTRALIA_MCLAREN,2018_R01_AUSTRALIA,2018,1,Australia,2018-03-25T00:00:00Z,McLaren,0,0,0.4,1,0.04000000000000001,0.04000000000000001,0.010000000000000002,-0.010000000000000002,EVT_0010,Event-log coded | Context +0.4,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R01_AUSTRALIA_FORCE_INDIA_RACING_POINT,2018_R01_AUSTRALIA,2018,1,Australia,2018-03-25T00:00:00Z,Force India/Racing Point,-0.1,0,0,0.75,-0.045000000000000005,-0.03375,-0.0084375,0.0084375,Rolling_Result_Form; Season_Tier_Proxy,Proxy coded from recent results/form and season-tier scaffold | rolling momentum base -0.1,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R01_AUSTRALIA_SAUBER,2018_R01_AUSTRALIA,2018,1,Australia,2018-03-25T00:00:00Z,Sauber,-0.1,0,0,0.75,-0.045000000000000005,-0.03375,-0.0084375,0.0084375,Rolling_Result_Form; Season_Tier_Proxy,Proxy coded from recent results/form and season-tier scaffold | rolling momentum base -0.1,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R01_AUSTRALIA_TORO_ROSSO,2018_R01_AUSTRALIA,2018,1,Australia,2018-03-25T00:00:00Z,Toro Rosso,-0.2,0,0,0.75,-0.09000000000000001,-0.0675,-0.016875,0.016875,Rolling_Result_Form; Season_Tier_Proxy,Proxy coded from recent results/form and season-tier scaffold | rolling momentum base -0.2,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R01_AUSTRALIA_WILLIAMS,2018_R01_AUSTRALIA,2018,1,Australia,2018-03-25T00:00:00Z,Williams,-1.2,0,0,1,-0.54,-0.54,-0.135,0.135,EVT_0009,Event-log coded | Momentum -1.0 | rolling momentum base -0.2,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R02_BAHRAIN_MERCEDES,2018_R02_BAHRAIN,2018,2,Bahrain,2018-04-08T00:00:00Z,Mercedes,0.2,0,0,0.75,0.09000000000000001,0.0675,0.016875,-0.016875,Rolling_Result_Form; Season_Tier_Proxy,Proxy coded from recent results/form and season-tier scaffold | rolling momentum base +0.2,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
