"season","round","race_name","driver_code","driver_name","current_grid","current_quali_position","current_best_quali_sec","current_best_quali_delta_sec","current_grid_started_from_pit","notes"
"2026","8","Austrian Grand Prix","RUS","George Russell","1","1","66.113","0.000","0","Official F1 qualifying result 2026 Austrian GP"
"2026","8","Austrian Grand Prix","LEC","Charles Leclerc","2","2","66.349","0.236","0","Official F1 qualifying result 2026 Austrian GP"
"2026","8","Austrian Grand Prix","HAM","Lewis Hamilton","3","3","66.408","0.295","0","Official F1 qualifying result 2026 Austrian GP"
"2026","8","Austrian Grand Prix","ANT","Andrea Kimi Antonelli","4","4","66.414","0.301","0","Official F1 qualifying result 2026 Austrian GP"
"2026","8","Austrian Grand Prix","VER","Max Verstappen","5","5","66.475","0.362","0","Official F1 qualifying result 2026 Austrian GP"
"2026","8","Austrian Grand Prix","NOR","Lando Norris","6","6","66.502","0.389","0","Official F1 qualifying result 2026 Austrian GP"
"2026","8","Austrian Grand Prix","PIA","Oscar Piastri","7","7","66.511","0.398","0","Official F1 qualifying result 2026 Austrian GP"
"2026","8","Austrian Grand Prix","HAD","Isack Hadjar","8","8","66.632","0.519","0","Official F1 qualifying result 2026 Austrian GP"
"2026","8","Austrian Grand Prix","LAW","Liam Lawson","9","9","66.955","0.842","0","Official F1 qualifying result 2026 Austrian GP"
"2026","8","Austrian Grand Prix","LIN","Arvid Lindblad","10","10","67.007","0.894","0","Official F1 qualifying result 2026 Austrian GP"
"2026","8","Austrian Grand Prix","GAS","Pierre Gasly","11","11","67.223","1.110","0","Official F1 qualifying result 2026 Austrian GP"
"2026","8","Austrian Grand Prix","BOR","Gabriel Bortoleto","12","12","67.293","1.180","0","Official F1 qualifying result 2026 Austrian GP"
"2026","8","Austrian Grand Prix","BEA","Oliver Bearman","13","13","67.523","1.410","0","Official F1 qualifying result 2026 Austrian GP"
"2026","8","Austrian Grand Prix","HUL","Nico Hulkenberg","14","14","67.611","1.498","0","Official F1 qualifying result 2026 Austrian GP"
"2026","8","Austrian Grand Prix","OCO","Esteban Ocon","15","15","67.817","1.704","0","Official F1 qualifying result 2026 Austrian GP"
"2026","8","Austrian Grand Prix","COL","Franco Colapinto","16","16","67.894","1.781","0","Official F1 qualifying result 2026 Austrian GP"
"2026","8","Austrian Grand Prix","SAI","Carlos Sainz","17","17","68.252","2.139","0","Official F1 qualifying result 2026 Austrian GP"
"2026","8","Austrian Grand Prix","ALB","Alexander Albon","18","18","68.509","2.396","0","Official F1 qualifying result 2026 Austrian GP"
"2026","8","Austrian Grand Prix","PER","Sergio Perez","19","19","68.945","2.832","0","Official F1 qualifying result 2026 Austrian GP"
"2026","8","Austrian Grand Prix","BOT","Valtteri Bottas","20","20","69.030","2.917","0","Official F1 qualifying result 2026 Austrian GP"
"2026","8","Austrian Grand Prix","ALO","Fernando Alonso","21","21","69.942","3.829","0","Official F1 qualifying result 2026 Austrian GP"
"2026","8","Austrian Grand Prix","STR","Lance Stroll","22","22","70.363","4.250","0","Official F1 qualifying result 2026 Austrian GP"
"2026","9","British Grand Prix","ANT","Andrea Kimi Antonelli","1","1","88.111","0.000","0","Official F1 qualifying result 2026 British GP; updated 2026-07-04"
"2026","9","British Grand Prix","LEC","Charles Leclerc","2","2","88.286","0.175","0","Official F1 qualifying result 2026 British GP; updated 2026-07-04"
"2026","9","British Grand Prix","HAM","Lewis Hamilton","3","3","88.458","0.347","0","Official F1 qualifying result 2026 British GP; updated 2026-07-04"
