season,round,driver_code,driver_name,race_name,market,american_odds,decimal_odds,market_implied_probability,market_no_vig_probability,sportsbook,odds_timestamp,notes
2026,9,ALB,Alexander Albon,British Grand Prix,"Race Winner Without Red Bull, McLaren, Mercedes, Ferrari & Aston Martin",3500,36,0.027777777777777776,0.020409009017893717,manual,2026-07-03 11:30 America/New_York,Manual winner-without odds supplied by user on 2026-07-03.
2026,9,BEA,Oliver Bearman,British Grand Prix,"Race Winner Without Red Bull, McLaren, Mercedes, Ferrari & Aston Martin",850,9.5,0.10526315789473684,0.07733940259412356,manual,2026-07-03 11:30 America/New_York,Manual winner-without odds supplied by user on 2026-07-03.
2026,9,BOR,Gabriel Bortoleto,British Grand Prix,"Race Winner Without Red Bull, McLaren, Mercedes, Ferrari & Aston Martin",650,7.5,0.13333333333333333,0.09796324328588984,manual,2026-07-03 11:30 America/New_York,Manual winner-without odds supplied by user on 2026-07-03.
2026,9,BOT,Valtteri Bottas,British Grand Prix,"Race Winner Without Red Bull, McLaren, Mercedes, Ferrari & Aston Martin",15000,151,0.006622516556291391,0.004865724004266052,manual,2026-07-03 11:30 America/New_York,Manual winner-without odds supplied by user on 2026-07-03.
2026,9,COL,Franco Colapinto,British Grand Prix,"Race Winner Without Red Bull, McLaren, Mercedes, Ferrari & Aston Martin",850,9.5,0.10526315789473684,0.07733940259412356,manual,2026-07-03 11:30 America/New_York,Manual winner-without odds supplied by user on 2026-07-03.
2026,9,GAS,Pierre Gasly,British Grand Prix,"Race Winner Without Red Bull, McLaren, Mercedes, Ferrari & Aston Martin",400,5,0.2,0.14694486492883477,manual,2026-07-03 11:30 America/New_York,Manual winner-without odds supplied by user on 2026-07-03.
2026,9,HUL,Nico Hulkenberg,British Grand Prix,"Race Winner Without Red Bull, McLaren, Mercedes, Ferrari & Aston Martin",550,6.5,0.15384615384615385,0.11303451148371906,manual,2026-07-03 11:30 America/New_York,Manual winner-without odds supplied by user on 2026-07-03.
2026,9,LAW,Liam Lawson,British Grand Prix,"Race Winner Without Red Bull, McLaren, Mercedes, Ferrari & Aston Martin",250,3.5,0.2857142857142857,0.2099212356126211,manual,2026-07-03 11:30 America/New_York,Manual winner-without odds supplied by user on 2026-07-03.
2026,9,LIN,Arvid Lindblad,British Grand Prix,"Race Winner Without Red Bull, McLaren, Mercedes, Ferrari & Aston Martin",350,4.5,0.2222222222222222,0.16327207214314973,manual,2026-07-03 11:30 America/New_York,Manual winner-without odds supplied by user on 2026-07-03.
2026,9,OCO,Esteban Ocon,British Grand Prix,"Race Winner Without Red Bull, McLaren, Mercedes, Ferrari & Aston Martin",1100,12,0.08333333333333333,0.06122702705368115,manual,2026-07-03 11:30 America/New_York,Manual winner-without odds supplied by user on 2026-07-03.
2026,9,PER,Sergio Perez,British Grand Prix,"Race Winner Without Red Bull, McLaren, Mercedes, Ferrari & Aston Martin",10000,101,0.009900990099009901,0.007274498263803702,manual,2026-07-03 11:30 America/New_York,Manual winner-without odds supplied by user on 2026-07-03.
2026,9,SAI,Carlos Sainz,British Grand Prix,"Race Winner Without Red Bull, McLaren, Mercedes, Ferrari & Aston Martin",3500,36,0.027777777777777776,0.020409009017893717,manual,2026-07-03 11:30 America/New_York,Manual winner-without odds supplied by user on 2026-07-03.
2026,10,LAW,Liam Lawson,Belgian Grand Prix,"Race Winner Without Red Bull, McLaren, Mercedes, Ferrari & Aston Martin",265,3.65,0.273972602739726,0.200594636340038,manual,2026-07-14 America/New_York,User re-supplied the unchanged Belgium GP 2026 winner-without board on 2026-07-14.
