season,round,race_date,race_name,track_name,odds_as_of,sportsbook,driver_name,winner_odds_american,top3_odds_american,top5_odds_american
2026,22,2026-07-26,Brickyard 400 presented by PPG,Indianapolis Motor Speedway,2026-07-23,DraftKings,Denny Hamlin,350,135,-165
2026,22,2026-07-26,Brickyard 400 presented by PPG,Indianapolis Motor Speedway,2026-07-23,DraftKings,Tyler Reddick,550,165,-125
2026,22,2026-07-26,Brickyard 400 presented by PPG,Indianapolis Motor Speedway,2026-07-23,DraftKings,Ryan Blaney,700,210,-105
2026,22,2026-07-26,Brickyard 400 presented by PPG,Indianapolis Motor Speedway,2026-07-23,DraftKings,Kyle Larson,700,210,-105
2026,22,2026-07-26,Brickyard 400 presented by PPG,Indianapolis Motor Speedway,2026-07-23,DraftKings,William Byron,900,265,120
2026,22,2026-07-26,Brickyard 400 presented by PPG,Indianapolis Motor Speedway,2026-07-23,DraftKings,Christopher Bell,1000,300,135
2026,22,2026-07-26,Brickyard 400 presented by PPG,Indianapolis Motor Speedway,2026-07-23,DraftKings,Chase Briscoe,1000,300,135
2026,22,2026-07-26,Brickyard 400 presented by PPG,Indianapolis Motor Speedway,2026-07-23,DraftKings,Chase Elliott,1200,350,160
2026,22,2026-07-26,Brickyard 400 presented by PPG,Indianapolis Motor Speedway,2026-07-23,DraftKings,Bubba Wallace,1200,425,200
2026,22,2026-07-26,Brickyard 400 presented by PPG,Indianapolis Motor Speedway,2026-07-23,DraftKings,Joey Logano,1600,450,210
2026,22,2026-07-26,Brickyard 400 presented by PPG,Indianapolis Motor Speedway,2026-07-23,DraftKings,Ty Gibbs,1700,550,260
2026,22,2026-07-26,Brickyard 400 presented by PPG,Indianapolis Motor Speedway,2026-07-23,DraftKings,Chris Buescher,2000,550,260
2026,22,2026-07-26,Brickyard 400 presented by PPG,Indianapolis Motor Speedway,2026-07-23,DraftKings,Carson Hocevar,2200,600,285
2026,22,2026-07-26,Brickyard 400 presented by PPG,Indianapolis Motor Speedway,2026-07-23,DraftKings,Erik Jones,3500,1000,425
2026,22,2026-07-26,Brickyard 400 presented by PPG,Indianapolis Motor Speedway,2026-07-23,DraftKings,Corey Heim,4000,1200,550
