season,round,race_name,driver_id,driver_name,car_number,qualifying_position,qualifying_speed,start_position,source,as_of,notes
2026,21,Window World 450,ross_chastain,Ross Chastain,1,,,13,NASCAR Statistics official starting lineup via Jayski,2026-07-18 17:06 ET,Qualifying canceled due to weather; starting lineup set by NASCAR metric
2026,21,Window World 450,austin_cindric,Austin Cindric,2,,,14,NASCAR Statistics official starting lineup via Jayski,2026-07-18 17:06 ET,Qualifying canceled due to weather; starting lineup set by NASCAR metric
2026,21,Window World 450,austin_dillon,Austin Dillon,3,,,12,NASCAR Statistics official starting lineup via Jayski,2026-07-18 17:06 ET,Qualifying canceled due to weather; starting lineup set by NASCAR metric
2026,21,Window World 450,noah_gragson,Noah Gragson,4,,,31,NASCAR Statistics official starting lineup via Jayski,2026-07-18 17:06 ET,Qualifying canceled due to weather; starting lineup set by NASCAR metric
2026,21,Window World 450,kyle_larson,Kyle Larson,5,,,27,NASCAR Statistics official starting lineup via Jayski,2026-07-18 17:06 ET,Qualifying canceled due to weather; starting lineup set by NASCAR metric
2026,21,Window World 450,brad_keselowski,Brad Keselowski,6,,,23,NASCAR Statistics official starting lineup via Jayski,2026-07-18 17:06 ET,Qualifying canceled due to weather; starting lineup set by NASCAR metric
2026,21,Window World 450,daniel_suarez,Daniel Suarez,7,,,17,NASCAR Statistics official starting lineup via Jayski,2026-07-18 17:06 ET,Qualifying canceled due to weather; starting lineup set by NASCAR metric
2026,21,Window World 450,chase_elliott,Chase Elliott,9,,,10,NASCAR Statistics official starting lineup via Jayski,2026-07-18 17:06 ET,Qualifying canceled due to weather; starting lineup set by NASCAR metric
2026,21,Window World 450,ty_dillon,Ty Dillon,10,,,22,NASCAR Statistics official starting lineup via Jayski,2026-07-18 17:06 ET,Qualifying canceled due to weather; starting lineup set by NASCAR metric
2026,21,Window World 450,denny_hamlin,Denny Hamlin,11,,,7,NASCAR Statistics official starting lineup via Jayski,2026-07-18 17:06 ET,Qualifying canceled due to weather; starting lineup set by NASCAR metric
2026,21,Window World 450,ryan_blaney,Ryan Blaney,12,,,1,NASCAR Statistics official starting lineup via Jayski,2026-07-18 17:06 ET,Qualifying canceled due to weather; starting lineup set by NASCAR metric
