signal_id,season,round,race_date,driver_id,driver_name,source_published_date,source_published_at,green_flag_utc,source_url,source_outlet,source_tier,momentum_raw,track_fit_raw,context_raw,source_confidence,coding_notes
2018_r01_officialrun_aj_allmendinger,2018,1,2018-02-18,aj_allmendinger,A.J. Allmendinger,2018-02-17,2018-02-17T12:05:00Z,2018-02-18T14:30:00Z,https://cf.nascar.com/cacher/2018/1/4676/weekend-feed.json,NASCAR archived timing feed,primary,0,0,1,0.9,Official archived practice run: position 6 of the selected pre-race session.
2018_r01_officialrun_daniel_suarez,2018,1,2018-02-18,daniel_suarez,Daniel Suarez,2018-02-17,2018-02-17T12:05:00Z,2018-02-18T14:30:00Z,https://cf.nascar.com/cacher/2018/1/4676/weekend-feed.json,NASCAR archived timing feed,primary,0,0,2,0.9,Official archived practice run: position 2 of the selected pre-race session.
2018_r01_officialrun_jimmie_johnson,2018,1,2018-02-18,jimmie_johnson,Jimmie Johnson,2018-02-17,2018-02-17T12:05:00Z,2018-02-18T14:30:00Z,https://cf.nascar.com/cacher/2018/1/4676/weekend-feed.json,NASCAR archived timing feed,primary,0,0,1,0.9,Official archived practice run: position 5 of the selected pre-race session.
2018_r01_officialrun_ryan_newman,2018,1,2018-02-18,ryan_newman,Ryan Newman,2018-02-17,2018-02-17T12:05:00Z,2018-02-18T14:30:00Z,https://cf.nascar.com/cacher/2018/1/4676/weekend-feed.json,NASCAR archived timing feed,primary,0,0,1,0.9,Official archived practice run: position 3 of the selected pre-race session.
2018_r01_officialrun_william_byron,2018,1,2018-02-18,william_byron,William Byron,2018-02-17,2018-02-17T12:05:00Z,2018-02-18T14:30:00Z,https://cf.nascar.com/cacher/2018/1/4676/weekend-feed.json,NASCAR archived timing feed,primary,0,0,1,0.9,Official archived practice run: position 4 of the selected pre-race session.
2018_r02_harvick_xfinity,2018,2,2018-02-25,kevin_harvick,Kevin Harvick,2018-02-24,,,https://www.nascar.com/news-media/2018/02/24/kevin-harvick-xfinity-series-win-atlanta-motor-speedway/,NASCAR.com,primary,2,2,1,0.90,Won and dominated the Saturday Xfinity race at the same track; explicitly described as a special track for him.
2018_r02_officialrun_denny_hamlin,2018,2,2018-02-25,denny_hamlin,Denny Hamlin,2018-02-24,2018-02-24T12:00:00Z,2018-02-25T13:00:00Z,https://cf.nascar.com/cacher/2018/1/4677/weekend-feed.json,NASCAR archived timing feed,primary,0,0,1,0.9,Official archived practice run: position 4 of the selected pre-race session.
2018_r02_officialrun_joey_logano,2018,2,2018-02-25,joey_logano,Joey Logano,2018-02-24,2018-02-24T12:00:00Z,2018-02-25T13:00:00Z,https://cf.nascar.com/cacher/2018/1/4677/weekend-feed.json,NASCAR archived timing feed,primary,0,0,1,0.9,Official archived practice run: position 5 of the selected pre-race session.
2018_r02_officialrun_martin_truex_jr,2018,2,2018-02-25,martin_truex_jr,Martin Truex Jr.,2018-02-24,2018-02-24T12:00:00Z,2018-02-25T13:00:00Z,https://cf.nascar.com/cacher/2018/1/4677/weekend-feed.json,NASCAR archived timing feed,primary,0,0,2,0.9,Official archived practice run: position 2 of the selected pre-race session.
2018_r02_officialrun_paul_menard,2018,2,2018-02-25,paul_menard,Paul Menard,2018-02-24,2018-02-24T12:00:00Z,2018-02-25T13:00:00Z,https://cf.nascar.com/cacher/2018/1/4677/weekend-feed.json,NASCAR archived timing feed,primary,0,0,1,0.9,Official archived practice run: position 3 of the selected pre-race session.
