model,data_split,rows,finish_position_rmse,finish_position_mae,finish_rank_mae,winner_pick_accuracy,top3_pick_hit_rate
recency_baseline,test,756,10.110700752362472,8.272037729013132,9.341269841269842,0.15,0.25
recency_baseline,train,10943,9.66084601726176,7.7221306396826614,8.677145206981631,0.11458333333333333,0.23379629629629628
routed_consensus,test,756,10.132899364197597,7.848715647425123,8.664021164021165,0.4,0.3833333333333333
routed_consensus,train,10943,9.06446156748245,6.877209382315632,7.4323311706113495,0.4583333333333333,0.49652777777777773
xgb_drafting_specialist,test,756,10.976633497484354,9.05468504171638,9.261904761904763,0.2,0.2833333333333333
xgb_drafting_specialist,train,10943,10.566328242909304,8.751213876994766,8.410307959426117,0.1111111111111111,0.2361111111111111
xgb_no_owner,test,756,10.242224513926837,7.859417420870337,8.640211640211641,0.45,0.3833333333333333
xgb_no_owner,train,10943,9.109643824157757,6.849235399492564,7.350452343964178,0.4479166666666667,0.505787037037037
xgb_owner_track,test,756,10.264434641174649,7.887561761639878,8.743386243386244,0.4,0.3833333333333333
xgb_owner_track,train,10943,9.334846048837647,7.046251892646736,7.648725212464589,0.3645833333333333,0.44907407407407407
xgb_road_specialist,test,756,10.909566397491453,8.315787471316277,8.920634920634921,0.3,0.39999999999999997
xgb_road_specialist,train,10943,10.281338892463099,7.794873715905721,8.058484876176552,0.25,0.29745370370370366
xgb_short_steep_specialist,test,756,10.525013089646786,8.001117537870202,8.896825396825397,0.15,0.3
xgb_short_steep_specialist,train,10943,9.759921668005264,7.273852462491971,8.000731060952207,0.2152777777777778,0.3344907407407407
xgb_speedway_specialist,test,756,10.400236497396962,7.99307294753552,8.801587301587302,0.2,0.31666666666666665
xgb_speedway_specialist,train,10943,9.516750516549171,7.118870567471712,7.727862560540985,0.3194444444444444,0.4097222222222222
