season,round,driver_id,event_id,race_id,race_name,track_id,track_name,track_primary_family,track_cluster_id,driver_name,car_number,owner_id,owner_name,manufacturer_id,manufacturer,field_size,target_qualifying_position,target_qualifying_speed_deficit_pct,predicted_qualifying_position,predicted_qualifying_rank,qualifying_route,target_finish_position,target_win,target_top3,predicted_finish_score,predicted_finish_position,predicted_finish_rank,finish_route,win_probability,top3_probability,win_probability_rank,top3_probability_rank,probability_route,target_points,target_stage_points,predicted_points,predicted_points_rank,actual_points_rank,points_route
2025,1,william_byron,cup_2025_r01,5546,DAYTONA 500,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,William Byron,24,hendrick_motorsports,Hendrick Motorsports,chevrolet,Chevrolet,41,5,,11.98583390454342,4,drafting_superspeedway,1,1,1,0.3776820836676992,10.237104017160329,1,drafting_superspeedway,0.03974895212670756,0.3145537372055426,6,2,drafting_superspeedway,41,0,28.27173448918208,1,3,drafting_superspeedway
2025,1,ryan_blaney,cup_2025_r01,5546,DAYTONA 500,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Ryan Blaney,12,team_penske,Team Penske,ford,Ford,41,16,,13.78810754131822,8,drafting_superspeedway,7,0,0,0.35712412165913837,11.054721688267524,2,drafting_superspeedway,0.1615739694865286,0.32646884299767953,2,1,drafting_superspeedway,48,0,27.55780884878828,2,1,drafting_superspeedway
2025,1,kyle_larson,cup_2025_r01,5546,DAYTONA 500,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Kyle Larson,5,hendrick_motorsports,Hendrick Motorsports,chevrolet,Chevrolet,41,22,,11.287721002876976,2,drafting_superspeedway,20,0,0,0.3538136674372915,11.19235575016076,3,drafting_superspeedway,0.05050227791260764,0.10961292015673064,4,10,drafting_superspeedway,17,0,25.499026205352695,5,20,drafting_superspeedway
2025,1,christopher_bell,cup_2025_r01,5546,DAYTONA 500,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Christopher Bell,20,joe_gibbs_racing,Joe Gibbs Racing,toyota,Toyota,41,20,,13.223624317761972,5,drafting_superspeedway,31,0,0,0.3325946817735259,12.116165843135846,4,drafting_superspeedway,0.02521951566289491,0.17716986920095662,14,6,drafting_superspeedway,12,0,25.834897110682142,3,27,drafting_superspeedway
2025,1,chase_elliott,cup_2025_r01,5546,DAYTONA 500,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Chase Elliott,9,hendrick_motorsports,Hendrick Motorsports,chevrolet,Chevrolet,41,17,,13.346793711794955,6,drafting_superspeedway,15,0,0,0.32822684571125,12.3155920897655,5,drafting_superspeedway,0.04035477083118927,0.27705540224119146,5,3,drafting_superspeedway,30,0,24.051646061526455,9,11,drafting_superspeedway
2025,1,joey_logano,cup_2025_r01,5546,DAYTONA 500,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Joey Logano,22,team_penske,Team Penske,ford,Ford,41,10,,9.703347445587616,1,drafting_superspeedway,35,0,0,0.32399264733566324,12.51204954745178,6,drafting_superspeedway,0.1902898543514502,0.2595423447515087,1,4,drafting_superspeedway,15,0,24.840534893312945,8,23,drafting_superspeedway
2025,1,denny_hamlin,cup_2025_r01,5546,DAYTONA 500,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Denny Hamlin,11,joe_gibbs_racing,Joe Gibbs Racing,toyota,Toyota,41,8,,14.507932816330092,11,drafting_superspeedway,24,0,0,0.32112161822816015,12.647038815727909,7,drafting_superspeedway,0.03164236290397245,0.07585011347050465,8,13,drafting_superspeedway,13,0,25.30116021332737,6,26,drafting_superspeedway
2025,1,chris_buescher,cup_2025_r01,5546,DAYTONA 500,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Chris Buescher,17,rfk_racing,RFK Racing,ford,Ford,41,6,,17.796354288732914,20,drafting_superspeedway,10,0,0,0.29385335697456816,14.003997907753943,8,drafting_superspeedway,0.02904135285088563,0.09610725852734348,12,11,drafting_superspeedway,32,0,23.92947944128444,10,8,drafting_superspeedway
2025,1,tyler_reddick,cup_2025_r01,5546,DAYTONA 500,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Tyler Reddick,45,23xi_racing,23XI Racing,toyota,Toyota,41,11,,14.05305182501272,10,drafting_superspeedway,2,0,1,0.2871355419036753,14.36007558205701,9,drafting_superspeedway,0.05444416915765399,0.12290722660912098,3,7,drafting_superspeedway,38,0,23.92841780668578,11,5,drafting_superspeedway
2025,1,alex_bowman,cup_2025_r01,5546,DAYTONA 500,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Alex Bowman,48,hendrick_motorsports,Hendrick Motorsports,chevrolet,Chevrolet,41,38,,13.905160817153948,9,drafting_superspeedway,6,0,0,0.28533703699638147,14.45693230966088,10,drafting_superspeedway,0.01094295300689315,0.07714191424284353,22,12,drafting_superspeedway,42,0,22.404498512480895,13,2,drafting_superspeedway
2025,1,bubba_wallace,cup_2025_r01,5546,DAYTONA 500,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Bubba Wallace,23,23xi_racing,23XI Racing,toyota,Toyota,41,3,,16.207280853300794,15,drafting_superspeedway,29,0,0,0.2848472734287897,14.483421037343268,11,drafting_superspeedway,0.01490283472810323,0.06073197477784849,19,15,drafting_superspeedway,10,0,25.699594193412995,4,29,drafting_superspeedway
2025,1,ross_chastain,cup_2025_r01,5546,DAYTONA 500,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Ross Chastain,1,trackhouse_racing,Trackhouse Racing,chevrolet,Chevrolet,41,9,,18.498220702318335,21,drafting_superspeedway,40,0,0,0.27663957989349325,14.934623846341523,12,drafting_superspeedway,0.02762717501232468,0.04743198469941576,13,17,drafting_superspeedway,1,0,23.34992112787713,12,35,drafting_superspeedway
2025,1,kyle_busch,cup_2025_r01,5546,DAYTONA 500,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Kyle Busch,8,richard_childress_racing,Richard Childress Racing,chevrolet,Chevrolet,41,21,,15.23723231130149,13,drafting_superspeedway,34,0,0,0.27587501262749065,14.97736355808444,13,drafting_superspeedway,0.00910425096876592,0.03008043805814748,26,23,drafting_superspeedway,4,0,22.043880789665096,15,33,drafting_superspeedway
2025,1,brad_keselowski,cup_2025_r01,5546,DAYTONA 500,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Brad Keselowski,6,rfk_racing,RFK Racing,ford,Ford,41,34,,17.783277874434958,19,drafting_superspeedway,26,0,0,0.2717813949305149,15.208288201186242,14,drafting_superspeedway,0.01492498945903125,0.05874687765905329,18,16,drafting_superspeedway,20,0,22.182896865444917,14,17,drafting_superspeedway
2025,1,ricky_stenhouse_jr,cup_2025_r01,5546,DAYTONA 500,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Ricky Stenhouse Jr.,47,hyak_motorsports,Hyak Motorsports,chevrolet,Chevrolet,41,31,,23.899426396290018,30,drafting_superspeedway,18,0,0,0.26711285737803725,15.47599334176742,15,drafting_superspeedway,0.03704809054120587,0.02878444597153183,7,24,drafting_superspeedway,26,0,16.441790261863442,30,14,drafting_superspeedway
