season,round,race_name,track_name,track_primary_family,track_cluster_id,driver_id,driver_name,owner_name,manufacturer,target_qualifying_position,predicted_qualifying_rank,predicted_position_score,training_races,target_finish_position,predicted_finish_position,predicted_finish_rank,finish_route,target_win,target_top3,win_probability,top3_probability,predicted_win_rank,predicted_top3_rank,probability_route,target_points,predicted_points,predicted_points_rank,actual_points_rank,points_route
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,aj_allmendinger,A.J. Allmendinger,Kaulig Racing,Chevrolet,13,27,22.202822660025152,252,41,16.532490801394182,21,drafting_superspeedway,0,0,0.01943389775991082,0.08442415078371593,18,15,drafting_superspeedway,1,7.731561476422439,39,39,drafting_superspeedway
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,alex_bowman,Alex Bowman,Hendrick Motorsports,Chevrolet,38,11,14.542083349635757,252,6,15.21995393962867,14,drafting_superspeedway,0,0,0.03329136089036894,0.10019148622272048,9,11,drafting_superspeedway,42,23.130823356841248,13,2,drafting_superspeedway
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,austin_cindric,Austin Cindric,Team Penske,Ford,2,3,12.229205773604775,252,8,14.106375778981802,10,drafting_superspeedway,0,0,0.03329066526438585,0.13856747265575936,10,8,drafting_superspeedway,38,24.49180904050762,9,4,drafting_superspeedway
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,austin_dillon,Austin Dillon,Richard Childress Racing,Chevrolet,15,16,16.29249887465201,252,23,18.19016664650303,26,drafting_superspeedway,0,0,0.01152416741964839,0.02291886804752195,27,31,drafting_superspeedway,14,18.807539698005332,21,25,drafting_superspeedway
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,brad_keselowski,Brad Keselowski,RFK Racing,Ford,34,21,18.643050503708455,252,26,15.229953833559945,15,drafting_superspeedway,0,0,0.02618735125011725,0.096676935415815,14,12,drafting_superspeedway,20,22.589854587155124,14,17,drafting_superspeedway
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,bubba_wallace,Bubba Wallace,23XI Racing,Toyota,3,15,16.160238149672256,252,29,13.589987758353727,8,drafting_superspeedway,0,0,0.02094175282641542,0.07225229380576759,17,16,drafting_superspeedway,10,25.664992981865144,4,29,drafting_superspeedway
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,carson_hocevar,Carson Hocevar,Spire Motorsports,Chevrolet,33,30,23.25243838899204,252,30,18.275641160267817,28,drafting_superspeedway,0,0,0.00415784010550341,0.02190349687795132,40,34,drafting_superspeedway,7,17.868935431683425,25,31,drafting_superspeedway
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,chase_briscoe,Chase Briscoe,Joe Gibbs Racing,Toyota,1,17,16.4015306195171,252,4,16.381894159892862,20,drafting_superspeedway,0,0,0.0253355186421068,0.04848686006878894,15,21,drafting_superspeedway,33,21.566358391755024,16,7,drafting_superspeedway
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,chase_elliott,Chase Elliott,Hendrick Motorsports,Chevrolet,17,5,12.833598769320592,252,15,11.9913279117768,4,drafting_superspeedway,0,0,0.03502975291975312,0.1855651352681375,7,5,drafting_superspeedway,30,24.803933926211517,8,11,drafting_superspeedway
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,chris_buescher,Chris Buescher,RFK Racing,Ford,6,19,18.2466384836792,252,10,13.984924553218493,9,drafting_superspeedway,0,0,0.03217765465709887,0.08802638133502912,11,14,drafting_superspeedway,32,24.349624952911636,10,8,drafting_superspeedway
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,christopher_bell,Christopher Bell,Joe Gibbs Racing,Toyota,20,6,13.299940245267466,252,31,12.517915777619606,6,drafting_superspeedway,0,0,0.03365534121661846,0.14461320700279007,8,7,drafting_superspeedway,12,26.904635403376233,3,27,drafting_superspeedway
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,cody_ware,Cody Ware,Rick Ware Racing,Ford,28,41,32.638834999022585,252,25,19.407587418623947,36,drafting_superspeedway,0,0,0.00471601088410213,0.00541073216886807,39,41,drafting_superspeedway,12,17.234846926146886,27,28,drafting_superspeedway
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,cole_custer,Cole Custer,Haas Factory Team,Ford,30,29,22.502495632439885,252,21,18.115782935938416,25,drafting_superspeedway,0,0,0.00696861167783712,0.0176150187534912,36,36,drafting_superspeedway,16,13.613771463969712,34,22,drafting_superspeedway
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,corey_lajoie,Corey LaJoie,Rick Ware Racing,Ford,12,40,29.184572414570223,252,22,18.7231887089032,32,drafting_superspeedway,0,0,0.01103515635799753,0.02319187014603102,28,30,drafting_superspeedway,15,16.961042908289556,29,24,drafting_superspeedway
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,daniel_suarez,Daniel Suarez,Trackhouse Racing,Chevrolet,36,26,21.64128916406124,252,13,15.972506617332256,17,drafting_superspeedway,0,0,0.02116184601927718,0.13057194575094283,16,9,drafting_superspeedway,29,19.666551179438233,19,12,drafting_superspeedway
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,denny_hamlin,Denny Hamlin,Joe Gibbs Racing,Toyota,8,12,14.97674180108656,252,24,12.873280587027176,7,drafting_superspeedway,0,0,0.03609371696174204,0.11777860003609825,6,10,drafting_superspeedway,13,25.627050563669165,5,26,drafting_superspeedway
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,erik_jones,Erik Jones,Legacy Motor Club,Toyota,4,39,28.650799516095752,252,12,17.94347039395746,24,drafting_superspeedway,0,0,0.01494944524551174,0.02204338483754497,21,33,drafting_superspeedway,31,18.188951580891775,24,10,drafting_superspeedway
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,helio_castroneves,Helio Castroneves,Trackhouse Racing,Chevrolet,41,32,23.9774866104126,252,39,20.333810131181934,39,drafting_superspeedway,0,0,0.01069532897505785,0.02561600419231099,29,29,drafting_superspeedway,0,9.94530945826802,38,41,drafting_superspeedway
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,jimmie_johnson,Jimmie Johnson,Legacy Motor Club,Toyota,40,36,26.6481427344673,252,3,19.509277311936383,37,drafting_superspeedway,0,1,0.00700671419736424,0.01909819548558069,35,35,drafting_superspeedway,34,13.356824864474891,35,6,drafting_superspeedway
