signal_id,race_key,season,round,race_name,race_date,driver_name,driver_id,momentum_raw,track_fit_raw,context_raw,source_confidence,composite_chatter_score,points_nudge,finish_position_nudge,source_ids,coding_notes,last_coded,coded_by,race_source_url,verified_momentum_score,verified_track_fit_score,verified_context_score,verified_source_confidence,verified_composite_chatter_score,verified_signal_count,verified_direct_signal_count,verified_carryover_signal_count,verified_carryover_weight,verified_source_match,verified_source_published_date,verified_driver_name,verified_source_url,verified_source_ids,verified_provenance_roles,available_before_race,proxy_or_scaffold,verified_pre_race,eligibility_status,safe_for_historical_backtest,safe_for_production_overlay,production_eligibility_status
2025_R01_DAYTONA_500_DENNY_HAMLIN,2025_R01_DAYTONA_500,2025,1,Daytona 500,2025-02-16,Denny Hamlin,denny_hamlin,0.35,0,0,0.75,0.1181,0.4725,-0.1772,2025_R01_DAYTONA_500_S01;2025_R01_DAYTONA_500_S04;2025_R01_DAYTONA_500_S05,Proxy coded from results/form/track-fit scaffold; review against pre-race article/odds before modeling.,2026-07-15,GPT-5.5 Thinking,https://www.jayski.com/nascar-cup-series/2025-nascar-cup-series-race-results/,,,,,,,,,,FALSE,,,,,,FALSE,TRUE,FALSE,coded_after_or_on_race_date,FALSE,FALSE,not_production_eligible
2025_R01_DAYTONA_500_TYLER_REDDICK,2025_R01_DAYTONA_500,2025,1,Daytona 500,2025-02-16,Tyler Reddick,tyler_reddick,0.25,0.35,0,0.75,0.1762,0.705,-0.2644,2025_R01_DAYTONA_500_S01;2025_R01_DAYTONA_500_S04;2025_R01_DAYTONA_500_S05,Proxy coded from results/form/track-fit scaffold; review against pre-race article/odds before modeling.,2026-07-15,GPT-5.5 Thinking,https://www.jayski.com/nascar-cup-series/2025-nascar-cup-series-race-results/,,,,,,,,,,FALSE,,,,,,FALSE,TRUE,FALSE,coded_after_or_on_race_date,FALSE,FALSE,not_production_eligible
2025_R01_DAYTONA_500_RYAN_BLANEY,2025_R01_DAYTONA_500,2025,1,Daytona 500,2025-02-16,Ryan Blaney,ryan_blaney,0.25,0.5,0,0.75,0.21560000000000001,0.8625,-0.3234,2025_R01_DAYTONA_500_S01;2025_R01_DAYTONA_500_S04;2025_R01_DAYTONA_500_S05,Proxy coded from results/form/track-fit scaffold; review against pre-race article/odds before modeling.,2026-07-15,GPT-5.5 Thinking,https://www.jayski.com/nascar-cup-series/2025-nascar-cup-series-race-results/,,,,,,,,,,FALSE,,,,,,FALSE,TRUE,FALSE,coded_after_or_on_race_date,FALSE,FALSE,not_production_eligible
2025_R01_DAYTONA_500_TY_GIBBS,2025_R01_DAYTONA_500,2025,1,Daytona 500,2025-02-16,Ty Gibbs,ty_gibbs,0.05,0,0,0.75,0.0169,0.0675,-0.0253,2025_R01_DAYTONA_500_S01;2025_R01_DAYTONA_500_S04;2025_R01_DAYTONA_500_S05,Proxy coded from results/form/track-fit scaffold; review against pre-race article/odds before modeling.,2026-07-15,GPT-5.5 Thinking,https://www.jayski.com/nascar-cup-series/2025-nascar-cup-series-race-results/,,,,,,,,,,FALSE,,,,,,FALSE,TRUE,FALSE,coded_after_or_on_race_date,FALSE,FALSE,not_production_eligible
2025_R01_DAYTONA_500_CHASE_ELLIOTT,2025_R01_DAYTONA_500,2025,1,Daytona 500,2025-02-16,Chase Elliott,chase_elliott,0.25,0.35,0,0.75,0.1762,0.705,-0.2644,2025_R01_DAYTONA_500_S01;2025_R01_DAYTONA_500_S04;2025_R01_DAYTONA_500_S05,Proxy coded from results/form/track-fit scaffold; review against pre-race article/odds before modeling.,2026-07-15,GPT-5.5 Thinking,https://www.jayski.com/nascar-cup-series/2025-nascar-cup-series-race-results/,,,,,,,,,,FALSE,,,,,,FALSE,TRUE,FALSE,coded_after_or_on_race_date,FALSE,FALSE,not_production_eligible
2025_R01_DAYTONA_500_KYLE_LARSON,2025_R01_DAYTONA_500,2025,1,Daytona 500,2025-02-16,Kyle Larson,kyle_larson,0.35,0,0,0.75,0.18000000000000002,0.7200000000000001,-0.27,2025_r01_larson_practice,Durable source-verified pre-green chatter backfill,2025-02-15,GPT-5.5 Thinking,https://www.nascar.com/news-media/2025/02/15/ncs-saturday-practice-recap/,0,0,0.5,0.9,0.18000000000000002,1,1,0,0,TRUE,2025-02-15,Kyle Larson,https://www.nascar.com/news-media/2025/02/15/ncs-saturday-practice-recap/,2025_r01_larson_practice,direct,TRUE,FALSE,TRUE,verified_pre_race,TRUE,TRUE,verified_pre_race
2025_R01_DAYTONA_500_CHRISTOPHER_BELL,2025_R01_DAYTONA_500,2025,1,Daytona 500,2025-02-16,Christopher Bell,christopher_bell,0.35,0,0,0.75,0.1181,0.4725,-0.1772,2025_R01_DAYTONA_500_S01;2025_R01_DAYTONA_500_S04;2025_R01_DAYTONA_500_S05,Proxy coded from results/form/track-fit scaffold; review against pre-race article/odds before modeling.,2026-07-15,GPT-5.5 Thinking,https://www.jayski.com/nascar-cup-series/2025-nascar-cup-series-race-results/,,,,,,,,,,FALSE,,,,,,FALSE,TRUE,FALSE,coded_after_or_on_race_date,FALSE,FALSE,not_production_eligible
2025_R01_DAYTONA_500_WILLIAM_BYRON,2025_R01_DAYTONA_500,2025,1,Daytona 500,2025-02-16,William Byron,william_byron,0.95,0.35,0,0.75,0.4125,1.65,-0.6187,2025_R01_DAYTONA_500_S01;2025_R01_DAYTONA_500_S04;2025_R01_DAYTONA_500_S05,Proxy coded from results/form/track-fit scaffold; review against pre-race article/odds before modeling.,2026-07-15,GPT-5.5 Thinking,https://www.jayski.com/nascar-cup-series/2025-nascar-cup-series-race-results/,,,,,,,,,,FALSE,,,,,,FALSE,TRUE,FALSE,coded_after_or_on_race_date,FALSE,FALSE,not_production_eligible
2025_R01_DAYTONA_500_CHASE_BRISCOE,2025_R01_DAYTONA_500,2025,1,Daytona 500,2025-02-16,Chase Briscoe,chase_briscoe,0.35,0,0,0.75,0.1181,0.4725,-0.1772,2025_R01_DAYTONA_500_S01;2025_R01_DAYTONA_500_S04;2025_R01_DAYTONA_500_S05,Proxy coded from results/form/track-fit scaffold; review against pre-race article/odds before modeling.,2026-07-15,GPT-5.5 Thinking,https://www.jayski.com/nascar-cup-series/2025-nascar-cup-series-race-results/,,,,,,,,,,FALSE,,,,,,FALSE,TRUE,FALSE,coded_after_or_on_race_date,FALSE,FALSE,not_production_eligible
2025_R01_DAYTONA_500_SHANE_VAN_GISBERGEN,2025_R01_DAYTONA_500,2025,1,Daytona 500,2025-02-16,Shane van Gisbergen,shane_van_gisbergen,0.25,0,0,0.75,0.0844,0.3375,-0.1266,2025_R01_DAYTONA_500_S01;2025_R01_DAYTONA_500_S04;2025_R01_DAYTONA_500_S05,Proxy coded from results/form/track-fit scaffold; review against pre-race article/odds before modeling.,2026-07-15,GPT-5.5 Thinking,https://www.jayski.com/nascar-cup-series/2025-nascar-cup-series-race-results/,,,,,,,,,,FALSE,,,,,,FALSE,TRUE,FALSE,coded_after_or_on_race_date,FALSE,FALSE,not_production_eligible
2025_R01_DAYTONA_500_ROSS_CHASTAIN,2025_R01_DAYTONA_500,2025,1,Daytona 500,2025-02-16,Ross Chastain,ross_chastain,0.15,0,0,0.75,0.0506,0.2025,-0.0759,2025_R01_DAYTONA_500_S01;2025_R01_DAYTONA_500_S04;2025_R01_DAYTONA_500_S05,Proxy coded from results/form/track-fit scaffold; review against pre-race article/odds before modeling.,2026-07-15,GPT-5.5 Thinking,https://www.jayski.com/nascar-cup-series/2025-nascar-cup-series-race-results/,,,,,,,,,,FALSE,,,,,,FALSE,TRUE,FALSE,coded_after_or_on_race_date,FALSE,FALSE,not_production_eligible
2025_R01_DAYTONA_500_BUBBA_WALLACE,2025_R01_DAYTONA_500,2025,1,Daytona 500,2025-02-16,Bubba Wallace,bubba_wallace,0.15,0.5,0,0.75,0.1819,0.7275,-0.2728,2025_R01_DAYTONA_500_S01;2025_R01_DAYTONA_500_S04;2025_R01_DAYTONA_500_S05,Proxy coded from results/form/track-fit scaffold; review against pre-race article/odds before modeling.,2026-07-15,GPT-5.5 Thinking,https://www.jayski.com/nascar-cup-series/2025-nascar-cup-series-race-results/,,,,,,,,,,FALSE,,,,,,FALSE,TRUE,FALSE,coded_after_or_on_race_date,FALSE,FALSE,not_production_eligible
2025_R01_DAYTONA_500_JOEY_LOGANO,2025_R01_DAYTONA_500,2025,1,Daytona 500,2025-02-16,Joey Logano,joey_logano,0.25,0.5,0,0.75,0.21560000000000001,0.8625,-0.3234,2025_R01_DAYTONA_500_S01;2025_R01_DAYTONA_500_S04;2025_R01_DAYTONA_500_S05,Proxy coded from results/form/track-fit scaffold; review against pre-race article/odds before modeling.,2026-07-15,GPT-5.5 Thinking,https://www.jayski.com/nascar-cup-series/2025-nascar-cup-series-race-results/,,,,,,,,,,FALSE,,,,,,FALSE,TRUE,FALSE,coded_after_or_on_race_date,FALSE,FALSE,not_production_eligible
