dk_id,driver_name_dk,driver_id,roster_position,salary,game_info,dk_avg_points_per_game,dk_status,dk_starting_position
43606988,Denny Hamlin,denny_hamlin,D,11000,Window World 450,57.7,,
43606989,Ryan Blaney,ryan_blaney,D,10700,Window World 450,46.2,,
43606990,Kyle Larson,kyle_larson,D,10500,Window World 450,32.6,,
43606991,Christopher Bell,christopher_bell,D,10200,Window World 450,36.4,,
43606992,William Byron,william_byron,D,9900,Window World 450,32.1,,
43606993,Chase Elliott,chase_elliott,D,9700,Window World 450,36.9,,
43606994,Joey Logano,joey_logano,D,9500,Window World 450,22.3,,
43606995,Tyler Reddick,tyler_reddick,D,9200,Window World 450,42.2,,
43606996,Chase Briscoe,chase_briscoe,D,8900,Window World 450,32.6,,
43606997,Carson Hocevar,carson_hocevar,D,8700,Window World 450,32.3,,
43606998,Ty Gibbs,ty_gibbs,D,8500,Window World 450,33.2,,
43606999,Chris Buescher,chris_buescher,D,8300,Window World 450,30.3,,
43607000,Ross Chastain,ross_chastain,D,8100,Window World 450,24.2,,
43607001,Bubba Wallace,bubba_wallace,D,7900,Window World 450,28.3,,
43607002,Ryan Preece,ryan_preece,D,7700,Window World 450,28.7,,
43607003,Brad Keselowski,brad_keselowski,D,7600,Window World 450,29.1,,
43607004,Daniel Suarez,daniel_suarez,D,7400,Window World 450,30.3,,
43607005,Austin Cindric,austin_cindric,D,7200,Window World 450,27.3,,
43607006,Josh Berry,josh_berry,D,7100,Window World 450,17,,
43607007,Alex Bowman,alex_bowman,D,7000,Window World 450,23.9,,
43607008,Shane Van Gisbergen,shane_van_gisbergen,D,6800,Window World 450,30,,
43607009,Erik Jones,erik_jones,D,6600,Window World 450,33,,
43607010,Zane Smith,zane_smith,D,6500,Window World 450,22.9,,
43607011,Michael McDowell,michael_mcdowell,D,6400,Window World 450,26.3,,
43607012,Austin Dillon,austin_dillon,D,6300,Window World 450,26,,
43607013,Austin Hill,austin_hill,D,6100,Window World 450,8.8,,
43607014,Connor Zilisch,connor_zilisch,D,6000,Window World 450,16,,
43607015,Riley Herbst,riley_herbst,D,5800,Window World 450,22.3,,
43607016,Noah Gragson,noah_gragson,D,5700,Window World 450,23.1,,
43607017,Todd Gilliland,todd_gilliland,D,5600,Window World 450,25.7,,
43607018,AJ Allmendinger,aj_allmendinger,D,5500,Window World 450,27,,
43607019,John H. Nemechek,john_hunter_nemechek,D,5400,Window World 450,24.5,,
43607020,Ricky Stenhouse Jr,ricky_stenhouse_jr,D,5200,Window World 450,24.7,,
43607021,Cole Custer,cole_custer,D,5100,Window World 450,17.6,,
43607022,Ty Dillon,ty_dillon,D,5000,Window World 450,23.4,,
43607023,Cody Ware,cody_ware,D,4800,Window World 450,18,,
43607024,Chad Finchum,chad_finchum,D,4500,Window World 450,16.3,,
