driver_id,forecast_driver_name,dk_id,driver_name_dk,roster_position,salary,game_info,dk_avg_points_per_game,dk_status,dk_starting_position,roster_status
chad_finchum,Chad Finchum,,,,,,,,,forecast_only
casey_mears,,43667090,Casey Mears,D,4700,Brickyard 400 presented by PPG,17.4,,,draftkings_only
corey_heim,,43667066,Corey Heim,D,8100,Brickyard 400 presented by PPG,34.7,,,draftkings_only
daniel_dye,,43667091,Daniel Dye,D,4500,Brickyard 400 presented by PPG,26.9,,,draftkings_only
aj_allmendinger,A.J. Allmendinger,43667083,AJ Allmendinger,D,5600,Brickyard 400 presented by PPG,25.9,,,matched
alex_bowman,Alex Bowman,43667072,Alex Bowman,D,7000,Brickyard 400 presented by PPG,23.5,,,matched
austin_cindric,Austin Cindric,43667067,Austin Cindric,D,7900,Brickyard 400 presented by PPG,27.4,,,matched
austin_dillon,Austin Dillon,43667082,Austin Dillon,D,5800,Brickyard 400 presented by PPG,25.6,,,matched
austin_hill,Austin Hill,43667084,Austin Hill,D,5500,Brickyard 400 presented by PPG,8.8,,,matched
brad_keselowski,Brad Keselowski,43667068,Brad Keselowski,D,7700,Brickyard 400 presented by PPG,30.2,,,matched
bubba_wallace,Bubba Wallace,43667061,Bubba Wallace,D,9000,Brickyard 400 presented by PPG,29.8,,,matched
carson_hocevar,Carson Hocevar,43667065,Carson Hocevar,D,8300,Brickyard 400 presented by PPG,32,,,matched
chase_briscoe,Chase Briscoe,43667060,Chase Briscoe,D,9200,Brickyard 400 presented by PPG,34.6,,,matched
chase_elliott,Chase Elliott,43667059,Chase Elliott,D,9500,Brickyard 400 presented by PPG,36.8,,,matched
chris_buescher,Chris Buescher,43667064,Chris Buescher,D,8500,Brickyard 400 presented by PPG,29.7,,,matched
christopher_bell,Christopher Bell,43667057,Christopher Bell,D,10000,Brickyard 400 presented by PPG,35.6,,,matched
cody_ware,Cody Ware,43667089,Cody Ware,D,4800,Brickyard 400 presented by PPG,18.1,,,matched
cole_custer,Cole Custer,43667087,Cole Custer,D,5100,Brickyard 400 presented by PPG,17.2,,,matched
connor_zilisch,Connor Zilisch,43667078,Connor Zilisch,D,6200,Brickyard 400 presented by PPG,16.2,,,matched
daniel_suarez,Daniel Suarez,43667073,Daniel Suarez,D,6900,Brickyard 400 presented by PPG,30.9,,,matched
denny_hamlin,Denny Hamlin,43667053,Denny Hamlin,D,11000,Brickyard 400 presented by PPG,58,,,matched
erik_jones,Erik Jones,43667070,Erik Jones,D,7300,Brickyard 400 presented by PPG,31.9,,,matched
joey_logano,Joey Logano,43667063,Joey Logano,D,8700,Brickyard 400 presented by PPG,28.9,,,matched
john_hunter_nemechek,John Hunter Nemechek,43667075,John H. Nemechek,D,6600,Brickyard 400 presented by PPG,23.4,,,matched
josh_berry,Josh Berry,43667077,Josh Berry,D,6300,Brickyard 400 presented by PPG,16.1,,,matched
kyle_larson,Kyle Larson,43667055,Kyle Larson,D,10500,Brickyard 400 presented by PPG,33.1,,,matched
michael_mcdowell,Michael McDowell,43667079,Michael McDowell,D,6100,Brickyard 400 presented by PPG,25.5,,,matched
noah_gragson,Noah Gragson,43667085,Noah Gragson,D,5400,Brickyard 400 presented by PPG,23.2,,,matched
ricky_stenhouse_jr,Ricky Stenhouse Jr.,43667086,Ricky Stenhouse Jr,D,5300,Brickyard 400 presented by PPG,23.6,,,matched
riley_herbst,Riley Herbst,43667076,Riley Herbst,D,6500,Brickyard 400 presented by PPG,23.1,,,matched
ross_chastain,Ross Chastain,43667071,Ross Chastain,D,7100,Brickyard 400 presented by PPG,23.3,,,matched
ryan_blaney,Ryan Blaney,43667054,Ryan Blaney,D,10700,Brickyard 400 presented by PPG,45.3,,,matched
ryan_preece,Ryan Preece,43667074,Ryan Preece,D,6700,Brickyard 400 presented by PPG,29.4,,,matched
shane_van_gisbergen,Shane van Gisbergen,43667069,Shane Van Gisbergen,D,7500,Brickyard 400 presented by PPG,31.3,,,matched
todd_gilliland,Todd Gilliland,43667081,Todd Gilliland,D,5900,Brickyard 400 presented by PPG,26.6,,,matched
ty_dillon,Ty Dillon,43667088,Ty Dillon,D,5000,Brickyard 400 presented by PPG,23.8,,,matched
ty_gibbs,Ty Gibbs,43667062,Ty Gibbs,D,8800,Brickyard 400 presented by PPG,34.3,,,matched
tyler_reddick,Tyler Reddick,43667056,Tyler Reddick,D,10200,Brickyard 400 presented by PPG,40.1,,,matched
william_byron,William Byron,43667058,William Byron,D,9700,Brickyard 400 presented by PPG,32.3,,,matched
zane_smith,Zane Smith,43667080,Zane Smith,D,6000,Brickyard 400 presented by PPG,23.1,,,matched
