season,qualifying_date,event,market,driver_name,driver_id,odds_american,sportsbook,odds_as_of,source_url,archive_quality,won_pole,safe_as_model_feature
2026,2026-02-11,Daytona 500 Pole,Pole winner,Chase Briscoe,chase_briscoe,400,Caesars,2026-01-13,https://theracingexperts.com/here-are-the-opening-odds-for-the-2026-daytona-500/,Full archived opening board,No,TRUE
2026,2026-02-11,Daytona 500 Pole,Pole winner,Joey Logano,joey_logano,600,Caesars,2026-01-13,https://theracingexperts.com/here-are-the-opening-odds-for-the-2026-daytona-500/,Full archived opening board,No,TRUE
2026,2026-02-11,Daytona 500 Pole,Pole winner,Ryan Blaney,ryan_blaney,600,Caesars,2026-01-13,https://theracingexperts.com/here-are-the-opening-odds-for-the-2026-daytona-500/,Full archived opening board,No,TRUE
2026,2026-02-11,Daytona 500 Pole,Pole winner,Austin Cindric,austin_cindric,650,Caesars,2026-01-13,https://theracingexperts.com/here-are-the-opening-odds-for-the-2026-daytona-500/,Full archived opening board,No,TRUE
2026,2026-02-11,Daytona 500 Pole,Pole winner,Chris Buescher,chris_buescher,1000,Caesars,2026-01-13,https://theracingexperts.com/here-are-the-opening-odds-for-the-2026-daytona-500/,Full archived opening board,No,TRUE
2026,2026-02-11,Daytona 500 Pole,Pole winner,Kyle Larson,kyle_larson,1000,Caesars,2026-01-13,https://theracingexperts.com/here-are-the-opening-odds-for-the-2026-daytona-500/,Full archived opening board,No,TRUE
2026,2026-02-11,Daytona 500 Pole,Pole winner,Michael McDowell,michael_mcdowell,1100,Caesars,2026-01-13,https://theracingexperts.com/here-are-the-opening-odds-for-the-2026-daytona-500/,Full archived opening board,No,TRUE
2026,2026-02-11,Daytona 500 Pole,Pole winner,Alex Bowman,alex_bowman,1400,Caesars,2026-01-13,https://theracingexperts.com/here-are-the-opening-odds-for-the-2026-daytona-500/,Full archived opening board,No,TRUE
2026,2026-02-11,Daytona 500 Pole,Pole winner,Todd Gilliland,todd_gilliland,1500,Caesars,2026-01-13,https://theracingexperts.com/here-are-the-opening-odds-for-the-2026-daytona-500/,Full archived opening board,No,TRUE
2026,2026-02-11,Daytona 500 Pole,Pole winner,Ryan Preece,ryan_preece,1500,Caesars,2026-01-13,https://theracingexperts.com/here-are-the-opening-odds-for-the-2026-daytona-500/,Full archived opening board,No,TRUE
2026,2026-02-11,Daytona 500 Pole,Pole winner,Brad Keselowski,brad_keselowski,1500,Caesars,2026-01-13,https://theracingexperts.com/here-are-the-opening-odds-for-the-2026-daytona-500/,Full archived opening board,No,TRUE
2026,2026-02-11,Daytona 500 Pole,Pole winner,Zane Smith,zane_smith,1600,Caesars,2026-01-13,https://theracingexperts.com/here-are-the-opening-odds-for-the-2026-daytona-500/,Full archived opening board,No,TRUE
2026,2026-02-11,Daytona 500 Pole,Pole winner,Christopher Bell,christopher_bell,1700,Caesars,2026-01-13,https://theracingexperts.com/here-are-the-opening-odds-for-the-2026-daytona-500/,Full archived opening board,No,TRUE
2026,2026-02-11,Daytona 500 Pole,Pole winner,Josh Berry,josh_berry,1700,Caesars,2026-01-13,https://theracingexperts.com/here-are-the-opening-odds-for-the-2026-daytona-500/,Full archived opening board,No,TRUE
2026,2026-02-11,Daytona 500 Pole,Pole winner,Chase Elliott,chase_elliott,2000,Caesars,2026-01-13,https://theracingexperts.com/here-are-the-opening-odds-for-the-2026-daytona-500/,Full archived opening board,No,TRUE
2026,2026-02-11,Daytona 500 Pole,Pole winner,William Byron,william_byron,2500,Caesars,2026-01-13,https://theracingexperts.com/here-are-the-opening-odds-for-the-2026-daytona-500/,Full archived opening board,No,TRUE
2026,2026-02-11,Daytona 500 Pole,Pole winner,Denny Hamlin,denny_hamlin,2500,Caesars,2026-01-13,https://theracingexperts.com/here-are-the-opening-odds-for-the-2026-daytona-500/,Full archived opening board,No,TRUE
2026,2026-02-11,Daytona 500 Pole,Pole winner,Kyle Busch,kyle_busch,3000,Caesars,2026-01-13,https://theracingexperts.com/here-are-the-opening-odds-for-the-2026-daytona-500/,Full archived opening board,Yes,TRUE
2026,2026-02-11,Daytona 500 Pole,Pole winner,Ross Chastain,ross_chastain,4000,Caesars,2026-01-13,https://theracingexperts.com/here-are-the-opening-odds-for-the-2026-daytona-500/,Full archived opening board,No,TRUE
2026,2026-02-11,Daytona 500 Pole,Pole winner,Ty Gibbs,ty_gibbs,4000,Caesars,2026-01-13,https://theracingexperts.com/here-are-the-opening-odds-for-the-2026-daytona-500/,Full archived opening board,No,TRUE
2026,2026-02-11,Daytona 500 Pole,Pole winner,Noah Gragson,noah_gragson,4000,Caesars,2026-01-13,https://theracingexperts.com/here-are-the-opening-odds-for-the-2026-daytona-500/,Full archived opening board,No,TRUE
2026,2026-02-11,Daytona 500 Pole,Pole winner,Carson Hocevar,carson_hocevar,4000,Caesars,2026-01-13,https://theracingexperts.com/here-are-the-opening-odds-for-the-2026-daytona-500/,Full archived opening board,No,TRUE
2026,2026-02-11,Daytona 500 Pole,Pole winner,Tyler Reddick,tyler_reddick,4000,Caesars,2026-01-13,https://theracingexperts.com/here-are-the-opening-odds-for-the-2026-daytona-500/,Full archived opening board,No,TRUE
2026,2026-02-11,Daytona 500 Pole,Pole winner,Bubba Wallace,bubba_wallace,4000,Caesars,2026-01-13,https://theracingexperts.com/here-are-the-opening-odds-for-the-2026-daytona-500/,Full archived opening board,No,TRUE
2026,2026-02-11,Daytona 500 Pole,Pole winner,Connor Zilisch,connor_zilisch,5000,Caesars,2026-01-13,https://theracingexperts.com/here-are-the-opening-odds-for-the-2026-daytona-500/,Full archived opening board,No,TRUE
2026,2026-02-11,Daytona 500 Pole,Pole winner,Daniel Suarez,daniel_suarez,7000,Caesars,2026-01-13,https://theracingexperts.com/here-are-the-opening-odds-for-the-2026-daytona-500/,Full archived opening board,No,TRUE
2026,2026-02-11,Daytona 500 Pole,Pole winner,Erik Jones,erik_jones,8000,Caesars,2026-01-13,https://theracingexperts.com/here-are-the-opening-odds-for-the-2026-daytona-500/,Full archived opening board,No,TRUE
2026,2026-02-11,Daytona 500 Pole,Pole winner,Justin Allgaier,justin_allgaier,8000,Caesars,2026-01-13,https://theracingexperts.com/here-are-the-opening-odds-for-the-2026-daytona-500/,Full archived opening board,No,TRUE
2026,2026-02-11,Daytona 500 Pole,Pole winner,AJ Allmendinger,aj_allmendinger,10000,Caesars,2026-01-13,https://theracingexperts.com/here-are-the-opening-odds-for-the-2026-daytona-500/,Full archived opening board,No,TRUE
2026,2026-02-11,Daytona 500 Pole,Pole winner,Ty Dillon,ty_dillon,10000,Caesars,2026-01-13,https://theracingexperts.com/here-are-the-opening-odds-for-the-2026-daytona-500/,Full archived opening board,No,TRUE
2026,2026-02-11,Daytona 500 Pole,Pole winner,Cole Custer,cole_custer,10000,Caesars,2026-01-13,https://theracingexperts.com/here-are-the-opening-odds-for-the-2026-daytona-500/,Full archived opening board,No,TRUE
2026,2026-02-11,Daytona 500 Pole,Pole winner,John Hunter Nemechek,john_hunter_nemechek,10000,Caesars,2026-01-13,https://theracingexperts.com/here-are-the-opening-odds-for-the-2026-daytona-500/,Full archived opening board,No,TRUE
2026,2026-02-11,Daytona 500 Pole,Pole winner,Austin Dillon,austin_dillon,10000,Caesars,2026-01-13,https://theracingexperts.com/here-are-the-opening-odds-for-the-2026-daytona-500/,Full archived opening board,No,TRUE
2026,2026-02-11,Daytona 500 Pole,Pole winner,Ricky Stenhouse Jr.,ricky_stenhouse_jr,10000,Caesars,2026-01-13,https://theracingexperts.com/here-are-the-opening-odds-for-the-2026-daytona-500/,Full archived opening board,No,TRUE
2026,2026-02-11,Daytona 500 Pole,Pole winner,Riley Herbst,riley_herbst,12500,Caesars,2026-01-13,https://theracingexperts.com/here-are-the-opening-odds-for-the-2026-daytona-500/,Full archived opening board,No,TRUE
2026,2026-02-11,Daytona 500 Pole,Pole winner,Shane van Gisbergen,shane_van_gisbergen,12500,Caesars,2026-01-13,https://theracingexperts.com/here-are-the-opening-odds-for-the-2026-daytona-500/,Full archived opening board,No,TRUE
2026,2026-02-11,Daytona 500 Pole,Pole winner,Cody Ware,cody_ware,20000,Caesars,2026-01-13,https://theracingexperts.com/here-are-the-opening-odds-for-the-2026-daytona-500/,Full archived opening board,No,TRUE
