season,round,race_date,race_name,driver_name,driver_id,estimated_top3_probability,estimated_top3_odds_american,estimate_status,model_description,source_url,market_role,safe_as_model_feature
2025,1,2025-02-16,Daytona 500,William Byron,william_byron,0.1609145580163389,520,Estimated,Power-law fit to matched public Win/Top-3 quotes; 88% cap,https://www.foxsports.com/stories/nascar/2025-daytona-500-odds,synthetic_evaluation_only,FALSE
2025,2,2025-02-23,Ambetter Health 400,Christopher Bell,christopher_bell,0.10471435788974233,855,Estimated,Power-law fit to matched public Win/Top-3 quotes; 88% cap,https://www.foxsports.com/stories/nascar/2025-nascar-odds-ambetter-health-400,synthetic_evaluation_only,FALSE
2025,3,2025-03-02,EchoPark Automotive Grand Prix,Christopher Bell,christopher_bell,0.1530038291431407,555,Estimated,Power-law fit to matched public Win/Top-3 quotes; 88% cap,https://www.foxsports.com/stories/nascar/2025-nascar-odds-cota,synthetic_evaluation_only,FALSE
2025,4,2025-03-09,Shriners Children's 500,Christopher Bell,christopher_bell,0.2765207511403551,260,Estimated,Power-law fit to matched public Win/Top-3 quotes; 88% cap,https://www.foxsports.com/stories/nascar/2025-phoenix-shriners-childrens-500-odds,synthetic_evaluation_only,FALSE
2025,5,2025-03-16,Pennzoil 400,Josh Berry,josh_berry,0.07336650836191809,1265,Estimated,Power-law fit to matched public Win/Top-3 quotes; 88% cap,https://www.foxsports.com/stories/nascar/2025-pennzoil-400-odds,synthetic_evaluation_only,FALSE
2025,6,2025-03-23,Straight Talk Wireless 400,Kyle Larson,kyle_larson,0.4655138940301318,115,Estimated,Power-law fit to matched public Win/Top-3 quotes; 88% cap,https://www.foxsports.com/stories/nascar/2025-homestead-miami-straight-talk-wireless-odds,synthetic_evaluation_only,FALSE
2025,7,2025-03-30,Cook Out 400,Denny Hamlin,denny_hamlin,0.3092224497261382,225,Estimated,Power-law fit to matched public Win/Top-3 quotes; 88% cap,https://www.foxsports.com/stories/nascar/martinsville-spring-race-odds-cook-out-400,synthetic_evaluation_only,FALSE
2025,8,2025-04-06,Goodyear 400,Denny Hamlin,denny_hamlin,0.23981691896832774,315,Estimated,Power-law fit to matched public Win/Top-3 quotes; 88% cap,https://www.foxsports.com/stories/nascar/nascar-darlington-spring-race-odds-goodyear-400,synthetic_evaluation_only,FALSE
2025,9,2025-04-13,Food City 500,Kyle Larson,kyle_larson,0.4655138940301318,115,Estimated,Power-law fit to matched public Win/Top-3 quotes; 88% cap,https://www.foxsports.com/stories/nascar/bristol-spring-race-odds-food-city-500,synthetic_evaluation_only,FALSE
2025,10,2025-04-27,Jack Link's 500,Austin Cindric,austin_cindric,0.1799445199725896,455,Estimated,Power-law fit to matched public Win/Top-3 quotes; 88% cap,https://www.foxsports.com/stories/nascar/talladega-jack-links-500-odds,synthetic_evaluation_only,FALSE
