season,round,race_date,race_name,track_name,driver_name,driver_id,odds_american,odds_decimal,implied_probability,market_no_vig_probability,sportsbook,odds_as_of,source_url,source_quality,market_role,safe_as_model_feature
2025,1,2025-02-16,Daytona 500,Daytona International Speedway,A.J. Allmendinger,aj_allmendinger,7000,71,0.01408450704225352,0.00955365283702349,DraftKings,2025-02-14,https://www.foxsports.com/stories/nascar/2025-daytona-500-odds,Full archived board,evaluation_only_archived_full_board,FALSE
2025,1,2025-02-16,Daytona 500,Daytona International Speedway,Alex Bowman,alex_bowman,2500,26,0.03846153846153846,0.02608882120879493,DraftKings,2025-02-14,https://www.foxsports.com/stories/nascar/2025-daytona-500-odds,Full archived board,evaluation_only_archived_full_board,FALSE
2025,1,2025-02-16,Daytona 500,Daytona International Speedway,Austin Cindric,austin_cindric,2000,21,0.04761904761904761,0.03230044530612706,DraftKings,2025-02-14,https://www.foxsports.com/stories/nascar/2025-daytona-500-odds,Full archived board,evaluation_only_archived_full_board,FALSE
2025,1,2025-02-16,Daytona 500,Daytona International Speedway,Austin Dillon,austin_dillon,3500,36,0.02777777777777777,0.01884192642857411,DraftKings,2025-02-14,https://www.foxsports.com/stories/nascar/2025-daytona-500-odds,Full archived board,evaluation_only_archived_full_board,FALSE
2025,1,2025-02-16,Daytona 500,Daytona International Speedway,Brad Keselowski,brad_keselowski,1200,13,0.07692307692307693,0.05217764241758987,DraftKings,2025-02-14,https://www.foxsports.com/stories/nascar/2025-daytona-500-odds,Full archived board,evaluation_only_archived_full_board,FALSE
2025,1,2025-02-16,Daytona 500,Daytona International Speedway,Bubba Wallace,bubba_wallace,2000,21,0.04761904761904761,0.03230044530612706,DraftKings,2025-02-14,https://www.foxsports.com/stories/nascar/2025-daytona-500-odds,Full archived board,evaluation_only_archived_full_board,FALSE
2025,1,2025-02-16,Daytona 500,Daytona International Speedway,Carson Hocevar,carson_hocevar,9000,91,0.01098901098901099,0.00745394891679855,DraftKings,2025-02-14,https://www.foxsports.com/stories/nascar/2025-daytona-500-odds,Full archived board,evaluation_only_archived_full_board,FALSE
2025,1,2025-02-16,Daytona 500,Daytona International Speedway,Chase Briscoe,chase_briscoe,2000,21,0.04761904761904761,0.03230044530612706,DraftKings,2025-02-14,https://www.foxsports.com/stories/nascar/2025-daytona-500-odds,Full archived board,evaluation_only_archived_full_board,FALSE
2025,1,2025-02-16,Daytona 500,Daytona International Speedway,Chase Elliott,chase_elliott,1200,13,0.07692307692307693,0.05217764241758987,DraftKings,2025-02-14,https://www.foxsports.com/stories/nascar/2025-daytona-500-odds,Full archived board,evaluation_only_archived_full_board,FALSE
2025,1,2025-02-16,Daytona 500,Daytona International Speedway,Chris Buescher,chris_buescher,2000,21,0.04761904761904761,0.03230044530612706,DraftKings,2025-02-14,https://www.foxsports.com/stories/nascar/2025-daytona-500-odds,Full archived board,evaluation_only_archived_full_board,FALSE
2025,1,2025-02-16,Daytona 500,Daytona International Speedway,Christopher Bell,christopher_bell,1600,17,0.0588235294117647,0.03990055008403931,DraftKings,2025-02-14,https://www.foxsports.com/stories/nascar/2025-daytona-500-odds,Full archived board,evaluation_only_archived_full_board,FALSE
2025,1,2025-02-16,Daytona 500,Daytona International Speedway,Cody Ware,cody_ware,15000,151,0.00662251655629139,0.00449211491012363,DraftKings,2025-02-14,https://www.foxsports.com/stories/nascar/2025-daytona-500-odds,Full archived board,evaluation_only_archived_full_board,FALSE
