projection_variant,lineup_rank,driver_slot,scenario_name,scenario_role,lineup_archetype,scenario_type,scenario_probability,driver_id,driver_name,dk_id,salary,dk_projection,dk_mean_projection,dk_score_p75,dk_score_p90,dk_value_per_1000,dk_mean_value_per_1000,dk_starting_position_used,dk_projected_finish_rank,mean_projected_laps_led,mean_projected_fastest_laps,projected_laps_led,projected_fastest_laps,prob_lead_25_plus,prob_lead_50_plus,prob_lead_75_plus,prob_lead_100_plus,prob_lead_150_plus,prob_lead_200_plus,dominator_role,construction_role,lineup_role,punt_role
base,1,1,primary_denny_hamlin,Primary dominator A,conventional_primary_control,primary_control,0.12101287254518049,brad_keselowski,Brad Keselowski,43667068,7700,38.42588003837114,39.32436950096799,38.42588003837114,39.408618327990574,4.990374030957291,5.107060974151687,23,15,4.371460900083042,4.9588983909938396,2.544653042260157,3.977148395124661,0.024500038828520174,0.024500038828520174,0.024500038828520174,0,0,0,Contrarian dominator ceiling,Mid-tier place differential,Mid-tier place differential,Not a punt
base,1,2,primary_denny_hamlin,Primary dominator A,conventional_primary_control,primary_control,0.12101287254518049,bubba_wallace,Bubba Wallace,43667061,9000,40.20962093138612,41.05787504001174,40.20962093138612,41.20513817997385,4.467735659042902,4.561986115556859,14,10,4.417378951034951,4.3411784494511165,2.571382209172576,3.4817230646510584,0,0,0,0,0,0,Supporting scorer,Finishing-position scorer,Finishing-position scorer,Not a punt
base,1,3,primary_denny_hamlin,Primary dominator A,conventional_primary_control,primary_control,0.12101287254518049,denny_hamlin,Denny Hamlin,43667053,11000,83.23483146067416,56.546658848669026,73.67110504697149,83.23483146067416,7.566802860061287,5.140605349879002,1,1,17.16332377450544,16.12406201120593,76.85393258426967,42.26966292134832,0.4696367257561897,0.12101287254518049,0.12101287254518049,0,0,0,Primary dominator A,Dominator candidate,Dominator,Not a punt
base,1,4,primary_denny_hamlin,Primary dominator A,conventional_primary_control,primary_control,0.12101287254518049,erik_jones,Erik Jones,43667070,7300,32.24921820843062,32.680230950574796,32.24921820843062,33.118204396590826,4.417701124442551,4.4767439658321635,16,14,1.7891306437692502,2.739885088072182,1.0414634465978665,2.1974496595136643,0,0,0,0,0,0,Supporting scorer,Finishing-position scorer,Finishing-position scorer,Not a punt
base,1,5,primary_denny_hamlin,Primary dominator A,conventional_primary_control,primary_control,0.12101287254518049,ty_gibbs,Ty Gibbs,43667062,8800,43.099452612932616,44.24208776060351,43.099452612932616,44.0431788072495,4.897665069651434,5.027509972795854,2,3,5.507494267921454,6.367142652495876,3.2059447320758325,5.106592066474792,0,0,0,0,0,0,Supporting scorer,Finishing-position scorer,Finishing-position scorer,Not a punt
base,1,6,primary_denny_hamlin,Primary dominator A,conventional_primary_control,primary_control,0.12101287254518049,zane_smith,Zane Smith,43667080,6000,19.987943502928047,20.345764325318655,19.987943502928047,20.81704083792098,3.3313239171546742,3.3909607208864423,25,24,1.6622630696489018,2.0671079064587343,0.9676130872263855,1.6578671802698908,0,0,0,0,0,0,Supporting scorer,Value place differential,Value place differential,Not a punt
base,2,1,primary_kyle_larson,Primary dominator B,conventional_primary_control,primary_control,0.099015820525827275,brad_keselowski,Brad Keselowski,43667068,7700,38.34117793122018,39.32436950096799,38.42588003837114,39.408618327990574,4.979373757301323,5.107060974151687,23,15,4.371460900083042,4.9588983909938396,2.4844890159125095,3.822345949426786,0.024500038828520174,0.024500038828520174,0.024500038828520174,0,0,0,Contrarian dominator ceiling,Mid-tier place differential,Mid-tier place differential,Not a punt
base,2,2,primary_kyle_larson,Primary dominator B,conventional_primary_control,primary_control,0.099015820525827275,chase_elliott,Chase Elliott,43667059,9500,44.831698234622344,46.20403503463374,44.92769402301398,45.90241770442171,4.719126129960247,4.8635826352246045,10,6,8.076456946788753,4.8553795509701105,4.590197426083751,3.742553062447555,0,0,0,0,0,0,Supporting scorer,Finishing-position scorer,Finishing-position scorer,Not a punt
base,2,3,primary_kyle_larson,Primary dominator B,conventional_primary_control,primary_control,0.099015820525827275,erik_jones,Erik Jones,43667070,7300,32.20457322236369,32.680230950574796,32.24921820843062,33.118204396590826,4.411585372926533,4.4767439658321635,16,14,1.7891306437692502,2.739885088072182,1.0168398011732733,2.111918382378601,0,0,0,0,0,0,Supporting scorer,Finishing-position scorer,Finishing-position scorer,Not a punt
base,2,4,primary_kyle_larson,Primary dominator B,conventional_primary_control,primary_control,0.099015820525827275,kyle_larson,Kyle Larson,43667055,10500,80.23483146067416,50.2751126764394,66.67057244133491,66.67057244133491,7.641412520064206,4.788105969184705,6,4,13.704411500471982,10.775577336269784,76.85393258426967,42.26966292134832,0.44763967373683644,0.099015820525827275,0.099015820525827275,0,0,0,Primary dominator B,Dominator candidate,Dominator,Not a punt
base,2,5,primary_kyle_larson,Primary dominator B,conventional_primary_control,primary_control,0.099015820525827275,ty_gibbs,Ty Gibbs,43667062,8800,42.99105913604494,44.24208776060351,43.099452612932616,44.0431788072495,4.885347629096016,5.027509972795854,2,3,5.507494267921454,6.367142652495876,3.13014557984312,4.907828313520362,0,0,0,0,0,0,Supporting scorer,Finishing-position scorer,Finishing-position scorer,Not a punt
base,2,6,primary_kyle_larson,Primary dominator B,conventional_primary_control,primary_control,0.099015820525827275,zane_smith,Zane Smith,43667080,6000,19.95318600343116,20.345764325318655,19.987943502928047,20.81704083792098,3.32553100057186,3.3909607208864423,25,24,1.6622630696489018,2.0671079064587343,0.9447355089053306,1.5933380582329504,0,0,0,0,0,0,Supporting scorer,Value place differential,Value place differential,Not a punt
base,3,1,primary_brad_keselowski,Contrarian dominator ceiling,conventional_primary_control,primary_control,0.024500038828520174,alex_bowman,Alex Bowman,43667072,7000,26.277280233202124,26.944985899655943,26.387367487982477,27.333434117696925,3.753897176171732,3.8492836999508495,20,19,3.1385536760318016,2.5785499569955377,1.6768029632899617,1.9068433163991896,0.01405698108606338,0.01405698108606338,0.01405698108606338,0,0,0,Contrarian dominator ceiling,Mid-tier place differential,Mid-tier place differential,Not a punt
base,3,2,primary_brad_keselowski,Contrarian dominator ceiling,conventional_primary_control,primary_control,0.024500038828520174,brad_keselowski,Brad Keselowski,43667068,7700,74.23483146067416,39.32436950096799,38.42588003837114,39.408618327990574,9.640887202684956,5.107060974151687,23,15,4.371460900083042,4.9588983909938396,76.85393258426967,42.26966292134832,0.024500038828520174,0.024500038828520174,0.024500038828520174,0,0,0,Contrarian dominator ceiling,Mid-tier place differential,Dominator,Not a punt
base,3,3,primary_brad_keselowski,Contrarian dominator ceiling,conventional_primary_control,primary_control,0.024500038828520174,chase_elliott,Chase Elliott,43667059,9500,44.69448520140792,46.20403503463374,44.92769402301398,45.90241770442171,4.704682652779781,4.8635826352246045,10,6,8.076456946788753,4.8553795509701105,4.314926026175745,3.590563766364398,0,0,0,0,0,0,Supporting scorer,Finishing-position scorer,Finishing-position scorer,Not a punt
base,3,4,primary_brad_keselowski,Contrarian dominator ceiling,conventional_primary_control,primary_control,0.024500038828520174,erik_jones,Erik Jones,43667070,7300,32.15073308025226,32.680230950574796,32.24921820843062,33.118204396590826,4.40421001099346,4.4767439658321635,16,14,1.7891306437692502,2.739885088072182,0.9558605252143403,2.0261509976637178,0,0,0,0,0,0,Supporting scorer,Finishing-position scorer,Finishing-position scorer,Not a punt
base,3,5,primary_brad_keselowski,Contrarian dominator ceiling,conventional_primary_control,primary_control,0.024500038828520174,ty_gibbs,Ty Gibbs,43667062,8800,42.854440298956064,44.24208776060351,43.099452612932616,44.0431788072495,4.869822761245007,5.027509972795854,2,3,5.507494267921454,6.367142652495876,2.9424326176983944,4.708515876736601,0,0,0,0,0,0,Supporting scorer,Finishing-position scorer,Finishing-position scorer,Not a punt
base,3,6,primary_brad_keselowski,Contrarian dominator ceiling,conventional_primary_control,primary_control,0.024500038828520174,william_byron,William Byron,43667058,9700,42.8803493176678,44.840891261620584,43.214136565120526,44.02341648513714,4.420654568831732,4.622772295012432,9,7,8.555785425324862,8.226544233976368,4.5710119485980805,6.083547401151737,0,0,0,0,0,0,Supporting scorer,Finishing-position scorer,Finishing-position scorer,Not a punt
base,4,1,primary_denny_hamlin,Primary dominator A,conventional_primary_control,primary_control,0.12101287254518049,alex_bowman,Alex Bowman,43667072,7000,26.387367487982477,26.944985899655943,26.387367487982477,27.333434117696925,3.7696239268546394,3.8492836999508495,20,19,3.1385536760318016,2.5785499569955377,1.8269705122741482,2.0680552442532,0.01405698108606338,0.01405698108606338,0.01405698108606338,0,0,0,Contrarian dominator ceiling,Mid-tier place differential,Mid-tier place differential,Not a punt
base,4,2,primary_denny_hamlin,Primary dominator A,conventional_primary_control,primary_control,0.12101287254518049,brad_keselowski,Brad Keselowski,43667068,7700,38.42588003837114,39.32436950096799,38.42588003837114,39.408618327990574,4.990374030957291,5.107060974151687,23,15,4.371460900083042,4.9588983909938396,2.544653042260157,3.977148395124661,0.024500038828520174,0.024500038828520174,0.024500038828520174,0,0,0,Contrarian dominator ceiling,Mid-tier place differential,Mid-tier place differential,Not a punt
base,4,3,primary_denny_hamlin,Primary dominator A,conventional_primary_control,primary_control,0.12101287254518049,chase_elliott,Chase Elliott,43667059,9500,44.92769402301398,46.20403503463374,44.92769402301398,45.90241770442171,4.729230949790946,4.8635826352246045,10,6,8.076456946788753,4.8553795509701105,4.701352982463773,3.8941239497733977,0,0,0,0,0,0,Supporting scorer,Finishing-position scorer,Finishing-position scorer,Not a punt
