projection_variant,lineup_rank,total_salary,salary_remaining,projected_points,drivers
base,1,50000,0,249.02334860427726,Brad Keselowski | Christopher Bell | Denny Hamlin | Erik Jones | John Hunter Nemechek | Tyler Reddick
base,2,49800,200,248.64677094963974,Bubba Wallace | Chase Elliott | Denny Hamlin | Erik Jones | John Hunter Nemechek | Tyler Reddick
base,3,49500,500,248.5890741994011,Brad Keselowski | Chase Elliott | Denny Hamlin | Erik Jones | John Hunter Nemechek | Tyler Reddick
base,4,49900,100,246.17703749752462,Chase Elliott | Erik Jones | John Hunter Nemechek | Kyle Larson | Ty Gibbs | Tyler Reddick
base,5,49600,400,245.71972900055388,Brad Keselowski | Bubba Wallace | Denny Hamlin | John Hunter Nemechek | Ty Gibbs | Tyler Reddick
base,6,50000,0,245.06646219844933,Brad Keselowski | Bubba Wallace | Chase Elliott | Christopher Bell | John Hunter Nemechek | Tyler Reddick
base,7,50000,0,244.2056873173697,Brad Keselowski | Erik Jones | John Hunter Nemechek | Kyle Larson | Ryan Blaney | Tyler Reddick
base,8,49600,400,243.89550843532797,Chase Elliott | Christopher Bell | Erik Jones | John Hunter Nemechek | Ty Gibbs | Tyler Reddick
base,9,49800,200,243.67278876639656,Bubba Wallace | Christopher Bell | Erik Jones | John Hunter Nemechek | Kyle Larson | Tyler Reddick
base,10,49500,500,243.61509201615792,Brad Keselowski | Christopher Bell | Erik Jones | John Hunter Nemechek | Kyle Larson | Tyler Reddick
base,11,49300,700,243.2385143615204,Bubba Wallace | Chase Elliott | Erik Jones | John Hunter Nemechek | Kyle Larson | Tyler Reddick
base,12,50000,0,243.23240882576184,Bubba Wallace | Denny Hamlin | Erik Jones | John Hunter Nemechek | Tyler Reddick | William Byron
base,13,49000,1000,243.18081761128175,Brad Keselowski | Chase Elliott | Erik Jones | John Hunter Nemechek | Kyle Larson | Tyler Reddick
base,14,49700,300,243.17471207552322,Brad Keselowski | Denny Hamlin | Erik Jones | John Hunter Nemechek | Tyler Reddick | William Byron
base,15,49900,100,242.3308294307492,Bubba Wallace | Denny Hamlin | Erik Jones | John Hunter Nemechek | Kyle Larson | Ty Gibbs
base,16,49600,400,242.27313268051054,Brad Keselowski | Denny Hamlin | Erik Jones | John Hunter Nemechek | Kyle Larson | Ty Gibbs
base,17,50000,0,241.9818550054117,Bubba Wallace | Christopher Bell | Erik Jones | John Hunter Nemechek | Ryan Blaney | Tyler Reddick
base,18,49700,300,241.92415825517304,Brad Keselowski | Christopher Bell | Erik Jones | John Hunter Nemechek | Ryan Blaney | Tyler Reddick
base,19,50000,0,241.619865878406,Brad Keselowski | Chase Elliott | Christopher Bell | Erik Jones | John Hunter Nemechek | Kyle Larson
base,20,48600,1400,241.61025210142833,Bubba Wallace | Denny Hamlin | Erik Jones | John Hunter Nemechek | Ty Gibbs | Tyler Reddick
chatter,1,50000,0,252.45134860427726,Brad Keselowski | Christopher Bell | Denny Hamlin | Erik Jones | John Hunter Nemechek | Tyler Reddick
chatter,2,49800,200,250.80077094963974,Bubba Wallace | Chase Elliott | Denny Hamlin | Erik Jones | John Hunter Nemechek | Tyler Reddick
chatter,3,49500,500,250.4670741994011,Brad Keselowski | Chase Elliott | Denny Hamlin | Erik Jones | John Hunter Nemechek | Tyler Reddick
chatter,4,50000,0,248.56046219844933,Brad Keselowski | Bubba Wallace | Chase Elliott | Christopher Bell | John Hunter Nemechek | Tyler Reddick
chatter,5,49900,100,248.27103749752462,Chase Elliott | Erik Jones | John Hunter Nemechek | Kyle Larson | Ty Gibbs | Tyler Reddick
chatter,6,49600,400,247.85572900055388,Brad Keselowski | Bubba Wallace | Denny Hamlin | John Hunter Nemechek | Ty Gibbs | Tyler Reddick
chatter,7,50000,0,247.5256873173697,Brad Keselowski | Erik Jones | John Hunter Nemechek | Kyle Larson | Ryan Blaney | Tyler Reddick
chatter,8,49600,400,247.38350843532797,Chase Elliott | Christopher Bell | Erik Jones | John Hunter Nemechek | Ty Gibbs | Tyler Reddick
chatter,9,49800,200,247.26878876639654,Bubba Wallace | Christopher Bell | Erik Jones | John Hunter Nemechek | Kyle Larson | Tyler Reddick
chatter,10,50000,0,246.97185500541167,Bubba Wallace | Christopher Bell | Erik Jones | John Hunter Nemechek | Ryan Blaney | Tyler Reddick
chatter,11,49500,500,246.9350920161579,Brad Keselowski | Christopher Bell | Erik Jones | John Hunter Nemechek | Kyle Larson | Tyler Reddick
chatter,12,49700,300,246.63815825517304,Brad Keselowski | Christopher Bell | Erik Jones | John Hunter Nemechek | Ryan Blaney | Tyler Reddick
chatter,13,50000,0,245.54240882576184,Bubba Wallace | Denny Hamlin | Erik Jones | John Hunter Nemechek | Tyler Reddick | William Byron
chatter,14,49300,700,245.2845143615204,Bubba Wallace | Chase Elliott | Erik Jones | John Hunter Nemechek | Kyle Larson | Tyler Reddick
chatter,15,49700,300,245.2087120755232,Brad Keselowski | Denny Hamlin | Erik Jones | John Hunter Nemechek | Tyler Reddick | William Byron
chatter,16,49500,500,244.98758060053552,Bubba Wallace | Chase Elliott | Erik Jones | John Hunter Nemechek | Ryan Blaney | Tyler Reddick
chatter,17,49000,1000,244.95081761128176,Brad Keselowski | Chase Elliott | Erik Jones | John Hunter Nemechek | Kyle Larson | Tyler Reddick
chatter,18,50000,0,244.675865878406,Brad Keselowski | Chase Elliott | Christopher Bell | Erik Jones | John Hunter Nemechek | Kyle Larson
chatter,19,49200,800,244.6538838502969,Brad Keselowski | Chase Elliott | Erik Jones | John Hunter Nemechek | Ryan Blaney | Tyler Reddick
chatter,20,50000,0,244.42311174327756,Brad Keselowski | Bubba Wallace | Christopher Bell | Erik Jones | Ty Gibbs | Tyler Reddick
