season,round,race_name,track_name,projection_variant,lineup_rank,scenario_name,scenario_role,lineup_archetype,scenario_probability,total_salary,salary_remaining,projected_points,mean_projected_points,front_start_count,top10_start_count,deep_start_count,premium_count,upper_mid_count,mid_tier_count,value_count,true_punt_count,drivers,max_shared_drivers,max_driver_exposure_pct,portfolio_source
2026,21,Window World 400,North Wilkesboro Speedway,historical_scenario,1,primary_ryan_blaney,Primary dominator A,short_balanced_depth,0.12401995522814445,49800,200,383.2576102932983,333.6110639252282,2,2,3,2,1,2,1,0,Alex Bowman | Austin Cindric | Chase Briscoe | Christopher Bell | Riley Herbst | Ryan Blaney,0,70,leakage_safe_historical_scenario
2026,21,Window World 400,North Wilkesboro Speedway,historical_scenario,2,primary_denny_hamlin,Primary dominator B,short_balanced_depth,0.10546777382506531,50000,0,361.18646490589197,294.7561004194792,1,2,4,2,1,2,1,0,Alex Bowman | Chase Briscoe | Christopher Bell | Denny Hamlin | Josh Berry | Riley Herbst,4,70,leakage_safe_historical_scenario
2026,21,Window World 400,North Wilkesboro Speedway,historical_scenario,3,primary_brad_keselowski,Contrarian dominator ceiling,short_balanced_depth,0.018158634645368793,49900,100,379.0967762463626,301.52546259264864,1,1,4,2,1,2,1,0,Alex Bowman | Brad Keselowski | Chase Briscoe | Riley Herbst | Ryan Blaney | William Byron,4,70,leakage_safe_historical_scenario
2026,21,Window World 400,North Wilkesboro Speedway,historical_scenario,4,primary_ryan_blaney,Primary dominator A,short_stars_two_values,0.12401995522814445,50000,0,367.9441262512079,318.79177697435307,2,2,2,3,0,1,2,0,Alex Bowman | Christopher Bell | Michael McDowell | Riley Herbst | Ryan Blaney | William Byron,4,70,leakage_safe_historical_scenario
2026,21,Window World 400,North Wilkesboro Speedway,historical_scenario,5,primary_christopher_bell,Primary dominator C,short_balanced_depth,0.09763587045504236,49700,300,380.95987771257376,324.9569124104152,1,1,4,2,1,2,1,0,Alex Bowman | Bubba Wallace | Chase Briscoe | Christopher Bell | Riley Herbst | William Byron,4,70,leakage_safe_historical_scenario
2026,21,Window World 400,North Wilkesboro Speedway,historical_scenario,6,split_primary_pair,Split dominators,short_stars_two_values,0.44,50000,0,344.9290807004738,267.610923781723,1,2,3,3,0,1,2,0,Alex Bowman | Connor Zilisch | Denny Hamlin | Joey Logano | Riley Herbst | Ryan Blaney,3,70,leakage_safe_historical_scenario
2026,21,Window World 400,North Wilkesboro Speedway,historical_scenario,7,primary_ryan_blaney,Primary dominator A,short_one_premium_midrange,0.12401995522814445,50000,0,363.4120381989208,304.3748875254825,1,2,3,1,2,3,0,0,Alex Bowman | Austin Cindric | Bubba Wallace | Chase Briscoe | Chris Buescher | Ryan Blaney,4,70,leakage_safe_historical_scenario
2026,21,Window World 400,North Wilkesboro Speedway,historical_scenario,8,primary_denny_hamlin,Primary dominator B,short_stars_two_values,0.10546777382506531,49900,100,351.7241848423443,285.90492322093434,1,2,3,3,0,1,2,0,Alex Bowman | Christopher Bell | Connor Zilisch | Denny Hamlin | Riley Herbst | William Byron,4,70,leakage_safe_historical_scenario
2026,21,Window World 400,North Wilkesboro Speedway,historical_scenario,9,primary_joey_logano,Contrarian dominator ceiling,short_one_premium_midrange,0.02754477472034392,49700,300,360.3597616215883,272.006898536202,0,1,3,1,2,3,0,0,Alex Bowman | Austin Cindric | Bubba Wallace | Chase Briscoe | Joey Logano | Tyler Reddick,4,70,leakage_safe_historical_scenario
2026,21,Window World 400,North Wilkesboro Speedway,historical_scenario,10,strategy_disruption,Caution / strategy disruption,short_balanced_depth,0.08,49900,100,311.2923564210033,324.44126385788235,2,2,4,2,1,2,1,0,Alex Bowman | Bubba Wallace | Christopher Bell | Kyle Larson | Riley Herbst | Ty Gibbs,4,70,leakage_safe_historical_scenario
2026,21,Window World 400,North Wilkesboro Speedway,historical_scenario,11,primary_ryan_blaney,Primary dominator A,short_balanced_depth,0.12401995522814445,50000,0,375.3117588251331,316.422330362712,1,2,4,2,1,2,1,0,Alex Bowman | Bubba Wallace | Chase Briscoe | Chase Elliott | Riley Herbst | Ryan Blaney,4,70,leakage_safe_historical_scenario
