model,route,matrix_type,evaluation_training_rows,production_training_rows,fallback,max_depth,eta,min_child_weight,subsample,colsample_bytree,nrounds,eval_metric,eval_value,tuning_status,target,train_end_season,numeric_features,reproducibility_contract,master_seed,xgb_nthread,rng_kind,r_version,xgboost_version
xgb_owner_track,overall,owner,9574,10943,FALSE,3,0.07,5,0.75,0.6,120,rmse,0.06595033853649752,solved,laps_led_share,2024,337,1,2026,1,Mersenne-Twister/Inversion/Rejection,4.4.2,1.7.8.1
xgb_no_owner,overall,ownerless,9574,10943,FALSE,4,0.04,5,0.75,0.8,200,rmse,0.06574208470527554,solved,laps_led_share,2024,325,1,2026,1,Mersenne-Twister/Inversion/Rejection,4.4.2,1.7.8.1
route_drafting_owner_track,drafting,owner,1326,1565,FALSE,3,0.04,5,0.75,0.6,120,rmse,0.03971539727614577,solved,laps_led_share,2024,337,1,2026,1,Mersenne-Twister/Inversion/Rejection,4.4.2,1.7.8.1
route_drafting_no_owner,drafting,ownerless,1326,1565,FALSE,2,0.025,10,0.75,0.6,120,rmse,0.04001277078743835,solved,laps_led_share,2024,325,1,2026,1,Mersenne-Twister/Inversion/Rejection,4.4.2,1.7.8.1
route_road_owner_track,road,owner,1225,1452,FALSE,4,0.025,1,0.75,0.6,120,rmse,0.07510919490596908,solved,laps_led_share,2024,337,1,2026,1,Mersenne-Twister/Inversion/Rejection,4.4.2,1.7.8.1
route_road_no_owner,road,ownerless,1225,1452,FALSE,2,0.025,5,0.9,0.8,120,rmse,0.07697930587729777,solved,laps_led_share,2024,325,1,2026,1,Mersenne-Twister/Inversion/Rejection,4.4.2,1.7.8.1
route_short_steep_owner_track,short_steep,owner,1840,2105,FALSE,2,0.04,5,0.75,0.6,120,rmse,0.08263988090874719,solved,laps_led_share,2024,337,1,2026,1,Mersenne-Twister/Inversion/Rejection,4.4.2,1.7.8.1
route_short_steep_no_owner,short_steep,ownerless,1840,2105,FALSE,2,0.025,1,0.75,0.6,120,rmse,0.08143976026594911,solved,laps_led_share,2024,325,1,2026,1,Mersenne-Twister/Inversion/Rejection,4.4.2,1.7.8.1
route_speedway_owner_track,speedway,owner,5071,5709,FALSE,4,0.07,10,0.9,0.8,120,rmse,0.0650405971408573,solved,laps_led_share,2024,337,1,2026,1,Mersenne-Twister/Inversion/Rejection,4.4.2,1.7.8.1
route_speedway_no_owner,speedway,ownerless,5071,5709,FALSE,5,0.025,10,0.75,0.6,120,rmse,0.06454071364465065,solved,laps_led_share,2024,325,1,2026,1,Mersenne-Twister/Inversion/Rejection,4.4.2,1.7.8.1
