model,data_split,rows,races,share_rmse,share_mae,count_mae,leader_hit_rate,mean_top3_hits
recency_baseline,test,1369,36,0.03222074108615071,0.018977495818254773,5.008241002728425,0.19444444444444445,0.75
recency_baseline,validation,793,21,0.032117713753260245,0.018601431533116927,4.4894255585561025,0.3333333333333333,1.0476190476190477
routed_drafting_no_owner,test,239,6,0.016208857589455297,0.01401750615592263,2.6765368941927976,0.16666666666666666,0.6666666666666666
routed_drafting_no_owner,validation,157,4,0.014118244090430936,0.010959326244159037,2.484238942717291,0.25,1
routed_drafting_owner_track,test,239,6,0.016776048725290912,0.01435053651755638,2.712144762511604,0.16666666666666666,0.3333333333333333
routed_drafting_owner_track,validation,157,4,0.014491756487080395,0.011418238504865093,2.5824883325844055,0,0.5
routed_drafting_recency,test,239,6,0.018781301739691027,0.015691933871316996,3.0862575834556543,0,0
routed_drafting_recency,validation,157,4,0.016486290466059237,0.012836116025790418,2.8464100257608393,0,0.5
routed_road_no_owner,test,227,6,0.028872964458276865,0.017643013190039088,1.6828061838178907,0.8333333333333334,1.6666666666666667
routed_road_no_owner,validation,150,4,0.03473025086985611,0.02013600681539227,1.8691401694032053,0.5,1.5
routed_road_owner_track,test,227,6,0.028543199805328507,0.01740397680214481,1.6646831335801435,0.8333333333333334,1.5
routed_road_owner_track,validation,150,4,0.03406871053218878,0.02005767970684894,1.8624706244406601,0.5,1.5
routed_road_recency,test,227,6,0.038333796456960084,0.02065788458675982,1.9633440534680913,0.6666666666666666,1.1666666666666667
routed_road_recency,validation,150,4,0.03737406468268636,0.021648299058270575,2.053803050661421,0.5,1
routed_short_steep_no_owner,test,265,7,0.027775699239441117,0.016894477513117435,7.356443222408306,0.14285714285714285,0.8571428571428571
routed_short_steep_no_owner,validation,74,2,0.030958121338866322,0.018096957172832613,8.214853755550811,1,1
routed_short_steep_owner_track,test,265,7,0.027567584283117487,0.016486772907718585,7.1655065326881155,0.14285714285714285,0.5714285714285714
routed_short_steep_owner_track,validation,74,2,0.03216740487292566,0.018230330322931178,8.275219335044557,0.5,1
routed_short_steep_recency,test,265,7,0.02962379922280988,0.017961881675556988,7.80527644467686,0.14285714285714285,0.2857142857142857
routed_short_steep_recency,validation,74,2,0.034107234522639,0.019956243725067824,9.000367009207753,0,1
routed_speedway_no_owner,test,638,17,0.03145034870120229,0.017649636211332205,4.905722046670209,0.29411764705882354,1.5294117647058822
routed_speedway_no_owner,validation,337,9,0.03314482910680354,0.018134306280578865,4.9767355434409994,0.4444444444444444,1.5555555555555556
routed_speedway_owner_track,test,638,17,0.03189873368804901,0.017672729120578018,4.898228713956466,0.23529411764705882,1.411764705882353
routed_speedway_owner_track,validation,337,9,0.03339978721528615,0.017916821638973696,4.909652925696147,0.3333333333333333,1.4444444444444444
routed_speedway_recency,test,638,17,0.03475915979740445,0.020032258831863547,5.529325510253569,0.11764705882352941,1.0588235294117647
routed_speedway_recency,validation,337,9,0.03429737137795721,0.019457089382168984,5.334502270971807,0.4444444444444444,1.3333333333333333
xgb_drafting_specialist,test,239,6,0.016776048725290912,0.01435053651755638,2.712144762511604,0.16666666666666666,0.3333333333333333
xgb_drafting_specialist,validation,157,4,0.014491756487080395,0.011418238504865093,2.5824883325844055,0,0.5
xgb_no_owner,test,1369,36,0.028845612288655686,0.017135402488769356,4.554014828383531,0.3333333333333333,1.0833333333333333
xgb_no_owner,validation,793,21,0.02950149877452511,0.016975213814669144,4.0874531020077125,0.23809523809523808,1.2857142857142858
xgb_owner_track,test,1369,36,0.02910439386794401,0.017249478703871335,4.594493798547609,0.3333333333333333,1.1944444444444444
xgb_owner_track,validation,793,21,0.029830646275578306,0.0170096738363553,4.126826514384312,0.23809523809523808,1.1904761904761905
xgb_road_specialist,test,227,6,0.028543199805328507,0.01740397680214481,1.6646831335801435,0.8333333333333334,1.5
xgb_road_specialist,validation,150,4,0.03406871053218878,0.02005767970684894,1.8624706244406601,0.5,1.5
xgb_short_steep_specialist,test,265,7,0.027567584283117487,0.016486772907718585,7.1655065326881155,0.14285714285714285,0.5714285714285714
xgb_short_steep_specialist,validation,74,2,0.03216740487292566,0.018230330322931178,8.275219335044557,0.5,1
xgb_speedway_specialist,test,638,17,0.03189873368804901,0.017672729120578018,4.898228713956466,0.23529411764705882,1.411764705882353
xgb_speedway_specialist,validation,337,9,0.03339978721528615,0.017916821638973696,4.909652925696147,0.3333333333333333,1.4444444444444444
