season,round,race_id,race_date,race_name,track_name,driver_id,driver_id_api,driver_name,car_number_api,manufacturer_api,sponsor,owner_name_api,owner_id_api,qualifying_order_api,qualifying_position_api,qualifying_speed_api,start_position_api,finish_position_api,laps_completed_api,points_api,playoff_points_api,stage_points_api_total,stage1_position_api,stage2_position_api,stage3_position_api,stages_with_points,practice_best_speed,practice_median_speed,practice_total_laps,practice_sessions,qualifying_best_position,qualifying_best_speed,qualifying_best_lap_time,qualifying_attempts,timed_laps,fastest_lap_time,fastest_lap_speed,median_lap_speed,average_running_position,median_running_position,pit_stop_count,median_pit_stop_duration,fastest_pit_stop_duration,pit_position_differential,track_type,restrictor_plate,scheduled_distance,actual_distance,scheduled_laps,actual_laps,stage_1_laps,stage_2_laps,stage_3_laps,number_of_cars_in_field,number_of_lead_changes,number_of_leaders,number_of_cautions,number_of_caution_laps,average_speed,total_race_time,margin_of_victory,playoff_round,has_qualifying,start_to_finish_delta_api,passing_differential_api,caution_lap_rate
2018,1,4676,2018-02-18,DAYTONA 500,Daytona International Speedway,austin_dillon,3873,Austin Dillon,3,Chevrolet,Dow,Richard Childress Racing,2765,0,14,0,14,1,207,42,,,,,,,,,,,,,,,,,,,,,,,,,superspeedway,TRUE,500,517.5,200,207,60,60,87,40,24,14,8,37,150.545,03:26:15,0.26,,,13,13,0.178743961352657
2018,1,4676,2018-02-18,DAYTONA 500,Daytona International Speedway,darrell_wallace_jr,4025,Darrell Wallace Jr,43,Chevrolet,Click n' Close,Richard Petty Motorsports,1690,0,7,0,7,2,207,39,,,,,,,,,,,,,,,,,,,,,,,,,superspeedway,TRUE,500,517.5,200,207,60,60,87,40,24,14,8,37,150.545,03:26:15,0.26,,,5,5,0.178743961352657
2018,1,4676,2018-02-18,DAYTONA 500,Daytona International Speedway,denny_hamlin,1361,Denny Hamlin,11,Toyota,FedEx Express,Joe Gibbs Racing,1447,0,2,0,2,3,207,35,,,,,,,,,,,,,,,,,,,,,,,,,superspeedway,TRUE,500,517.5,200,207,60,60,87,40,24,14,8,37,150.545,03:26:15,0.26,,,-1,-1,0.178743961352657
2018,1,4676,2018-02-18,DAYTONA 500,Daytona International Speedway,joey_logano,3859,Joey Logano,22,Ford,Shell Pennzoil,Team Penske,2593,0,5,0,5,4,207,41,,,,,,,,,,,,,,,,,,,,,,,,,superspeedway,TRUE,500,517.5,200,207,60,60,87,40,24,14,8,37,150.545,03:26:15,0.26,,,1,1,0.178743961352657
2018,1,4676,2018-02-18,DAYTONA 500,Daytona International Speedway,chris_buescher,3989,Chris Buescher,37,Chevrolet,Kleenex,JTG Daugherty Racing,2912,0,21,0,21,5,207,32,,,,,,,,,,,,,,,,,,,,,,,,,superspeedway,TRUE,500,517.5,200,207,60,60,87,40,24,14,8,37,150.545,03:26:15,0.26,,,16,16,0.178743961352657
2018,1,4676,2018-02-18,DAYTONA 500,Daytona International Speedway,paul_menard,2225,Paul Menard,21,Ford,Omnicraft Auto Parts \ Quick Lane Tire & Auto Center,Wood Brothers Racing,1560,0,16,0,16,6,207,42,,,,,,,,,,,,,,,,,,,,,,,,,superspeedway,TRUE,500,517.5,200,207,60,60,87,40,24,14,8,37,150.545,03:26:15,0.26,,,10,10,0.178743961352657
2018,1,4676,2018-02-18,DAYTONA 500,Daytona International Speedway,ryan_blaney,4023,Ryan Blaney,12,Ford,Menards / Peak,Team Penske,1460,0,3,0,3,7,207,48,,,,,,,,,,,,,,,,,,,,,,,,,superspeedway,TRUE,500,517.5,200,207,60,60,87,40,24,14,8,37,150.545,03:26:15,0.26,,,-4,-4,0.178743961352657
2018,1,4676,2018-02-18,DAYTONA 500,Daytona International Speedway,ryan_newman,2394,Ryan Newman,31,Chevrolet,Bass Pro Shops / Cabela's,Richard Childress Racing,1632,0,13,0,13,8,207,29,,,,,,,,,,,,,,,,,,,,,,,,,superspeedway,TRUE,500,517.5,200,207,60,60,87,40,24,14,8,37,150.545,03:26:15,0.26,,,5,5,0.178743961352657
2018,1,4676,2018-02-18,DAYTONA 500,Daytona International Speedway,michael_mcdowell,3832,Michael McDowell,34,Ford,Love's Travel Stops,Front Row Motorsports,1648,0,22,0,22,9,207,39,,,,,,,,,,,,,,,,,,,,,,,,,superspeedway,TRUE,500,517.5,200,207,60,60,87,40,24,14,8,37,150.545,03:26:15,0.26,,,13,13,0.178743961352657
2018,1,4676,2018-02-18,DAYTONA 500,Daytona International Speedway,aj_allmendinger,3774,AJ Allmendinger,47,Chevrolet,Kroger Click List,JTG Daugherty Racing,2377,0,20,0,20,10,207,27,,,,,,,,,,,,,,,,,,,,,,,,,superspeedway,TRUE,500,517.5,200,207,60,60,87,40,24,14,8,37,150.545,03:26:15,0.26,,,10,10,0.178743961352657
2018,1,4676,2018-02-18,DAYTONA 500,Daytona International Speedway,aric_almirola,40,Aric Almirola,10,Ford,Smithfield,Stewart-Haas Racing,2686,0,37,0,37,11,206,33,,,,,,,,,,,,,,,,,,,,,,,,,superspeedway,TRUE,500,517.5,200,207,60,60,87,40,24,14,8,37,150.545,03:26:15,0.26,,,26,26,0.178743961352657
2018,1,4676,2018-02-18,DAYTONA 500,Daytona International Speedway,justin_marks,3836,Justin Marks,51,Chevrolet,HARRY'S,Rick Ware Racing,1430,0,29,0,29,12,206,0,,,,,,,,,,,,,,,,,,,,,,,,,superspeedway,TRUE,500,517.5,200,207,60,60,87,40,24,14,8,37,150.545,03:26:15,0.26,,,17,17,0.178743961352657
2018,1,4676,2018-02-18,DAYTONA 500,Daytona International Speedway,trevor_bayne,3883,Trevor Bayne,6,Ford,AdvoCare,Roush Fenway Racing,2803,0,18,0,18,13,206,28,,,,,,,,,,,,,,,,,,,,,,,,,superspeedway,TRUE,500,517.5,200,207,60,60,87,40,24,14,8,37,150.545,03:26:15,0.26,,,5,5,0.178743961352657
2018,1,4676,2018-02-18,DAYTONA 500,Daytona International Speedway,david_gilliland,1202,David Gilliland,92,Ford,RBR Enterprise,RBR Enterprises,2954,0,39,0,39,14,206,0,,,,,,,,,,,,,,,,,,,,,,,,,superspeedway,TRUE,500,517.5,200,207,60,60,87,40,24,14,8,37,150.545,03:26:15,0.26,,,25,25,0.178743961352657
2018,1,4676,2018-02-18,DAYTONA 500,Daytona International Speedway,clint_bowyer,339,Clint Bowyer,14,Ford,Rush Truck Centers/Mobil 1,Stewart-Haas Racing,2370,0,10,0,10,15,206,22,,,,,,,,,,,,,,,,,,,,,,,,,superspeedway,TRUE,500,517.5,200,207,60,60,87,40,24,14,8,37,150.545,03:26:15,0.26,,,-5,-5,0.178743961352657
2018,1,4676,2018-02-18,DAYTONA 500,Daytona International Speedway,jamie_mcmurray,2208,Jamie McMurray,1,Chevrolet,McDonald's/Cessna,Chip Ganassi Racing,1432,0,19,0,19,16,205,21,,,,,,,,,,,,,,,,,,,,,,,,,superspeedway,TRUE,500,517.5,200,207,60,60,87,40,24,14,8,37,150.545,03:26:15,0.26,,,3,3,0.178743961352657
2018,1,4676,2018-02-18,DAYTONA 500,Daytona International Speedway,alex_bowman,4045,Alex Bowman,88,Chevrolet,Nationwide,Hendrick Motorsports,2273,0,1,0,1,17,205,29,,,,,,,,,,,,,,,,,,,,,,,,,superspeedway,TRUE,500,517.5,200,207,60,60,87,40,24,14,8,37,150.545,03:26:15,0.26,,,-16,-16,0.178743961352657
2018,1,4676,2018-02-18,DAYTONA 500,Daytona International Speedway,martin_truex_jr,3368,Martin Truex Jr.,78,Toyota,Bass Pro Shops/5-hour ENERGY,Furniture Row Racing,1801,0,24,0,24,18,205,30,,,,,,,,,,,,,,,,,,,,,,,,,superspeedway,TRUE,500,517.5,200,207,60,60,87,40,24,14,8,37,150.545,03:26:15,0.26,,,6,6,0.178743961352657
2018,1,4676,2018-02-18,DAYTONA 500,Daytona International Speedway,kyle_larson,4030,Kyle Larson,42,Chevrolet,Credit One Bank,Chip Ganassi Racing,1683,0,38,0,38,19,204,18,,,,,,,,,,,,,,,,,,,,,,,,,superspeedway,TRUE,500,517.5,200,207,60,60,87,40,24,14,8,37,150.545,03:26:15,0.26,,,19,19,0.178743961352657
2018,1,4676,2018-02-18,DAYTONA 500,Daytona International Speedway,gray_gaulding,4103,Gray Gaulding,23,Toyota,TBD,BK Racing,2768,0,34,0,34,20,204,17,,,,,,,,,,,,,,,,,,,,,,,,,superspeedway,TRUE,500,517.5,200,207,60,60,87,40,24,14,8,37,150.545,03:26:15,0.26,,,14,14,0.178743961352657
2018,1,4676,2018-02-18,DAYTONA 500,Daytona International Speedway,jeffrey_earnhardt,3894,Jeffrey Earnhardt,00,Chevrolet,VRX Simulators,StarCom Racing,2944,0,27,0,27,21,204,16,,,,,,,,,,,,,,,,,,,,,,,,,superspeedway,TRUE,500,517.5,200,207,60,60,87,40,24,14,8,37,150.545,03:26:15,0.26,,,6,6,0.178743961352657
2018,1,4676,2018-02-18,DAYTONA 500,Daytona International Speedway,mark_thompson,3307,Mark Thompson,66,Ford,Phoenix Air Racing,Phoenix Air Racing,2953,0,40,0,40,22,203,15,,,,,,,,,,,,,,,,,,,,,,,,,superspeedway,TRUE,500,517.5,200,207,60,60,87,40,24,14,8,37,150.545,03:26:15,0.26,,,18,18,0.178743961352657
2018,1,4676,2018-02-18,DAYTONA 500,Daytona International Speedway,william_byron,4184,William Byron,24,Chevrolet,Axalta,Hendrick Motorsports,1581,0,33,0,33,23,203,14,,,,,,,,,,,,,,,,,,,,,,,,,superspeedway,TRUE,500,517.5,200,207,60,60,87,40,24,14,8,37,150.545,03:26:15,0.26,,,10,10,0.178743961352657
2018,1,4676,2018-02-18,DAYTONA 500,Daytona International Speedway,dj_kennington,3709,D.J. Kennington,96,Toyota,Lordco / Castrol,Gaunt Brothers Racing,2914,0,30,0,30,24,201,13,,,,,,,,,,,,,,,,,,,,,,,,,superspeedway,TRUE,500,517.5,200,207,60,60,87,40,24,14,8,37,150.545,03:26:15,0.26,,,6,6,0.178743961352657
2018,1,4676,2018-02-18,DAYTONA 500,Daytona International Speedway,kyle_busch,454,Kyle Busch,18,Toyota,M&M's,Joe Gibbs Racing,1524,0,12,0,12,25,200,12,,,,,,,,,,,,,,,,,,,,,,,,,superspeedway,TRUE,500,517.5,200,207,60,60,87,40,24,14,8,37,150.545,03:26:15,0.26,,,-13,-13,0.178743961352657
2018,1,4676,2018-02-18,DAYTONA 500,Daytona International Speedway,kurt_busch,453,Kurt Busch,41,Ford,Haas Automation / Monster Energy,Stewart-Haas Racing,2767,0,11,0,11,26,198,21,,,,,,,,,,,,,,,,,,,,,,,,,superspeedway,TRUE,500,517.5,200,207,60,60,87,40,24,14,8,37,150.545,03:26:15,0.26,,,-15,-15,0.178743961352657
2018,1,4676,2018-02-18,DAYTONA 500,Daytona International Speedway,matt_dibenedetto,3916,Matt DiBenedetto,32,Ford,The Hurricane Heist,GO FAS Racing,2688,0,36,0,36,27,198,10,,,,,,,,,,,,,,,,,,,,,,,,,superspeedway,TRUE,500,517.5,200,207,60,60,87,40,24,14,8,37,150.545,03:26:15,0.26,,,9,9,0.178743961352657
2018,1,4676,2018-02-18,DAYTONA 500,Daytona International Speedway,brendan_gaughan,1165,Brendan Gaughan,62,Chevrolet,Beard Motorsports,Beard Motorsports,2794,0,25,0,25,28,198,9,,,,,,,,,,,,,,,,,,,,,,,,,superspeedway,TRUE,500,517.5,200,207,60,60,87,40,24,14,8,37,150.545,03:26:15,0.26,,,-3,-3,0.178743961352657
2018,1,4676,2018-02-18,DAYTONA 500,Daytona International Speedway,ricky_stenhouse_jr,3888,Ricky Stenhouse Jr.,17,Ford,Fastenal,Roush Fenway Racing,1513,0,9,0,9,29,197,15,,,,,,,,,,,,,,,,,,,,,,,,,superspeedway,TRUE,500,517.5,200,207,60,60,87,40,24,14,8,37,150.545,03:26:15,0.26,,,-20,-20,0.178743961352657
2018,1,4676,2018-02-18,DAYTONA 500,Daytona International Speedway,david_ragan,2674,David Ragan,38,Ford,Speedco,Front Row Motorsports,2485,0,15,0,15,30,107,7,,,,,,,,,,,,,,,,,,,,,,,,,superspeedway,TRUE,500,517.5,200,207,60,60,87,40,24,14,8,37,150.545,03:26:15,0.26,,,-15,-15,0.178743961352657
