track_configuration_id,track_id,track_name,track_configuration_era,track_primary_family,track_length_miles,max_banking_deg,is_road_course,is_street_course,is_roval,is_dirt,is_drafting_track,is_short_track,is_intermediate,is_large_speedway,is_high_banked,is_flat_track,is_progressive_banking,is_asymmetric_oval,is_tire_wear_heavy,is_braking_heavy,is_high_speed,is_pack_racing,is_concrete_primary,first_season,last_season,races,track_cluster_number_raw,track_cluster_family,track_cluster_signature,track_cluster_id,track_cluster_label,cluster_peer_tracks,cluster_track_count
atlanta_motor_speedway__drafting_2022_plus,atlanta_motor_speedway,Atlanta Motor Speedway,drafting_2022_plus,drafting_superspeedway,1.54,28,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,2022,2025,7,1,drafting_superspeedway,drafting_superspeedway__01,cluster_1,drafting_superspeedway | high speed | high banked,Atlanta Motor Speedway; Daytona International Speedway; EchoPark Speedway; Talladega Superspeedway,4
daytona_international_speedway__standard,daytona_international_speedway,Daytona International Speedway,standard,drafting_superspeedway,2.5,31,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,2018,2026,17,1,drafting_superspeedway,drafting_superspeedway__01,cluster_1,drafting_superspeedway | high speed | high banked,Atlanta Motor Speedway; Daytona International Speedway; EchoPark Speedway; Talladega Superspeedway,4
echopark_speedway__drafting_2022_plus,echopark_speedway,EchoPark Speedway,drafting_2022_plus,drafting_superspeedway,1.54,28,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,2025,2026,3,1,drafting_superspeedway,drafting_superspeedway__01,cluster_1,drafting_superspeedway | high speed | high banked,Atlanta Motor Speedway; Daytona International Speedway; EchoPark Speedway; Talladega Superspeedway,4
talladega_superspeedway__standard,talladega_superspeedway,Talladega Superspeedway,standard,drafting_superspeedway,2.66,33,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,2018,2026,17,1,drafting_superspeedway,drafting_superspeedway__01,cluster_1,drafting_superspeedway | high speed | high banked,Atlanta Motor Speedway; Daytona International Speedway; EchoPark Speedway; Talladega Superspeedway,4
bristol_motor_speedway_dirt_track__standard,bristol_motor_speedway_dirt_track,Bristol Motor Speedway Dirt Track,standard,dirt_oval,0.533,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,2023,3,2,intermediate_speedway,intermediate_speedway__02,cluster_2,intermediate_speedway | lower speed | flat/medium banked,Bristol Motor Speedway Dirt Track; Kentucky Speedway; Nashville Superspeedway; New Hampshire Motor Speedway; Phoenix Raceway; World Wide Technology Raceway at Gateway,6
kentucky_speedway__standard,kentucky_speedway,Kentucky Speedway,standard,intermediate_speedway,1.5,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2018,2020,3,2,intermediate_speedway,intermediate_speedway__02,cluster_2,intermediate_speedway | lower speed | flat/medium banked,Bristol Motor Speedway Dirt Track; Kentucky Speedway; Nashville Superspeedway; New Hampshire Motor Speedway; Phoenix Raceway; World Wide Technology Raceway at Gateway,6
nashville_superspeedway__standard,nashville_superspeedway,Nashville Superspeedway,standard,intermediate_speedway,1.333,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2021,2026,6,2,intermediate_speedway,intermediate_speedway__02,cluster_2,intermediate_speedway | lower speed | flat/medium banked,Bristol Motor Speedway Dirt Track; Kentucky Speedway; Nashville Superspeedway; New Hampshire Motor Speedway; Phoenix Raceway; World Wide Technology Raceway at Gateway,6
new_hampshire_motor_speedway__standard,new_hampshire_motor_speedway,New Hampshire Motor Speedway,standard,intermediate_speedway,1.058,7,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2018,2025,8,2,intermediate_speedway,intermediate_speedway__02,cluster_2,intermediate_speedway | lower speed | flat/medium banked,Bristol Motor Speedway Dirt Track; Kentucky Speedway; Nashville Superspeedway; New Hampshire Motor Speedway; Phoenix Raceway; World Wide Technology Raceway at Gateway,6
phoenix_raceway__standard,phoenix_raceway,Phoenix Raceway,standard,intermediate_speedway,1,11,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,2018,2026,17,2,intermediate_speedway,intermediate_speedway__02,cluster_2,intermediate_speedway | lower speed | flat/medium banked,Bristol Motor Speedway Dirt Track; Kentucky Speedway; Nashville Superspeedway; New Hampshire Motor Speedway; Phoenix Raceway; World Wide Technology Raceway at Gateway,6
world_wide_technology_raceway_at_gateway__standard,world_wide_technology_raceway_at_gateway,World Wide Technology Raceway at Gateway,standard,intermediate_speedway,1.25,11,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,2022,2025,4,2,intermediate_speedway,intermediate_speedway__02,cluster_2,intermediate_speedway | lower speed | flat/medium banked,Bristol Motor Speedway Dirt Track; Kentucky Speedway; Nashville Superspeedway; New Hampshire Motor Speedway; Phoenix Raceway; World Wide Technology Raceway at Gateway,6
atlanta_motor_speedway__legacy_pre_2022,atlanta_motor_speedway,Atlanta Motor Speedway,legacy_pre_2022,intermediate_speedway,1.54,28,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,2018,2021,5,3,intermediate_speedway,intermediate_speedway__03,cluster_3,intermediate_speedway | high speed | high banked,Atlanta Motor Speedway; Charlotte Motor Speedway; Chicagoland Speedway; Darlington Raceway; Dover International Speedway; Homestead-Miami Speedway; Kansas Speedway; Las Vegas Motor Speedway; Texas Motor Speedway,9
charlotte_motor_speedway__standard,charlotte_motor_speedway,Charlotte Motor Speedway,standard,intermediate_speedway,1.5,24,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2018,2026,10,3,intermediate_speedway,intermediate_speedway__03,cluster_3,intermediate_speedway | high speed | high banked,Atlanta Motor Speedway; Charlotte Motor Speedway; Chicagoland Speedway; Darlington Raceway; Dover International Speedway; Homestead-Miami Speedway; Kansas Speedway; Las Vegas Motor Speedway; Texas Motor Speedway,9
chicagoland_speedway__standard,chicagoland_speedway,Chicagoland Speedway,standard,intermediate_speedway,1.5,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2018,2026,3,3,intermediate_speedway,intermediate_speedway__03,cluster_3,intermediate_speedway | high speed | high banked,Atlanta Motor Speedway; Charlotte Motor Speedway; Chicagoland Speedway; Darlington Raceway; Dover International Speedway; Homestead-Miami Speedway; Kansas Speedway; Las Vegas Motor Speedway; Texas Motor Speedway,9
darlington_raceway__standard,darlington_raceway,Darlington Raceway,standard,intermediate_speedway,1.366,25,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,2018,2026,16,3,intermediate_speedway,intermediate_speedway__03,cluster_3,intermediate_speedway | high speed | high banked,Atlanta Motor Speedway; Charlotte Motor Speedway; Chicagoland Speedway; Darlington Raceway; Dover International Speedway; Homestead-Miami Speedway; Kansas Speedway; Las Vegas Motor Speedway; Texas Motor Speedway,9
