model,data_split,rows,qualifying_position_rmse,qualifying_position_mae,qualifying_rank_mae,speed_deficit_rmse,pole_pick_accuracy,top3_pick_hit_rate
recency_baseline,train,10943,8.060220658945056,6.218147386406402,6.666727588412684,3.1739827775003784,0.09722222222222222,0.22916666666666666
recency_baseline,test,756,9.172279728164183,7.328273257118691,7.968253968253968,2.274954778679655,0.15,0.3
routed_consensus,train,10943,6.93185951882141,5.472823697676065,5.399067897285936,2.6377937662432145,0.19444444444444445,0.3726851851851852
routed_consensus,test,756,8.697518255899073,7.0675629300237794,7.436507936507937,2.1404693436452633,0.25,0.39999999999999997
xgb_drafting_specialist,train,10943,7.687098275880556,6.019588812824839,6.278899753266929,3.0015211402888577,0.1701388888888889,0.2708333333333333
xgb_drafting_specialist,test,756,9.241024546573417,7.598645480221541,8.145502645502646,2.1448600737091414,0.1,0.26666666666666666
xgb_no_owner,train,10943,7.0868528017465255,5.602186510007974,5.527551859636297,2.7122556338422124,0.1840277777777778,0.3472222222222222
xgb_no_owner,test,756,8.683207569579492,7.08903309844789,7.391534391534392,2.1667690778633504,0.25,0.39999999999999997
xgb_owner_track,train,10943,7.037386710646133,5.560343346625831,5.476560358219866,2.7115435780735733,0.1909722222222222,0.35185185185185186
xgb_owner_track,test,756,8.698384647552185,7.080972816578295,7.373015873015873,2.136203363837435,0.35,0.39999999999999997
xgb_road_specialist,train,10943,7.691038317601686,6.0166180450825,6.17618568948186,2.504216414287322,0.1423611111111111,0.2789351851851852
xgb_road_specialist,test,756,8.920075235758066,7.254988003660132,7.608465608465608,2.217024483794348,0.1,0.26666666666666666
xgb_speedway_specialist,train,10943,7.3051057351350766,5.69957386779576,5.73151786530202,2.9562836573491715,0.1388888888888889,0.30671296296296297
xgb_speedway_specialist,test,756,8.891393934906151,7.250727253616171,7.6534391534391535,2.084705136219572,0.25,0.36666666666666664
