model,route,position_rows,deficit_rows,position_fallback,deficit_fallback,train_end_season,selected_numeric_features,target,max_depth,eta,min_child_weight,subsample,colsample_bytree,nrounds,eval_metric,eval_value,tuning_status
xgb_owner_track,all,11736,6652,FALSE,FALSE,2026,250,qualifying_position,3,0.04,1,0.75,0.6,200,rmse,8.55008260900648,solved
xgb_owner_track,all,11736,6652,FALSE,FALSE,2026,250,qualifying_speed_deficit,2,0.025,10,0.9,0.95,120,rmse,1.509243310420815,solved
xgb_no_owner,all,11736,6652,FALSE,FALSE,2026,250,qualifying_position,4,0.1,10,0.9,0.95,120,rmse,8.579162515370772,solved
xgb_no_owner,all,11736,6652,FALSE,FALSE,2026,250,qualifying_speed_deficit,3,0.025,5,0.75,0.95,200,rmse,1.5448134652867964,solved
xgb_drafting_specialist,drafting,1722,727,FALSE,FALSE,2026,250,qualifying_position,3,0.025,5,0.75,0.8,200,rmse,9.335686624531087,solved
xgb_drafting_specialist,drafting,1722,727,FALSE,FALSE,2026,250,qualifying_speed_deficit,2,0.025,10,0.9,0.95,120,rmse,0.8422296280246815,solved
xgb_road_specialist,road,1602,1233,FALSE,FALSE,2026,250,qualifying_position,3,0.025,5,0.75,0.8,200,rmse,8.775351258756176,solved
xgb_road_specialist,road,1602,1233,FALSE,FALSE,2026,250,qualifying_speed_deficit,2,0.025,10,0.9,0.95,120,rmse,2.19302423234027,solved
xgb_speedway_specialist,speedway,8225,4656,FALSE,FALSE,2026,250,qualifying_position,3,0.025,5,0.75,0.8,200,rmse,8.203577877785717,solved
xgb_speedway_specialist,speedway,8225,4656,FALSE,FALSE,2026,250,qualifying_speed_deficit,2,0.025,10,0.9,0.95,120,rmse,1.416882751545544,solved
