projection_variant,lineup_rank,driver_slot,driver_id,driver_name,dk_id,salary,dk_projection,dk_value_per_1000,dk_starting_position_used,dk_projected_finish_rank,projected_laps_led,projected_fastest_laps
base,1,1,denny_hamlin,Denny Hamlin,43606988,11000,75.38063908438164,6.852785371307423,1,2,64.37601770270513,40.636965908234146
base,1,2,kyle_larson,Kyle Larson,43606990,10500,70.37047469896604,6.701949971330098,4,4,63.02232660670965,32.47754010508582
base,1,3,ricky_stenhouse_jr,Ricky Stenhouse Jr.,43607020,5200,15.494159734206448,2.9796461027320094,30,29,0.4493620963063136,3.0707093558441545
base,1,4,riley_herbst,Riley Herbst,43607015,5800,22.984914366549912,3.962916270094812,26,24,0.8005162409291167,6.188411791816967
base,1,5,ryan_blaney,Ryan Blaney,43606989,10700,74.82146233126262,6.992660030959123,2,1,57.35911671901066,32.181518114466556
base,1,6,shane_van_gisbergen,Shane van Gisbergen,43607008,6800,37.2992404538863,5.485182419689162,18,19,25.228746875213762,17.760119411295246
base,2,1,brad_keselowski,Brad Keselowski,43607003,7600,41.0434639766561,5.4004557864021185,21,16,13.403909633819465,12.6499701515583
base,2,2,bubba_wallace,Bubba Wallace,43607001,7900,44.19112470106723,5.59381325329965,14,11,13.578261613881184,12.881242883548744
base,2,3,denny_hamlin,Denny Hamlin,43606988,11000,75.38063908438164,6.852785371307423,1,2,64.37601770270513,40.636965908234146
base,2,4,riley_herbst,Riley Herbst,43607015,5800,22.984914366549912,3.962916270094812,26,24,0.8005162409291167,6.188411791816967
base,2,5,ryan_blaney,Ryan Blaney,43606989,10700,74.82146233126262,6.992660030959123,2,1,57.35911671901066,32.181518114466556
base,2,6,shane_van_gisbergen,Shane van Gisbergen,43607008,6800,37.2992404538863,5.485182419689162,18,19,25.228746875213762,17.760119411295246
base,3,1,alex_bowman,Alex Bowman,43607007,7000,36.62898545243154,5.232712207490221,16,13,2.5275808998663862,6.660200505477655
base,3,2,denny_hamlin,Denny Hamlin,43606988,11000,75.38063908438164,6.852785371307423,1,2,64.37601770270513,40.636965908234146
base,3,3,riley_herbst,Riley Herbst,43607015,5800,22.984914366549912,3.962916270094812,26,24,0.8005162409291167,6.188411791816967
base,3,4,ryan_blaney,Ryan Blaney,43606989,10700,74.82146233126262,6.992660030959123,2,1,57.35911671901066,32.181518114466556
base,3,5,shane_van_gisbergen,Shane van Gisbergen,43607008,6800,37.2992404538863,5.485182419689162,18,19,25.228746875213762,17.760119411295246
base,3,6,ty_gibbs,Ty Gibbs,43606998,8500,48.06119274605028,5.654257970123563,3,8,24.79386985172255,24.139389518043654
base,4,1,alex_bowman,Alex Bowman,43607007,7000,36.62898545243154,5.232712207490221,16,13,2.5275808998663862,6.660200505477655
base,4,2,brad_keselowski,Brad Keselowski,43607003,7600,41.0434639766561,5.4004557864021185,21,16,13.403909633819465,12.6499701515583
base,4,3,bubba_wallace,Bubba Wallace,43607001,7900,44.19112470106723,5.59381325329965,14,11,13.578261613881184,12.881242883548744
base,4,4,denny_hamlin,Denny Hamlin,43606988,11000,75.38063908438164,6.852785371307423,1,2,64.37601770270513,40.636965908234146
base,4,5,riley_herbst,Riley Herbst,43607015,5800,22.984914366549912,3.962916270094812,26,24,0.8005162409291167,6.188411791816967
base,4,6,ryan_blaney,Ryan Blaney,43606989,10700,74.82146233126262,6.992660030959123,2,1,57.35911671901066,32.181518114466556
base,5,1,brad_keselowski,Brad Keselowski,43607003,7600,41.0434639766561,5.4004557864021185,21,16,13.403909633819465,12.6499701515583
base,5,2,kyle_larson,Kyle Larson,43606990,10500,70.37047469896604,6.701949971330098,4,4,63.02232660670965,32.47754010508582
base,5,3,riley_herbst,Riley Herbst,43607015,5800,22.984914366549912,3.962916270094812,26,24,0.8005162409291167,6.188411791816967
base,5,4,ryan_blaney,Ryan Blaney,43606989,10700,74.82146233126262,6.992660030959123,2,1,57.35911671901066,32.181518114466556
base,5,5,shane_van_gisbergen,Shane van Gisbergen,43607008,6800,37.2992404538863,5.485182419689162,18,19,25.228746875213762,17.760119411295246
base,5,6,ty_gibbs,Ty Gibbs,43606998,8500,48.06119274605028,5.654257970123563,3,8,24.79386985172255,24.139389518043654
base,6,1,alex_bowman,Alex Bowman,43607007,7000,36.62898545243154,5.232712207490221,16,13,2.5275808998663862,6.660200505477655
base,6,2,austin_dillon,Austin Dillon,43607012,6300,26.10708246077576,4.14398134298028,23,22,5.474873885422633,8.307475532044666
base,6,3,bubba_wallace,Bubba Wallace,43607001,7900,44.19112470106723,5.59381325329965,14,11,13.578261613881184,12.881242883548744
base,6,4,denny_hamlin,Denny Hamlin,43606988,11000,75.38063908438164,6.852785371307423,1,2,64.37601770270513,40.636965908234146
base,6,5,ryan_blaney,Ryan Blaney,43606989,10700,74.82146233126262,6.992660030959123,2,1,57.35911671901066,32.181518114466556
base,6,6,shane_van_gisbergen,Shane van Gisbergen,43607008,6800,37.2992404538863,5.485182419689162,18,19,25.228746875213762,17.760119411295246
base,7,1,austin_dillon,Austin Dillon,43607012,6300,26.10708246077576,4.14398134298028,23,22,5.474873885422633,8.307475532044666
base,7,2,brad_keselowski,Brad Keselowski,43607003,7600,41.0434639766561,5.4004557864021185,21,16,13.403909633819465,12.6499701515583
base,7,3,bubba_wallace,Bubba Wallace,43607001,7900,44.19112470106723,5.59381325329965,14,11,13.578261613881184,12.881242883548744
base,7,4,kyle_larson,Kyle Larson,43606990,10500,70.37047469896604,6.701949971330098,4,4,63.02232660670965,32.47754010508582
base,7,5,ryan_blaney,Ryan Blaney,43606989,10700,74.82146233126262,6.992660030959123,2,1,57.35911671901066,32.181518114466556
base,7,6,shane_van_gisbergen,Shane van Gisbergen,43607008,6800,37.2992404538863,5.485182419689162,18,19,25.228746875213762,17.760119411295246
base,8,1,brad_keselowski,Brad Keselowski,43607003,7600,41.0434639766561,5.4004557864021185,21,16,13.403909633819465,12.6499701515583
base,8,2,denny_hamlin,Denny Hamlin,43606988,11000,75.38063908438164,6.852785371307423,1,2,64.37601770270513,40.636965908234146
base,8,3,john_hunter_nemechek,John Hunter Nemechek,43607019,5400,16.70643216613016,3.093783734468548,27,28,4.622476880636485,5.668473213268978
base,8,4,ryan_blaney,Ryan Blaney,43606989,10700,74.82146233126262,6.992660030959123,2,1,57.35911671901066,32.181518114466556
base,8,5,shane_van_gisbergen,Shane van Gisbergen,43607008,6800,37.2992404538863,5.485182419689162,18,19,25.228746875213762,17.760119411295246
base,8,6,ty_gibbs,Ty Gibbs,43606998,8500,48.06119274605028,5.654257970123563,3,8,24.79386985172255,24.139389518043654
base,9,1,alex_bowman,Alex Bowman,43607007,7000,36.62898545243154,5.232712207490221,16,13,2.5275808998663862,6.660200505477655
base,9,2,austin_dillon,Austin Dillon,43607012,6300,26.10708246077576,4.14398134298028,23,22,5.474873885422633,8.307475532044666
base,9,3,kyle_larson,Kyle Larson,43606990,10500,70.37047469896604,6.701949971330098,4,4,63.02232660670965,32.47754010508582
base,9,4,ryan_blaney,Ryan Blaney,43606989,10700,74.82146233126262,6.992660030959123,2,1,57.35911671901066,32.181518114466556
base,9,5,shane_van_gisbergen,Shane van Gisbergen,43607008,6800,37.2992404538863,5.485182419689162,18,19,25.228746875213762,17.760119411295246
base,9,6,ty_gibbs,Ty Gibbs,43606998,8500,48.06119274605028,5.654257970123563,3,8,24.79386985172255,24.139389518043654
base,10,1,alex_bowman,Alex Bowman,43607007,7000,36.62898545243154,5.232712207490221,16,13,2.5275808998663862,6.660200505477655
base,10,2,austin_dillon,Austin Dillon,43607012,6300,26.10708246077576,4.14398134298028,23,22,5.474873885422633,8.307475532044666
base,10,3,brad_keselowski,Brad Keselowski,43607003,7600,41.0434639766561,5.4004557864021185,21,16,13.403909633819465,12.6499701515583
base,10,4,bubba_wallace,Bubba Wallace,43607001,7900,44.19112470106723,5.59381325329965,14,11,13.578261613881184,12.881242883548744
base,10,5,kyle_larson,Kyle Larson,43606990,10500,70.37047469896604,6.701949971330098,4,4,63.02232660670965,32.47754010508582
base,10,6,ryan_blaney,Ryan Blaney,43606989,10700,74.82146233126262,6.992660030959123,2,1,57.35911671901066,32.181518114466556
base,11,1,aj_allmendinger,A.J. Allmendinger,43607018,5500,17.550150764033514,3.190936502551548,22,25,1.513982477531535,7.048122543668065
base,11,2,bubba_wallace,Bubba Wallace,43607001,7900,44.19112470106723,5.59381325329965,14,11,13.578261613881184,12.881242883548744
base,11,3,kyle_larson,Kyle Larson,43606990,10500,70.37047469896604,6.701949971330098,4,4,63.02232660670965,32.47754010508582
base,11,4,ryan_blaney,Ryan Blaney,43606989,10700,74.82146233126262,6.992660030959123,2,1,57.35911671901066,32.181518114466556
base,11,5,shane_van_gisbergen,Shane van Gisbergen,43607008,6800,37.2992404538863,5.485182419689162,18,19,25.228746875213762,17.760119411295246
base,11,6,ty_gibbs,Ty Gibbs,43606998,8500,48.06119274605028,5.654257970123563,3,8,24.79386985172255,24.139389518043654
base,12,1,alex_bowman,Alex Bowman,43607007,7000,36.62898545243154,5.232712207490221,16,13,2.5275808998663862,6.660200505477655
base,12,2,chase_elliott,Chase Elliott,43606993,9700,57.57703829986028,5.935777144315493,8,5,26.029474758604536,20.15482135602033
base,12,3,kyle_larson,Kyle Larson,43606990,10500,70.37047469896604,6.701949971330098,4,4,63.02232660670965,32.47754010508582
