projection_variant,lineup_rank,total_salary,salary_remaining,projected_points,drivers
base,1,50000,0,296.350890669253,Denny Hamlin | Kyle Larson | Ricky Stenhouse Jr. | Riley Herbst | Ryan Blaney | Shane van Gisbergen
base,2,49800,200,295.72084491380383,Brad Keselowski | Bubba Wallace | Denny Hamlin | Riley Herbst | Ryan Blaney | Shane van Gisbergen
base,3,49800,200,295.1764344345623,Alex Bowman | Denny Hamlin | Riley Herbst | Ryan Blaney | Shane van Gisbergen | Ty Gibbs
base,4,50000,0,295.05058991234904,Alex Bowman | Brad Keselowski | Bubba Wallace | Denny Hamlin | Riley Herbst | Ryan Blaney
base,5,49900,100,294.58074857337124,Brad Keselowski | Kyle Larson | Riley Herbst | Ryan Blaney | Shane van Gisbergen | Ty Gibbs
base,6,49700,300,294.4285344838051,Alex Bowman | Austin Dillon | Bubba Wallace | Denny Hamlin | Ryan Blaney | Shane van Gisbergen
base,7,49800,200,293.83284862261405,Austin Dillon | Brad Keselowski | Bubba Wallace | Kyle Larson | Ryan Blaney | Shane van Gisbergen
base,8,50000,0,293.3124307583671,Brad Keselowski | Denny Hamlin | John Hunter Nemechek | Ryan Blaney | Shane van Gisbergen | Ty Gibbs
base,9,49800,200,293.28843814337256,Alex Bowman | Austin Dillon | Kyle Larson | Ryan Blaney | Shane van Gisbergen | Ty Gibbs
base,10,50000,0,293.1625936211593,Alex Bowman | Austin Dillon | Brad Keselowski | Bubba Wallace | Kyle Larson | Ryan Blaney
base,11,49900,100,292.293645695266,A.J. Allmendinger | Bubba Wallace | Kyle Larson | Ryan Blaney | Shane van Gisbergen | Ty Gibbs
base,12,49900,100,292.19136097061323,Alex Bowman | Chase Elliott | Kyle Larson | Ricky Stenhouse Jr. | Ryan Blaney | Shane van Gisbergen
base,13,49900,100,292.12839949866026,A.J. Allmendinger | Denny Hamlin | John Hunter Nemechek | Kyle Larson | Ryan Blaney | Shane van Gisbergen
base,14,50000,0,292.1204919682831,Alex Bowman | Brad Keselowski | Bubba Wallace | Chase Elliott | Denny Hamlin | Shane van Gisbergen
base,15,49800,200,292.1001583264434,Brad Keselowski | Denny Hamlin | Ricky Stenhouse Jr. | Ryan Blaney | Shane van Gisbergen | Ty Gibbs
base,16,50000,0,291.97731522336437,Alex Bowman | Kyle Larson | Riley Herbst | Ryan Blaney | Shane van Gisbergen | Tyler Reddick
base,17,50000,0,291.8172278893253,Alex Bowman | Brad Keselowski | Bubba Wallace | Christopher Bell | Kyle Larson | Shane van Gisbergen
base,18,50000,0,291.7230643291982,Alex Bowman | Chase Briscoe | Denny Hamlin | Kyle Larson | Riley Herbst | Shane van Gisbergen
base,19,49700,300,291.5613152151641,Alex Bowman | Brad Keselowski | Bubba Wallace | Chase Elliott | Ryan Blaney | Shane van Gisbergen
base,20,49800,200,291.4567059879012,Alex Bowman | Austin Cindric | Brad Keselowski | Kyle Larson | Ryan Blaney | Shane van Gisbergen
chatter,1,49800,200,299.28843814337256,Alex Bowman | Austin Dillon | Kyle Larson | Ryan Blaney | Shane van Gisbergen | Ty Gibbs
chatter,2,49800,200,299.1764344345623,Alex Bowman | Denny Hamlin | Riley Herbst | Ryan Blaney | Shane van Gisbergen | Ty Gibbs
